prd_cd,prd_nm,current_plate_siz,current_paper_typ,cur_impos,cur_cut_null,cur_work,target_siz,target_paper_typ,row_action
PRD_000016,프리미엄엽서,SIZ_000499,OUTPUT_PAPER_TYPE.01,Y,f,316.00x467.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,KEEP_already_correct
PRD_000017,코팅엽서,SIZ_000112,OUTPUT_PAPER_TYPE.03,N,t,75.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000017,코팅엽서,SIZ_000113,,N,f,100.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000017,코팅엽서,SIZ_000114,,N,t,102.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000017,코팅엽서,SIZ_000115,,N,t,137.00x137.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000017,코팅엽서,SIZ_000116,,N,t,97.00x212.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000017,코팅엽서,SIZ_000117,,N,t,112.00x172.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000017,코팅엽서,SIZ_000118,,N,t,150.00x212.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000018,스탠다드엽서,SIZ_000112,OUTPUT_PAPER_TYPE.03,N,t,75.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000018,스탠다드엽서,SIZ_000113,,N,f,100.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000018,스탠다드엽서,SIZ_000114,,N,t,102.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000018,스탠다드엽서,SIZ_000115,,N,t,137.00x137.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000018,스탠다드엽서,SIZ_000118,,N,t,150.00x212.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000019,투명엽서,SIZ_000113,OUTPUT_PAPER_TYPE.03,N,f,100.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000019,투명엽서,SIZ_000114,,N,t,102.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000019,투명엽서,SIZ_000115,,N,t,137.00x137.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000019,투명엽서,SIZ_000118,,N,t,150.00x212.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000020,화이트인쇄엽서,SIZ_000113,OUTPUT_PAPER_TYPE.03,N,f,100.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000020,화이트인쇄엽서,SIZ_000114,,N,t,102.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000020,화이트인쇄엽서,SIZ_000115,,N,t,137.00x137.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000020,화이트인쇄엽서,SIZ_000118,,N,t,150.00x212.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000021,핑크별색엽서,SIZ_000113,OUTPUT_PAPER_TYPE.03,N,f,100.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000021,핑크별색엽서,SIZ_000114,,N,t,102.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000021,핑크별색엽서,SIZ_000115,,N,t,137.00x137.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000021,핑크별색엽서,SIZ_000118,,N,t,150.00x212.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000022,금은별색엽서,SIZ_000113,OUTPUT_PAPER_TYPE.03,N,f,100.00x100.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000022,금은별색엽서,SIZ_000114,,N,t,102.00x152.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000022,금은별색엽서,SIZ_000115,,N,t,137.00x137.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
PRD_000022,금은별색엽서,SIZ_000118,,N,t,150.00x212.00,SIZ_000499,OUTPUT_PAPER_TYPE.01,REMAP_to_SIZ499_collapse
