prd_cd,prd_nm,sheet,output_paper_size,target_siz_cd,siz_disposition,plate_action
PRD_000016,프리미엄엽서,digital-print,316x467,SIZ_000499,REUSE,KEEP
PRD_000017,코팅엽서,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000018,스탠다드엽서,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000019,투명엽서,digital-print,315x467,SIZ_PROPOSE_TUMYEONG,NEW,DELETE_INSERT
PRD_000020,화이트인쇄엽서,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000021,핑크별색엽서,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000022,금은별색엽서,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000023,모양엽서,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000024,포토카드,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000025,투명포토카드,digital-print,315x467,SIZ_PROPOSE_TUMYEONG,NEW,DELETE_INSERT
PRD_000026,종이슬로건,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000027,2단접지카드,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000028,미니접지카드,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000029,3단접지카드,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000030,지그재그엽서,digital-print,330x660,SIZ_PROPOSE_3JEOL,NEW,DELETE_INSERT
PRD_000031,프리미엄명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000032,코팅명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000033,스탠다드명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000034,펄명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000035,모양명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000036,미니모양명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000038,형압명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000039,투명명함,digital-print,315x467,SIZ_PROPOSE_TUMYEONG,NEW,DELETE_INSERT
PRD_000040,화이트인쇄명함,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000041,스탠다드 쿠폰/상품권,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000042,프리미엄 쿠폰/상품권,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000043,인쇄배경지(OPP봉투타입),digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000044,인쇄배경지(투명케이스타입),digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000045,인쇄헤더택,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000046,라벨/택,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000047,소량전단지,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000048,접지리플렛,digital-print,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000049,와이드 접지리플렛,digital-print,330x660,SIZ_PROPOSE_3JEOL,NEW,DELETE_INSERT
PRD_000108,탁상형캘린더,calendar,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000109,미니탁상형캘린더,calendar,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000110,엽서캘린더,calendar,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000111,벽걸이캘린더,calendar,316x467,SIZ_000499,REUSE,DELETE_INSERT
PRD_000112,와이드벽걸이캘린더,calendar/design-calendar,330x660,SIZ_PROPOSE_3JEOL,NEW,DELETE_INSERT
