prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000016,프리미엄엽서,SIZ_000499,316x467,316x467,OUTPUT_PAPER_TYPE.01,PRD_TYPE.04,N,Y
PRD_000017,코팅엽서,SIZ_000112,75x100,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000017,코팅엽서,SIZ_000116,97x212,316x467,,PRD_TYPE.04,Y,N
PRD_000017,코팅엽서,SIZ_000113,100x100,316x467,,PRD_TYPE.04,Y,N
PRD_000017,코팅엽서,SIZ_000114,102x152,316x467,,PRD_TYPE.04,Y,N
PRD_000017,코팅엽서,SIZ_000117,112x172,316x467,,PRD_TYPE.04,Y,N
PRD_000017,코팅엽서,SIZ_000115,137x137,316x467,,PRD_TYPE.04,Y,N
PRD_000017,코팅엽서,SIZ_000118,150x212,316x467,,PRD_TYPE.04,Y,N
PRD_000018,스탠다드엽서,SIZ_000112,75x100,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000018,스탠다드엽서,SIZ_000113,100x100,316x467,,PRD_TYPE.04,Y,N
PRD_000018,스탠다드엽서,SIZ_000114,102x152,316x467,,PRD_TYPE.04,Y,N
PRD_000018,스탠다드엽서,SIZ_000115,137x137,316x467,,PRD_TYPE.04,Y,N
PRD_000018,스탠다드엽서,SIZ_000118,150x212,316x467,,PRD_TYPE.04,Y,N
PRD_000019,투명엽서,SIZ_000113,100x100,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000019,투명엽서,SIZ_000114,102x152,316x467,,PRD_TYPE.04,Y,N
PRD_000019,투명엽서,SIZ_000115,137x137,316x467,,PRD_TYPE.04,Y,N
PRD_000019,투명엽서,SIZ_000118,150x212,316x467,,PRD_TYPE.04,Y,N
PRD_000020,화이트인쇄엽서,SIZ_000113,100x100,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000020,화이트인쇄엽서,SIZ_000114,102x152,316x467,,PRD_TYPE.04,Y,N
PRD_000020,화이트인쇄엽서,SIZ_000115,137x137,316x467,,PRD_TYPE.04,Y,N
PRD_000020,화이트인쇄엽서,SIZ_000118,150x212,316x467,,PRD_TYPE.04,Y,N
PRD_000021,핑크별색엽서,SIZ_000113,100x100,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000021,핑크별색엽서,SIZ_000114,102x152,316x467,,PRD_TYPE.04,Y,N
PRD_000021,핑크별색엽서,SIZ_000115,137x137,316x467,,PRD_TYPE.04,Y,N
PRD_000021,핑크별색엽서,SIZ_000118,150x212,316x467,,PRD_TYPE.04,Y,N
PRD_000022,금은별색엽서,SIZ_000113,100x100,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000022,금은별색엽서,SIZ_000114,102x152,316x467,,PRD_TYPE.04,Y,N
PRD_000022,금은별색엽서,SIZ_000115,137x137,316x467,,PRD_TYPE.04,Y,N
PRD_000022,금은별색엽서,SIZ_000118,150x212,316x467,,PRD_TYPE.04,Y,N
PRD_000023,모양엽서,SIZ_000113,100x100,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000024,포토카드,SIZ_000120,57x88,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000025,투명포토카드,SIZ_000120,57x88,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000026,종이슬로건,SIZ_000121,302x102,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000026,종이슬로건,SIZ_000122,402x147,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000027,2단접지카드,SIZ_000024,139x274,316x467,,PRD_TYPE.04,N,N
PRD_000027,2단접지카드,SIZ_000125,152x202,316x467,,PRD_TYPE.04,N,N
PRD_000027,2단접지카드,SIZ_000130,174x224,316x467,,PRD_TYPE.04,N,N
PRD_000027,2단접지카드,SIZ_000123,202x152,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000027,2단접지카드,SIZ_000128,224x174,316x467,,PRD_TYPE.04,N,N
PRD_000027,2단접지카드,SIZ_000023,274x139,316x467,,PRD_TYPE.04,N,N
PRD_000028,미니접지카드,SIZ_000134,88x106,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000028,미니접지카드,SIZ_000131,92x104,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000029,3단접지카드,SIZ_000141,139x407,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000029,3단접지카드,SIZ_000138,152x300,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000029,3단접지카드,SIZ_000136,300x152,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000029,3단접지카드,SIZ_000140,407x139,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000030,지그재그엽서,SIZ_000143,154x604,330x660,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000030,지그재그엽서,SIZ_000142,604x154,330x660,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000031,프리미엄명함,SIZ_000146,88x54,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000031,프리미엄명함,SIZ_000144,92x52,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000031,프리미엄명함,SIZ_000145,92x57,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000032,코팅명함,SIZ_000146,88x54,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000032,코팅명함,SIZ_000144,92x52,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000033,스탠다드명함,SIZ_000146,88x54,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000033,스탠다드명함,SIZ_000144,92x52,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000034,펄명함,SIZ_000144,92x52,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000035,모양명함,SIZ_000147,100x60,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000036,미니모양명함,SIZ_000148,60x60,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000037,오리지널박명함,SIZ_000008,90x50,316x467,,PRD_TYPE.04,Y,N
PRD_000038,형압명함,SIZ_000144,92x52,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000039,투명명함,SIZ_000144,92x52,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000040,화이트인쇄명함,SIZ_000144,92x52,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000150,152x79,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000149,152x72,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
