siz_cd,siz_nm,work_width,work_height,impos_yn,total_plate_refs,plate_refs_in_corr,prodsize_refs,price_refs,disposition
SIZ_000112,75x100,75.00,100.00,N,2,2,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000114,102x152,102.00,152.00,N,7,7,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000115,137x137,137.00,137.00,N,7,7,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000116,97x212,97.00,212.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000117,112x172,112.00,172.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000118,150x212,150.00,212.00,N,6,6,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000120,57x88,57.00,88.00,N,2,2,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000121,302x102,302.00,102.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000122,402x147,402.00,147.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000123,202x152,202.00,152.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000125,152x202,152.00,202.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000128,224x174,224.00,174.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000130,174x224,174.00,224.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000131,92x104,92.00,104.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000134,88x106,88.00,106.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000136,300x152,300.00,152.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000138,152x300,152.00,300.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000140,407x139,407.00,139.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000141,139x407,139.00,407.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000142,604x154,604.00,154.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000143,154x604,154.00,604.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000144,92x52,92.00,52.00,N,7,7,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000145,92x57,92.00,57.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000146,88x54,88.00,54.00,N,3,3,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000149,152x72,152.00,72.00,N,2,2,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000150,152x79,152.00,79.00,N,2,2,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000151,80x104,80.00,104.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000152,86x110,86.00,110.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000153,80x124,80.00,124.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000154,86x130,86.00,130.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000155,90x124,90.00,124.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000156,96x130,96.00,130.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000158,66x184,66.00,184.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000159,72x190,72.00,190.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000160,115x170,115.00,170.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000161,78x78,78.00,78.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000162,78x152,78.00,152.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000163,78x113,78.00,113.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000164,78x222,78.00,222.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000165,84x84,84.00,84.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000166,114x84,114.00,84.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000167,144x84,144.00,84.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000168,164x84,164.00,84.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000169,35x120,35.00,120.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000177,306x446,306.00,446.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000178,214x152,214.00,152.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000182,425x303,425.00,303.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000184,424x303,424.00,303.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000186,635x303,635.00,303.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000188,644x303,644.00,303.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000190,646x303,646.00,303.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000262,218x160,218.00,160.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000263,152x102,152.00,102.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000264,318x110,318.00,110.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000265,288x145,288.00,145.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000282,224x149,224.00,149.00,N,2,2,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000283,134x224,134.00,224.00,N,2,2,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000284,94x104,94.00,104.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000285,152x64,152.00,64.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000286,149x149,149.00,149.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000287,224x134,224.00,134.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000288,149x304,149.00,304.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000289,214x301,214.00,301.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000290,214x424,214.00,424.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000291,304x424,304.00,424.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000292,304x629,304.00,629.00,N,1,1,0,0,ORPHAN_softdelete(교정후무참조)
SIZ_000113,100x100,100.00,100.00,N,11,6,0,3,PRESERVE_other_ref(prodsize/price)
SIZ_000132,50x90,50.00,90.00,N,1,1,1,3,PRESERVE_other_ref(prodsize/price)
SIZ_000147,100x60,100.00,60.00,N,2,1,0,3,PRESERVE_other_ref(prodsize/price)
SIZ_000148,60x60,60.00,60.00,N,4,2,5,3,PRESERVE_other_ref(prodsize/price)
SIZ_000157,104x104,104.00,104.00,N,2,1,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000171,152x214,152.00,214.00,N,3,2,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000173,216x303,216.00,303.00,N,3,1,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000175,303x426,303.00,426.00,N,3,1,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000179,303x216,303.00,216.00,N,2,1,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000180,302x216,302.00,216.00,N,2,1,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000181,426x303,426.00,303.00,N,3,2,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000250,150x214,150.00,214.00,N,8,3,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000251,300x214,300.00,214.00,N,2,1,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
SIZ_000252,213x303,213.00,303.00,N,7,3,0,0,PRESERVE_shared_noncorr(비교정제품plate공유)
