prd_cd,prd_nm,sheet_product,press_sheets,target_siz,sheet_count,multi
PRD_000016,프리미엄엽서,엽서,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000017,코팅엽서,엽서,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000018,스탠다드엽서,엽서,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000019,투명엽서,엽서,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000020,화이트인쇄엽서,엽서,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000021,핑크별색엽서,엽서,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000022,금은별색엽서,엽서,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000024,포토카드,포토카드,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000025,투명포토카드,포토카드,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000026,종이슬로건,종이슬로건,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000027,2단접지카드,2단접지카드,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000028,미니접지카드,미니접지카드,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000029,3단접지카드,3단접지카드,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000030,지그재그엽서,지그재그카드,330x660,330x660=SIZ_PROPOSE_3JEOL(PROPOSE),1,SINGLE
PRD_000031,프리미엄명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000032,코팅명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000033,스탠다드명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000034,펄명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000035,모양명함,모양명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000036,미니모양명함,미니모양명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000037,오리지널박명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000038,형압명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000039,투명명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000040,화이트인쇄명함,명함,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000041,스탠다드 쿠폰/상품권,상품권,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000042,프리미엄 쿠폰/상품권,상품권,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000043,인쇄배경지(OPP봉투타입),인쇄배경지,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000044,인쇄배경지(투명케이스타입),인쇄배경지,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000045,인쇄헤더택,인쇄해더택,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000046,라벨/택,라벨택,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000047,소량전단지,전단지,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000048,접지리플렛,접지리플렛,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000049,와이드 접지리플렛,와이드 접지리플렛,330x660,330x660=SIZ_PROPOSE_3JEOL(PROPOSE),1,SINGLE
PRD_000051,썬캡,썬캡,330x540,330x540=SIZ_PROPOSE_SUNCAP(PROPOSE),1,SINGLE
PRD_000052,반칼 자유형 스티커,반칼스티커,317x440,317x440=SIZ_000498(REUSE),1,SINGLE
PRD_000053,반칼 자유형 투명스티커,반칼스티커,317x440,317x440=SIZ_000498(REUSE),1,SINGLE
PRD_000054,반칼 자유형 홀로그램스티커,반칼스티커,317x440,317x440=SIZ_000498(REUSE),1,SINGLE
PRD_000058,반칼원형스티커,반칼스티커,317x440,317x440=SIZ_000498(REUSE),1,SINGLE
PRD_000059,반칼정사각스티커,반칼스티커,317x440,317x440=SIZ_000498(REUSE),1,SINGLE
PRD_000060,반칼직사각스티커,반칼스티커,317x440,317x440=SIZ_000498(REUSE),1,SINGLE
PRD_000061,반칼띠지스티커,반칼스티커,317x440,317x440=SIZ_000498(REUSE),1,SINGLE
PRD_000064,소량자유형스티커,소형반칼스티커,307x430,307x430=SIZ_PROPOSE_SMBANKAL(PROPOSE),1,SINGLE
PRD_000065,스티커팩,스티커팩,330x470,330x470=SIZ_PROPOSE_STKPACK(PROPOSE),1,SINGLE
PRD_000068,중철책자,책자내지,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000069,무선책자,책자내지,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000070,PUR책자,책자내지,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000094,엽서북,엽서북내지,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000108,탁상형캘린더,탁상형캘린더,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000109,미니탁상형캘린더,미니탁상형캘린더,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000110,엽서캘린더,엽서캘린더,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000111,벽걸이캘린더,벽결이캘린더,316x467,316x467=SIZ_000499(REUSE),1,SINGLE
PRD_000112,와이드벽걸이캘린더,와이드벽걸이캘린더,330x660,330x660=SIZ_PROPOSE_3JEOL(PROPOSE),1,SINGLE
