siz_cd,siz_nm,cut_width,cut_height,impos_yn,use_yn,note,_src_shape,_ea,_mint,_provenance
SIZ_000501,원형10x10,10.00,10.00,N,Y,합판도무송 원형 옵션(원형 10mm (8EA)). 판당 8EA는 bundle_qty 차원(size 아님).,원형 10mm (8EA),8,NEW(라이브 무매치),K-4. sticker 066 row1 원형 10mm (8EA)(cut 10.00x10.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000501. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000502,원형15x15,15.00,15.00,N,Y,합판도무송 원형 옵션(원형 15mm (8EA)). 판당 8EA는 bundle_qty 차원(size 아님).,원형 15mm (8EA),8,NEW(라이브 무매치),K-4. sticker 066 row2 원형 15mm (8EA)(cut 15.00x15.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000502. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000503,원형20x20,20.00,20.00,N,Y,합판도무송 원형 옵션(원형 20mm (6EA)). 판당 6EA는 bundle_qty 차원(size 아님).,원형 20mm (6EA),6,NEW(라이브 무매치),K-4. sticker 066 row3 원형 20mm (6EA)(cut 20.00x20.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000503. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000504,원형25x25,25.00,25.00,N,Y,합판도무송 원형 옵션(원형 25mm (3EA)). 판당 3EA는 bundle_qty 차원(size 아님).,원형 25mm (3EA),3,NEW(라이브 무매치),K-4. sticker 066 row4 원형 25mm (3EA)(cut 25.00x25.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000504. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000505,원형30x30,30.00,30.00,N,Y,합판도무송 원형 옵션(원형 30mm (2EA)). 판당 2EA는 bundle_qty 차원(size 아님).,원형 30mm (2EA),2,NEW(라이브 무매치),K-4. sticker 066 row5 원형 30mm (2EA)(cut 30.00x30.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000505. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000422,원형35x35,35.00,35.00,N,Y,합판도무송 원형 옵션(원형 35mm (2EA)). 판당 2EA는 bundle_qty 차원.,원형 35mm (2EA),2,REUSE(라이브 실재),[보정 MAJOR] K-4. 원형 35mm (2EA)=원형35x35 = 라이브 SIZ_000422 **이미 실재**(siz_nm 전수 매칭) → 신설 철회·재사용. 066 size link는 SIZ_000422 사용. EA=2=bundle_qty(siz_cd 미인코딩이라 재사용 무영향).
SIZ_000506,원형40x40,40.00,40.00,N,Y,합판도무송 원형 옵션(원형 40mm (2EA)). 판당 2EA는 bundle_qty 차원(size 아님).,원형 40mm (2EA),2,NEW(라이브 무매치),K-4. sticker 066 row7 원형 40mm (2EA)(cut 40.00x40.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000506. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000507,원형45x45,45.00,45.00,N,Y,합판도무송 원형 옵션(원형 45mm (1EA)). 판당 1EA는 bundle_qty 차원(size 아님).,원형 45mm (1EA),1,NEW(라이브 무매치),K-4. sticker 066 row8 원형 45mm (1EA)(cut 45.00x45.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000507. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000508,원형50x50,50.00,50.00,N,Y,합판도무송 원형 옵션(원형 50mm (1EA)). 판당 1EA는 bundle_qty 차원(size 아님).,원형 50mm (1EA),1,NEW(라이브 무매치),K-4. sticker 066 row9 원형 50mm (1EA)(cut 50.00x50.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000508. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
SIZ_000509,원형55x55,55.00,55.00,N,Y,합판도무송 원형 옵션(원형 55mm (1EA)). 판당 1EA는 bundle_qty 차원(size 아님).,원형 55mm (1EA),1,NEW(라이브 무매치),K-4. sticker 066 row10 원형 55mm (1EA)(cut 55.00x55.00). 라이브 siz_nm 전수 매칭 무매치 → 신설. 형제 SIZ_000419~422(원형WxH·impos_yn=N). max siz_cd=SIZ_000500 → 차순 SIZ_000509. EA=판당조각수=bundle_qty(K-4 치수=size축·모양=공정 유지).
