prd_cd,proc_cd,excl_grp_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000018,PROC_000029,,N,10,2026-06-05 00:00:00,,[digital-print] L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000018,PROC_000030,,N,11,2026-06-05 00:00:00,,[digital-print] L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000018,PROC_000031,,N,12,2026-06-05 00:00:00,,[digital-print] L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000018,PROC_000032,,N,13,2026-06-05 00:00:00,,[digital-print] L1:스탠다드엽서 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000029,,N,10,2026-06-05 00:00:00,,[digital-print] L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000030,,N,11,2026-06-05 00:00:00,,[digital-print] L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000031,,N,12,2026-06-05 00:00:00,,[digital-print] L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000041,PROC_000032,,N,13,2026-06-05 00:00:00,,[digital-print] L1:스탠다드 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000029,,N,10,2026-06-05 00:00:00,,[digital-print] L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000030,,N,11,2026-06-05 00:00:00,,[digital-print] L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000031,,N,12,2026-06-05 00:00:00,,[digital-print] L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000042,PROC_000032,,N,13,2026-06-05 00:00:00,,[digital-print] L1:프리미엄 쿠폰/상품권 오시/미싱(없음|1~3줄)+가변T/가변I(없음|1~3개) → 29오시·30미싱·31가변텍스트·32가변이미지 (R1)
PRD_000027,PROC_000031,,N,10,2026-06-05 00:00:00,,[digital-print] L1:2단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000027,PROC_000032,,N,11,2026-06-05 00:00:00,,[digital-print] L1:2단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000029,PROC_000031,,N,10,2026-06-05 00:00:00,,[digital-print] L1:3단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000029,PROC_000032,,N,11,2026-06-05 00:00:00,,[digital-print] L1:3단접지카드 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000031,PROC_000031,,N,10,2026-06-05 00:00:00,,[digital-print] L1:프리미엄명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000031,PROC_000032,,N,11,2026-06-05 00:00:00,,[digital-print] L1:프리미엄명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000033,PROC_000031,,N,10,2026-06-05 00:00:00,,[digital-print] L1:스탠다드명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000033,PROC_000032,,N,11,2026-06-05 00:00:00,,[digital-print] L1:스탠다드명함 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000047,PROC_000031,,N,10,2026-06-05 00:00:00,,[digital-print] L1:소량전단지 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000047,PROC_000032,,N,11,2026-06-05 00:00:00,,[digital-print] L1:소량전단지 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000048,PROC_000031,,N,10,2026-06-05 00:00:00,,[digital-print] L1:접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000048,PROC_000032,,N,11,2026-06-05 00:00:00,,[digital-print] L1:접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000049,PROC_000031,,N,10,2026-06-05 00:00:00,,[digital-print] L1:와이드 접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000049,PROC_000032,,N,11,2026-06-05 00:00:00,,[digital-print] L1:와이드 접지리플렛 가변T/가변I(없음|1~3개) 보유·오시/미싱 부재 → 31가변텍스트·32가변이미지 (R1)
PRD_000069,PROC_000051,,N,51,,,"[booklet] L1:무선책자 박/형압가공=형압(양각) → PROC_000051(upr=PROC_000050, 크기 param 마스터상속) (R2 G-BK-3)"
PRD_000069,PROC_000052,,N,52,,,"[booklet] L1:무선책자 박/형압가공=형압(음각) → PROC_000052(upr=PROC_000050, 크기 param 마스터상속) (R2 G-BK-3)"
PRD_000070,PROC_000051,,N,51,,,"[booklet] L1:PUR책자 박/형압가공=형압(양각) → PROC_000051(upr=PROC_000050, 크기 param 마스터상속) (R2 G-BK-3)"
PRD_000070,PROC_000052,,N,52,,,"[booklet] L1:PUR책자 박/형압가공=형압(음각) → PROC_000052(upr=PROC_000050, 크기 param 마스터상속) (R2 G-BK-3)"
PRD_000173,PROC_000023,,Y,1,2026-06-05 00:00:00,,"[stationery] L1:만년다이어리(하드커버) 제본사양=""하드커버(면지?)"" → PROC_000023 하드커버무선제본 (R1, ref-processes 마스터 직접매핑)"
PRD_000174,PROC_000023,,Y,1,2026-06-05 00:00:00,,"[stationery] L1:만년다이어리(레더하드커버) 제본사양=""하드커버(면지?)"" → PROC_000023 하드커버무선제본 (R1, ref-processes 마스터 직접매핑)"
PRD_000177,PROC_000021,,Y,1,2026-06-05 00:00:00,,"[stationery] L1:스프링노트 제본사양=""트윈링제본(좌철+실버링)"" → PROC_000021 트윈링제본(좌철) (R1, ref-processes 마스터 직접매핑)"
PRD_000178,PROC_000021,,Y,1,2026-06-05 00:00:00,,"[stationery] L1:스프링수첩 제본사양=""트윈링제본(상철+실버링)"" → PROC_000021 트윈링제본(상철) (R1, ref-processes 마스터 직접매핑)"
PRD_000179,PROC_000022,,Y,1,2026-06-05 00:00:00,,"[stationery] L1:메모패드 제본사양=""떡제본"" → PROC_000022 떡제본 (R1, ref-processes 마스터 직접매핑)"
