sql_stmt_seq,conflict_or_where_key,source_csv_row
1,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row2 PRD_000016→QTY_UNIT.02
2,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row3 PRD_000017→QTY_UNIT.02
3,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row4 PRD_000018→QTY_UNIT.02
4,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row5 PRD_000019→QTY_UNIT.02
5,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row6 PRD_000020→QTY_UNIT.02
6,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row7 PRD_000021→QTY_UNIT.02
7,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row8 PRD_000022→QTY_UNIT.02
8,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row9 PRD_000023→QTY_UNIT.02
9,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row10 PRD_000024→QTY_UNIT.02
10,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row11 PRD_000025→QTY_UNIT.02
11,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row12 PRD_000026→QTY_UNIT.02
12,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row13 PRD_000027→QTY_UNIT.02
13,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row14 PRD_000028→QTY_UNIT.02
14,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row15 PRD_000029→QTY_UNIT.02
15,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row16 PRD_000030→QTY_UNIT.02
16,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row17 PRD_000031→QTY_UNIT.02
17,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row18 PRD_000032→QTY_UNIT.02
18,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row19 PRD_000033→QTY_UNIT.02
19,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row20 PRD_000034→QTY_UNIT.02
