prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,del_yn,del_dt
PRD_000016,MAT_000074,USAGE.07,,Y,1,2026-06-06 16:19:24.24146,2026-06-06 16:19:46.557605,N,
PRD_000016,MAT_000082,USAGE.07,,Y,2,2026-06-06 16:19:46.610959,,N,
PRD_000033,MAT_000074,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000033,MAT_000081,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000033,MAT_000082,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000033,MAT_000091,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000033,MAT_000092,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000041,MAT_000072,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000041,MAT_000078,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000041,MAT_000088,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000041,MAT_000105,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000240,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000128,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000129,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000241,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000118,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000125,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,MAT_000121,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,MAT_000078,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,MAT_000091,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,MAT_000105,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,MAT_000109,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000053,MAT_000162,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000054,MAT_000163,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000056,MAT_000243,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000066,MAT_000153,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000066,MAT_000084,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000066,MAT_000155,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000066,MAT_000156,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000066,MAT_000170,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000066,MAT_000171,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,MAT_000013,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,MAT_000244,USAGE.05,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,MAT_000014,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,MAT_000245,USAGE.05,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000071,MAT_000015,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000108,MAT_000252,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000108,MAT_000253,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000109,MAT_000254,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000109,MAT_000253,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000111,MAT_000253,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000122,MAT_000180,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000146,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000147,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000148,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000149,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000150,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000151,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000152,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000154,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000155,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000157,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000158,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000160,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000161,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000162,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000163,MAT_000192,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000172,MAT_000260,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000173,MAT_000260,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000174,MAT_000186,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000176,MAT_000072,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000176,MAT_000260,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000177,MAT_000261,USAGE.01,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000177,MAT_000072,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000177,MAT_000260,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000178,MAT_000261,USAGE.01,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000178,MAT_000072,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000178,MAT_000260,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000179,MAT_000261,USAGE.01,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000179,MAT_000072,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000179,MAT_000260,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000181,MAT_000261,USAGE.01,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000181,MAT_000072,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000181,MAT_000260,USAGE.02,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000198,MAT_000255,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000198,MAT_000256,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000108,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000109,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000110,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000111,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,,N,
