artifact,output_kind,output_key,source,source_detail
01_component_prices.sql,price_insert,comp_price_id=1713,t_prc_component_prices_ENV.csv,line:2|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000159|min_qty:1000|unit_price:96000
01_component_prices.sql,price_insert,comp_price_id=1714,t_prc_component_prices_ENV.csv,line:3|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000168|min_qty:1000|unit_price:111000
01_component_prices.sql,price_insert,comp_price_id=1715,t_prc_component_prices_ENV.csv,line:4|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000159|min_qty:1000|unit_price:48000
01_component_prices.sql,price_insert,comp_price_id=1716,t_prc_component_prices_ENV.csv,line:5|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000168|min_qty:1000|unit_price:58000
01_component_prices.sql,price_insert,comp_price_id=1717,t_prc_component_prices_ENV.csv,line:6|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000159|min_qty:1000|unit_price:48000
01_component_prices.sql,price_insert,comp_price_id=1718,t_prc_component_prices_ENV.csv,line:7|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000168|min_qty:1000|unit_price:58000
01_component_prices.sql,price_insert,comp_price_id=1719,t_prc_component_prices_ENV.csv,line:8|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000159|min_qty:1000|unit_price:134000
01_component_prices.sql,price_insert,comp_price_id=1720,t_prc_component_prices_ENV.csv,line:9|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000168|min_qty:1000|unit_price:152000
01_component_prices.sql,price_insert,comp_price_id=1721,t_prc_component_prices_ENV.csv,line:10|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000159|min_qty:2000|unit_price:192000
01_component_prices.sql,price_insert,comp_price_id=1722,t_prc_component_prices_ENV.csv,line:11|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000168|min_qty:2000|unit_price:222000
01_component_prices.sql,price_insert,comp_price_id=1723,t_prc_component_prices_ENV.csv,line:12|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000159|min_qty:2000|unit_price:96000
01_component_prices.sql,price_insert,comp_price_id=1724,t_prc_component_prices_ENV.csv,line:13|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000168|min_qty:2000|unit_price:116000
01_component_prices.sql,price_insert,comp_price_id=1725,t_prc_component_prices_ENV.csv,line:14|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000159|min_qty:2000|unit_price:96000
01_component_prices.sql,price_insert,comp_price_id=1726,t_prc_component_prices_ENV.csv,line:15|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000168|min_qty:2000|unit_price:116000
01_component_prices.sql,price_insert,comp_price_id=1727,t_prc_component_prices_ENV.csv,line:16|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000159|min_qty:2000|unit_price:272000
01_component_prices.sql,price_insert,comp_price_id=1728,t_prc_component_prices_ENV.csv,line:17|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000168|min_qty:2000|unit_price:304000
01_component_prices.sql,price_insert,comp_price_id=1729,t_prc_component_prices_ENV.csv,line:18|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000159|min_qty:3000|unit_price:288000
01_component_prices.sql,price_insert,comp_price_id=1730,t_prc_component_prices_ENV.csv,line:19|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000168|min_qty:3000|unit_price:333000
01_component_prices.sql,price_insert,comp_price_id=1731,t_prc_component_prices_ENV.csv,line:20|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000159|min_qty:3000|unit_price:144000
01_component_prices.sql,price_insert,comp_price_id=1732,t_prc_component_prices_ENV.csv,line:21|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000168|min_qty:3000|unit_price:174000
01_component_prices.sql,price_insert,comp_price_id=1733,t_prc_component_prices_ENV.csv,line:22|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000159|min_qty:3000|unit_price:144000
01_component_prices.sql,price_insert,comp_price_id=1734,t_prc_component_prices_ENV.csv,line:23|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000168|min_qty:3000|unit_price:174000
01_component_prices.sql,price_insert,comp_price_id=1735,t_prc_component_prices_ENV.csv,line:24|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000159|min_qty:3000|unit_price:400000
01_component_prices.sql,price_insert,comp_price_id=1736,t_prc_component_prices_ENV.csv,line:25|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000168|min_qty:3000|unit_price:456000
01_component_prices.sql,price_insert,comp_price_id=1737,t_prc_component_prices_ENV.csv,line:26|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000159|min_qty:4000|unit_price:384000
01_component_prices.sql,price_insert,comp_price_id=1738,t_prc_component_prices_ENV.csv,line:27|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000168|min_qty:4000|unit_price:444000
01_component_prices.sql,price_insert,comp_price_id=1739,t_prc_component_prices_ENV.csv,line:28|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000159|min_qty:4000|unit_price:192000
01_component_prices.sql,price_insert,comp_price_id=1740,t_prc_component_prices_ENV.csv,line:29|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000168|min_qty:4000|unit_price:232000
01_component_prices.sql,price_insert,comp_price_id=1741,t_prc_component_prices_ENV.csv,line:30|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000159|min_qty:4000|unit_price:192000
01_component_prices.sql,price_insert,comp_price_id=1742,t_prc_component_prices_ENV.csv,line:31|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000168|min_qty:4000|unit_price:232000
01_component_prices.sql,price_insert,comp_price_id=1743,t_prc_component_prices_ENV.csv,line:32|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000159|min_qty:4000|unit_price:536000
01_component_prices.sql,price_insert,comp_price_id=1744,t_prc_component_prices_ENV.csv,line:33|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000168|min_qty:4000|unit_price:608000
01_component_prices.sql,price_insert,comp_price_id=1745,t_prc_component_prices_ENV.csv,line:34|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000159|min_qty:5000|unit_price:480000
01_component_prices.sql,price_insert,comp_price_id=1746,t_prc_component_prices_ENV.csv,line:35|SIZ_PENDING_ENV_TICKET->SIZ_000191|mat:MAT_000168|min_qty:5000|unit_price:555000
01_component_prices.sql,price_insert,comp_price_id=1747,t_prc_component_prices_ENV.csv,line:36|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000159|min_qty:5000|unit_price:240000
01_component_prices.sql,price_insert,comp_price_id=1748,t_prc_component_prices_ENV.csv,line:37|SIZ_PENDING_ENV_SMALL->SIZ_000192|mat:MAT_000168|min_qty:5000|unit_price:290000
01_component_prices.sql,price_insert,comp_price_id=1749,t_prc_component_prices_ENV.csv,line:38|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000159|min_qty:5000|unit_price:240000
01_component_prices.sql,price_insert,comp_price_id=1750,t_prc_component_prices_ENV.csv,line:39|SIZ_PENDING_ENV_JACKET->SIZ_000193|mat:MAT_000168|min_qty:5000|unit_price:290000
01_component_prices.sql,price_insert,comp_price_id=1751,t_prc_component_prices_ENV.csv,line:40|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000159|min_qty:5000|unit_price:672000
01_component_prices.sql,price_insert,comp_price_id=1752,t_prc_component_prices_ENV.csv,line:41|SIZ_PENDING_ENV_LARGE->SIZ_000194|mat:MAT_000168|min_qty:5000|unit_price:760000
