sql_stmt_seq,target_table,conflict_key,source_csv_row
1,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row2
2,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row3
3,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row4
4,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row5
5,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row6
6,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row7
7,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row8
8,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row9
9,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row10
10,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row11
11,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row12
12,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row13
13,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row14
14,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row15
15,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row16
16,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row17
17,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row18
18,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row19
19,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row20
20,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row21
21,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row22
22,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row23
23,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row24
24,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row25
25,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row26
26,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row27
27,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row28
28,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row29
29,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row30
30,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row31
31,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row32
32,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row33
33,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row34
34,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row35
35,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row36
36,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row37
37,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row38
38,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row39
39,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row40
40,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row41
41,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row42
42,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row43
43,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row44
44,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row45
45,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row46
46,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row47
47,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row48
48,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row49
49,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row50
50,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row51
51,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row52
52,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row53
53,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row54
54,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row55
55,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row56
56,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row57
57,t_prc_component_prices,(comp_price_id),04_prc_component_prices.csv:row58
