output_table,key,source
t_prc_price_formulas,PRF_FOAMBOARD_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_FOMEXBOARD_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_FRAMELESS_WOOD_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_LEATHER_FRAME_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_CANVAS_HANGING_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_LINEN_WOODBONG_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_JOKJA_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_PET_BANNER_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_MESH_BANNER_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_SHEETCUT_MATTE_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_SHEETCUT_HOLO_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_ACRYLSTK_GLOSS_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_ACRYLSTK_MIRROR_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_MINI_STANDBOARD_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_formulas,PRF_MINI_BANNER_FIXED,fixedprice-formulas.csv:t_prc_price_formulas
t_prc_price_components,COMP_FOAMBOARD_WHITE,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_FOAMBOARD_BLACK,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_FOMEXBOARD_WHITE,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_FOMEXBOARD_BLACK,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_FRAMELESS_WOOD,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_LEATHER_FRAME,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_CANVAS_HANGING,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_LINEN_WOODBONG,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_JOKJA,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_PET_BANNER,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_MESH_BANNER,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_SHEETCUT_MATTE,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_SHEETCUT_HOLO,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_ACRYLSTK_GLOSS,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_ACRYLSTK_MIRROR,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_MINI_STANDBOARD,fixedprice-component-prices.csv:comp_cd
t_prc_price_components,COMP_POSTER_MINI_BANNER,fixedprice-component-prices.csv:comp_cd
t_prc_formula_components,PRF_FOAMBOARD_FIXED|COMP_FOAMBOARD_WHITE,fixedprice-formulas.csv:t_prc_formula_components
t_prc_formula_components,PRF_FOAMBOARD_FIXED|COMP_FOAMBOARD_BLACK,fixedprice-formulas.csv:t_prc_formula_components
