prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000146,MAT_000051,USAGE.07,,N,11,2026-06-05 00:00:00,,"L1:아크릴키링 가공(옵션)=은색고리 → 부속자재 MAT_000051 아크릴부속 은색고리 (MAT_TYPE.07, G-AC-3)"
PRD_000146,MAT_000052,USAGE.07,,N,12,2026-06-05 00:00:00,,"L1:아크릴키링 가공(옵션)=금색고리 → 부속자재 MAT_000052 아크릴부속 금색고리 (MAT_TYPE.07, G-AC-3)"
PRD_000148,MAT_000047,USAGE.07,,N,11,2026-06-05 00:00:00,,"L1:아크릴뱃지 가공(옵션)=원형핀 → 부속자재 MAT_000047 아크릴부속 원형핀 (MAT_TYPE.07, G-AC-3)"
PRD_000148,MAT_000048,USAGE.07,,N,12,2026-06-05 00:00:00,,"L1:아크릴뱃지 가공(옵션)=1구자석 → 부속자재 MAT_000048 아크릴부속 1구자석 (MAT_TYPE.07, G-AC-3)"
PRD_000149,MAT_000056,USAGE.07,,N,11,2026-06-05 00:00:00,,"L1:아크릴집게 가공(옵션)=투명집게 → 부속자재 MAT_000056 아크릴부속 투명집게 (MAT_TYPE.07, G-AC-3)"
PRD_000150,MAT_000054,USAGE.07,,N,11,2026-06-05 00:00:00,,"L1:아크릴스마트톡 가공(옵션)=화이트바디 → 부속자재 MAT_000054 아크릴부속 화이트바디 (MAT_TYPE.07, G-AC-3)"
PRD_000150,MAT_000053,USAGE.07,,N,12,2026-06-05 00:00:00,,"L1:아크릴스마트톡 가공(옵션)=투명바디 → 부속자재 MAT_000053 아크릴부속 투명바디 (MAT_TYPE.07, G-AC-3)"
PRD_000152,MAT_000046,USAGE.07,,N,11,2026-06-05 00:00:00,,"L1:아크릴명찰 가공(옵션)=일자핀 → 부속자재 MAT_000046 아크릴부속 일자핀 (MAT_TYPE.07, G-AC-3)"
PRD_000152,MAT_000049,USAGE.07,,N,12,2026-06-05 00:00:00,,"L1:아크릴명찰 가공(옵션)=2구자석 → 부속자재 MAT_000049 아크릴부속 2구자석 (MAT_TYPE.07, G-AC-3)"
PRD_000154,MAT_000057,USAGE.07,,N,11,2026-06-05 00:00:00,,"L1:아크릴 머리끈 가공(옵션)=블랙헤어끈 → 부속자재 MAT_000057 아크릴부속 블랙헤어끈 (MAT_TYPE.07, G-AC-3)"
