prd_cd,usage_cd,current_mat_cd,target_mat_cd,target_mat_nm,use_yn,_provenance
PRD_000146,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴키링 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000147,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴마그넷 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000148,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴뱃지 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000149,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴집게 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000150,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴스마트톡 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000151,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:맥세이프 스마트톡 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000152,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴명찰 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000154,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴 머리끈 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000155,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴볼펜 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000156,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,N,"L1:아크릴지비츠 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000157,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴네임택 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000158,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴 포카키링 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000159,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,N,"L1:아크릴 코스터 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000160,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴자유형스탠드 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000161,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:판아크릴 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000162,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,Y,"L1:아크릴포카스탠드 소재=투명아크릴 3mm → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000163,USAGE.07,MAT_000192,MAT_000042,아크릴 투명 1.5mm,Y,"L1:아크릴미니파츠 소재=투명아크릴 1.5mm → MAT_000042 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000164,USAGE.07,MAT_000192,MAT_000044,아크릴 투명 8mm,N,"L1:아크릴코롯토 소재=투명아크릴 8mm | (8T) → MAT_000044 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000165,USAGE.07,MAT_000192,MAT_000044,아크릴 투명 8mm,N,"L1:포카코롯토 소재=투명아크릴 8mm → MAT_000044 두께정정(192 평면화 해소, G-AC-3/C-8)"
PRD_000166,USAGE.07,MAT_000192,MAT_000043,아크릴 투명 3mm,N,"L1:아크릴카라비너 소재=투명아크릴 3mm+3mm 접합 → MAT_000043 두께정정(192 평면화 해소, G-AC-3/C-8)"
