prd_cd,prd_nm,current_nonspec_yn,target_nonspec_yn,nonspec_width_min,nonspec_width_max,nonspec_height_min,nonspec_height_max,use_yn,_provenance
PRD_000146,아크릴키링,N,Y,20.00,100.00,20.00,100.00,Y,L1:아크릴키링 사용자입력+비규격 가로20~100/세로20~100 → nonspec 범위(G-AC-6)
PRD_000147,아크릴마그넷,N,Y,20.00,80.00,20.00,80.00,Y,L1:아크릴마그넷 사용자입력+비규격 가로20~80/세로20~80 → nonspec 범위(G-AC-6)
PRD_000148,아크릴뱃지,N,Y,30.00,80.00,30.00,80.00,Y,L1:아크릴뱃지 사용자입력+비규격 가로30~80/세로30~80 → nonspec 범위(G-AC-6)
PRD_000149,아크릴집게,N,Y,30.00,60.00,30.00,60.00,Y,L1:아크릴집게 사용자입력+비규격 가로30~60/세로30~60 → nonspec 범위(G-AC-6)
PRD_000150,아크릴스마트톡,N,Y,50.00,80.00,50.00,80.00,Y,L1:아크릴스마트톡 사용자입력+비규격 가로50~80/세로50~80 → nonspec 범위(G-AC-6)
PRD_000151,맥세이프 스마트톡,N,Y,50.00,80.00,50.00,80.00,Y,L1:맥세이프 스마트톡 사용자입력+비규격 가로50~80/세로50~80 → nonspec 범위(G-AC-6)
PRD_000152,아크릴명찰,N,Y,60.00,80.00,20.00,50.00,Y,L1:아크릴명찰 사용자입력+비규격 가로60~80/세로20~50 → nonspec 범위(G-AC-6)
PRD_000153,아크릴명찰(골드실버),N,Y,60.00,80.00,20.00,50.00,N,L1:아크릴명찰(골드실버) 사용자입력+비규격 가로60~80/세로20~50 → nonspec 범위(G-AC-6)
PRD_000154,아크릴 머리끈,N,Y,20.00,40.00,20.00,40.00,Y,L1:아크릴 머리끈 사용자입력+비규격 가로20~40/세로20~40 → nonspec 범위(G-AC-6)
PRD_000155,아크릴볼펜,N,Y,20.00,40.00,20.00,40.00,Y,L1:아크릴볼펜 사용자입력+비규격 가로20~40/세로20~40 → nonspec 범위(G-AC-6)
PRD_000156,아크릴지비츠,N,Y,15.00,35.00,15.00,35.00,N,L1:아크릴지비츠 사용자입력+비규격 가로15~35/세로15~35 → nonspec 범위(G-AC-6)
PRD_000164,아크릴코롯토,N,Y,30.00,80.00,30.00,80.00,N,L1:아크릴코롯토 사용자입력+비규격 가로30~80/세로30~80 → nonspec 범위(G-AC-6)
