prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000068,MAT_000073,USAGE.01,,Y,1,,,"IMPORT:중철내지● 백색모조지 120g→MAT_000073 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000077,USAGE.01,,N,2,,,"IMPORT:중철내지● 아트지 120g→MAT_000077 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000078,USAGE.01,,N,3,,,"IMPORT:중철내지● 아트지 150g→MAT_000078 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000079,USAGE.01,,N,4,,,"IMPORT:중철내지● 아트지 180g→MAT_000079 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000080,USAGE.01,,N,5,,,"IMPORT:중철내지● 아트지 200g→MAT_000080 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000087,USAGE.01,,N,6,,,"IMPORT:중철내지● 스노우지 120g→MAT_000087 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000088,USAGE.01,,N,7,,,"IMPORT:중철내지● 스노우지 150g→MAT_000088 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000089,USAGE.01,,N,8,,,"IMPORT:중철내지● 스노우지 180g→MAT_000089 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000090,USAGE.01,,N,9,,,"IMPORT:중철내지● 스노우지 200g→MAT_000090 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000104,USAGE.01,,N,10,,,"IMPORT:중철내지● 몽블랑 100g→MAT_000104 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
PRD_000068,MAT_000105,USAGE.01,,N,11,,,"IMPORT:중철내지● 몽블랑 130g→MAT_000105 (R1 G-BK-1/2 내지 usage_cd=USAGE.01, seoljeong-import-map)"
