prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000016,MAT_000074,USAGE.07,,Y,1,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 백색모조지 220g→MAT_000074 (R3, seoljeong-import-map)"
PRD_000016,MAT_000082,USAGE.07,,N,2,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 아트지 300g→MAT_000082 (R3, seoljeong-import-map)"
PRD_000016,MAT_000092,USAGE.07,,N,3,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 스노우지 300g→MAT_000092 (R3, seoljeong-import-map)"
PRD_000016,MAT_000101,USAGE.07,,N,4,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 랑데뷰 WH 240g→MAT_000101 (R3, seoljeong-import-map)"
PRD_000016,MAT_000109,USAGE.07,,N,5,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 몽블랑 240g→MAT_000109 (R3, seoljeong-import-map)"
PRD_000016,MAT_000113,USAGE.07,,N,6,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 아코팩(웜화이트) 250g→MAT_000113 (R3, seoljeong-import-map)"
PRD_000016,MAT_000114,USAGE.07,,N,7,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 리사이클러스 240g→MAT_000114 (R3, seoljeong-import-map)"
PRD_000016,MAT_000115,USAGE.07,,N,8,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 매쉬멜로우 233g→MAT_000115 (R3, seoljeong-import-map)"
PRD_000016,MAT_000116,USAGE.07,,N,9,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 린넨커버 216g→MAT_000116 (R3, seoljeong-import-map)"
PRD_000016,MAT_000117,USAGE.07,,N,10,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 스타화이트(하이테크) 238g→MAT_000117 (R3, seoljeong-import-map)"
PRD_000016,MAT_000118,USAGE.07,,N,11,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 클래식 크래스트 스티플 270g→MAT_000118 (R3, seoljeong-import-map)"
PRD_000016,MAT_000120,USAGE.07,,N,12,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 매직터치(백색) 250g→MAT_000120 (R3, seoljeong-import-map)"
PRD_000016,MAT_000121,USAGE.07,,N,13,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 켄도 250g→MAT_000121 (R3, seoljeong-import-map)"
PRD_000016,MAT_000123,USAGE.07,,N,14,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 띤또레또 200g→MAT_000123 (R3, seoljeong-import-map)"
PRD_000016,MAT_000124,USAGE.07,,N,15,2026-06-05 00:00:00,,"IMPORT:프리미엄엽서● 띤또레또 250g→MAT_000124 (R3, seoljeong-import-map)"
