prd_cd,mat_cd,usage_cd,del_yn
PRD_000195,MAT_000271,USAGE.07,N
PRD_000195,MAT_000272,USAGE.07,N
PRD_000200,MAT_000273,USAGE.07,Y
PRD_000200,MAT_000274,USAGE.07,Y
PRD_000201,MAT_000275,USAGE.07,Y
PRD_000201,MAT_000276,USAGE.07,Y
PRD_000201,MAT_000379,USAGE.07,N
PRD_000202,MAT_000277,USAGE.07,N
PRD_000202,MAT_000278,USAGE.07,N
PRD_000202,MAT_000279,USAGE.07,N
PRD_000203,MAT_000277,USAGE.07,N
PRD_000203,MAT_000278,USAGE.07,N
PRD_000203,MAT_000279,USAGE.07,N
PRD_000203,MAT_000280,USAGE.07,N
PRD_000216,MAT_000295,USAGE.07,N
PRD_000216,MAT_000296,USAGE.07,N
PRD_000220,MAT_000271,USAGE.07,Y
PRD_000220,MAT_000272,USAGE.07,Y
PRD_000220,MAT_000571,USAGE.07,N
PRD_000229,MAT_000317,USAGE.07,N
PRD_000229,MAT_000318,USAGE.07,N
PRD_000230,MAT_000008,USAGE.07,N
PRD_000230,MAT_000319,USAGE.07,Y
PRD_000230,MAT_000320,USAGE.07,Y
PRD_000231,MAT_000008,USAGE.07,N
PRD_000231,MAT_000319,USAGE.07,Y
PRD_000231,MAT_000320,USAGE.07,Y
PRD_000232,MAT_000008,USAGE.07,Y
PRD_000232,MAT_000319,USAGE.07,Y
PRD_000232,MAT_000320,USAGE.07,Y
PRD_000232,MAT_000379,USAGE.07,N
PRD_000233,MAT_000008,USAGE.07,N
PRD_000233,MAT_000321,USAGE.07,N
PRD_000233,MAT_000322,USAGE.07,N
PRD_000238,MAT_000008,USAGE.07,N
PRD_000238,MAT_000323,USAGE.07,N
PRD_000238,MAT_000324,USAGE.07,N
PRD_000238,MAT_000325,USAGE.07,N
PRD_000239,MAT_000185,USAGE.07,N
PRD_000239,MAT_000319,USAGE.07,N
PRD_000239,MAT_000320,USAGE.07,N
PRD_000243,MAT_000184,USAGE.07,N
PRD_000243,MAT_000319,USAGE.07,N
PRD_000243,MAT_000320,USAGE.07,N
PRD_000243,MAT_000326,USAGE.07,N
PRD_000244,MAT_000319,USAGE.07,N
PRD_000244,MAT_000320,USAGE.07,N
PRD_000244,MAT_000327,USAGE.07,N
PRD_000245,MAT_000319,USAGE.07,N
PRD_000245,MAT_000320,USAGE.07,N
PRD_000246,MAT_000319,USAGE.07,N
PRD_000246,MAT_000320,USAGE.07,N
PRD_000247,MAT_000319,USAGE.07,N
PRD_000247,MAT_000320,USAGE.07,N
PRD_000247,MAT_000327,USAGE.07,N
PRD_000249,MAT_000183,USAGE.07,N
PRD_000249,MAT_000319,USAGE.07,N
PRD_000249,MAT_000320,USAGE.07,N
PRD_000252,MAT_000008,USAGE.07,N
PRD_000252,MAT_000329,USAGE.07,N
PRD_000252,MAT_000330,USAGE.07,N
PRD_000254,MAT_000008,USAGE.07,N
PRD_000254,MAT_000329,USAGE.07,N
PRD_000254,MAT_000330,USAGE.07,N
PRD_000273,MAT_000319,USAGE.07,N
PRD_000273,MAT_000320,USAGE.07,N
PRD_000274,MAT_000319,USAGE.07,N
PRD_000274,MAT_000320,USAGE.07,N
