prd_cd,prd_nm,use_yn,l1_size_value,category,candidate_siz_cd,size_loaded,plate_loaded,verdict
PRD_000183,틴거울,Y,무광 75mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000184,컴팩트거울,Y,무광 75mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000186,사각손거울,Y,S (75x130 mm),RESOLVABLE(마스터 cut 일치),SIZ_000384,3,3,기적재(skip)
PRD_000186,사각손거울,Y,M (95x166 mm),RESOLVABLE(마스터 cut 일치),SIZ_000386,3,3,기적재(skip)
PRD_000186,사각손거울,Y,L (120x218 mm),RESOLVABLE(마스터 cut 일치),SIZ_000388,3,3,기적재(skip)
PRD_000187,블랙사각손거울,Y,S (75x130 mm),RESOLVABLE(마스터 cut 일치),SIZ_000384,3,3,기적재(skip)
PRD_000187,블랙사각손거울,Y,M (95x166 mm),RESOLVABLE(마스터 cut 일치),SIZ_000386,3,3,기적재(skip)
PRD_000187,블랙사각손거울,Y,L (120x218 mm),RESOLVABLE(마스터 cut 일치),SIZ_000388,3,3,기적재(skip)
PRD_000188,레더코스터,Y,원형 90mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000188,레더코스터,Y,사각 90mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000189,코르크코스터,Y,원형 90mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000190,우드코스터,Y,원형 90mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000190,우드코스터,Y,사각 90mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000191,린넨패브릭코스터,Y,사각 110mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000192,규조토코스터,Y,원형 102mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000192,규조토코스터,Y,사각 100mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000193,머그컵,Y,11온스,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000194,워터북보틀,Y,350ml,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000194,워터북보틀,Y,500ml,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000195,벨벳쿠션,Y,단면,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000195,벨벳쿠션,Y,양면,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000197,미니매트,Y,45 x 45 cm,RESOLVABLE(마스터 cut 일치),SIZ_000219,1,2,기적재(skip)
PRD_000198,피크닉매트,Y,100x70cm(1인용),RESOLVABLE(마스터 cut 일치),SIZ_000246,2,3,기적재(skip)
PRD_000198,피크닉매트,Y,100x150cm(2인용),RESOLVABLE(마스터 cut 일치),SIZ_000003,2,3,기적재(skip)
PRD_000200,핀버튼,Y,원형 58mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000200,핀버튼,Y,사각 57mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000201,레더스트랩키링,Y,미니 50mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000201,레더스트랩키링,Y,일반 100mm,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000202,키캡키링,N,2구,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,1,0,기적재(skip)
PRD_000202,키캡키링,N,3구,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,1,0,기적재(skip)
PRD_000202,키캡키링,N,4구,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,1,0,기적재(skip)
PRD_000202,키캡키링,N,2x2구,RESOLVABLE(마스터 cut 일치),SIZ_000406,1,0,기적재(skip)
PRD_000203,LED투명키캡키링,N,1구,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000203,LED투명키캡키링,N,2구,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000203,LED투명키캡키링,N,3구,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000203,LED투명키캡키링,N,4구,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000204,미니CD앨범,N,CD 커버 세트 (미조립),비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000208,슬로건,N,양면 가로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000208,슬로건,N,양면 세로형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000213,틴케이스,Y,미니틴케이스,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000214,자석북마크,Y,2개1팩,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000215,클립보드,Y,A5용 (164 x 230 mm),WxH_NO_MASTER(치수 있으나 마스터 부재),,2,2,기적재(skip)
PRD_000215,클립보드,Y,A4용 (230 x 330 mm),WxH_NO_MASTER(치수 있으나 마스터 부재),,2,2,기적재(skip)
PRD_000216,투명클립보드,Y,A5용,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000216,투명클립보드,Y,A4용,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000217,만년스탬프,Y,원형 13x13mm,RESOLVABLE(마스터 cut 일치),SIZ_000419,7,0,기적재(skip)
PRD_000217,만년스탬프,Y,원형 19x19mm,RESOLVABLE(마스터 cut 일치),SIZ_000420,7,0,기적재(skip)
PRD_000217,만년스탬프,Y,원형 24x24mm,RESOLVABLE(마스터 cut 일치),SIZ_000421,7,0,기적재(skip)
PRD_000217,만년스탬프,Y,원형 35x35mm,RESOLVABLE(마스터 cut 일치),SIZ_000217;SIZ_000354;SIZ_000422,7,0,기적재(skip)
PRD_000217,만년스탬프,Y,사각 30x30mm,RESOLVABLE(마스터 cut 일치),SIZ_000216;SIZ_000330;SIZ_000423,7,0,기적재(skip)
PRD_000217,만년스탬프,Y,사각 67x32mm,RESOLVABLE(마스터 cut 일치),SIZ_000424,7,0,기적재(skip)
PRD_000217,만년스탬프,Y,사각 78x28mm,RESOLVABLE(마스터 cut 일치),SIZ_000425,7,0,기적재(skip)
PRD_000218,타이벡북커버,N,A5,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,1,0,기적재(skip)
PRD_000220,폰스트랩,Y,단면,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000220,폰스트랩,Y,양면,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000221,말랑키링,Y,원형,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000221,말랑키링,Y,사각,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000221,말랑키링,Y,꽃,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000221,말랑키링,Y,별,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000221,말랑키링,Y,하트,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000226,아크릴쉐이커코롯토,N,양면인쇄,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000226,아크릴쉐이커코롯토,N,전면만 인쇄,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000226,아크릴쉐이커코롯토,N,배면만 인쇄,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000227,미니우치와키링,N,양면,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000228,하트 이미지피켓,N,양면유광,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000229,이미지피켓,N,양면유광 M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000229,이미지피켓,N,양면유광 L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,0,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000230,레더 플랫 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000230,레더 플랫 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000231,레더 슬림 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000231,레더 슬림 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000232,레더 삼각 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000232,레더 삼각 파우치,Y,L,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000233,레더 볼륨 파우치,Y,정사각M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000233,레더 볼륨 파우치,Y,직사각M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000234,레더 스트링 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,1,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000238,레더 아이패드/노트북 파우치,Y,11인치,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000238,레더 아이패드/노트북 파우치,Y,13인치,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000238,레더 아이패드/노트북 파우치,Y,15인치,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,3,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
PRD_000239,캔버스 플랫 파우치,Y,M,비치수(NONDIM — 마스터 재단치수 siz_cd 부재),,0,2,"BLOCKED — 마스터 siz_cd 신설 필요(컨펌, 추정 금지)"
