prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance
PRD_000183,틴거울,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000184,컴팩트거울,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000185,카드거울,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000186,사각손거울,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000187,블랙사각손거울,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000188,레더코스터,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000189,코르크코스터,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000190,우드코스터,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000191,린넨패브릭코스터,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000192,규조토코스터,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000193,머그컵,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000194,워터북보틀,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000195,벨벳쿠션,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000196,레더여권케이스,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000197,미니매트,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000198,피크닉매트,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000199,투명부채,,QTY_UNIT.01,N,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000200,핀버튼,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
PRD_000201,레더스트랩키링,,QTY_UNIT.01,Y,C-4 굿즈→EA(QTY_UNIT.01) 일괄. L1 goods-pouch matched 98 전건
