prd_cd	prd_nm	mat_cd	mat_nm	mat_typ_cd	usage_cd	dflt_yn
PRD_000188	레더코스터	MAT_000008	레더	MAT_TYPE.06	USAGE.07	Y
PRD_000188	레더코스터	MAT_000263	원형 90mm	MAT_TYPE.09	USAGE.07	Y
PRD_000188	레더코스터	MAT_000264	사각 90mm	MAT_TYPE.09	USAGE.07	Y
PRD_000190	우드코스터	MAT_000475	우드코스터 원형 90mm	MAT_TYPE.12	USAGE.07	Y
PRD_000190	우드코스터	MAT_000476	우드코스터 사각 90x90mm	MAT_TYPE.12	USAGE.07	Y
PRD_000192	규조토코스터	MAT_000266	원형 102mm	MAT_TYPE.09	USAGE.07	Y
PRD_000192	규조토코스터	MAT_000267	사각 100mm	MAT_TYPE.09	USAGE.07	Y
PRD_000208	슬로건	MAT_000489	벨벳 극세사 300x600 오버록	MAT_TYPE.12	USAGE.07	Y
PRD_000267	린넨 에코백	MAT_000184	린넨	MAT_TYPE.05	USAGE.07	Y
PRD_000267	린넨 에코백	MAT_000332	세로형	MAT_TYPE.09	USAGE.07	Y
PRD_000267	린넨 에코백	MAT_000333	가로형	MAT_TYPE.09	USAGE.07	Y
