prd_cd	prd_nm	cur_plt	cur_plt_nm	impos_yn	item_siz_cd	dflt_plt_yn
PRD_000179	메모패드	SIZ_000381	186x261	N	""	Y
PRD_000179	메모패드	SIZ_000007	148x210	N	""	Y
PRD_000069	무선책자	SIZ_000250	150x214	N	""	Y
PRD_000069	무선책자	SIZ_000252	213x303	N	""	Y
PRD_000050	봉투제작	SIZ_000191	225x193	N	""	Y
PRD_000050	봉투제작	SIZ_000193	262x238	N	""	Y
PRD_000050	봉투제작	SIZ_000192	238x262	N	""	Y
PRD_000050	봉투제작	SIZ_000194	510x387	N	""	Y
PRD_000065	스티커팩	SIZ_000521	330x470	Y	""	Y
PRD_000181	중철노트	SIZ_000382	216x154	N	""	Y
PRD_000068	중철책자	SIZ_000251	300x214	N	""	Y
PRD_000068	중철책자	SIZ_000181	426x303	N	""	Y
PRD_000068	중철책자	SIZ_000252	213x303	N	""	Y
PRD_000068	중철책자	SIZ_000250	150x214	N	""	Y
PRD_000039	투명명함	SIZ_000522	315x467	Y	""	Y
PRD_000177	스프링노트	SIZ_000171	152x214	N	""	Y
PRD_000178	스프링수첩	SIZ_000378	94x149	N	""	Y
PRD_000067	타투스티커	SIZ_000050	A4 (210X297)	N	""	Y
PRD_000071	트윈링책자	SIZ_000173	216x303	N	""	Y
PRD_000071	트윈링책자	SIZ_000252	213x303	N	""	Y
PRD_000071	트윈링책자	SIZ_000254	214x150	N	""	Y
PRD_000071	트윈링책자	SIZ_000250	150x214	N	""	Y
PRD_000071	트윈링책자	SIZ_000256	303x213	N	""	Y
PRD_000176	먼슬리플래너	SIZ_000180	302x216	N	""	Y
PRD_000176	먼슬리플래너	SIZ_000376	150x216	N	""	Y
PRD_000030	지그재그엽서	SIZ_000475	330x660	N	""	Y
PRD_000025	투명포토카드	SIZ_000522	315x467	Y	""	Y
PRD_000016	프리미엄엽서	SIZ_000522	315x467	Y	SIZ_000003	N
PRD_000072	하드커버책자	SIZ_000250	150x214	N	""	Y
PRD_000072	하드커버책자	SIZ_000252	213x303	N	""	Y
PRD_000061	반칼띠지스티커	SIZ_000521	330x470	Y	""	Y
PRD_000058	반칼원형스티커	SIZ_000521	330x470	Y	""	Y
PRD_000062	반칼팬시스티커	SIZ_000521	330x470	Y	""	Y
PRD_000037	오리지널박명함	SIZ_000008	90x50mm	N	""	Y
PRD_000059	반칼정사각스티커	SIZ_000521	330x470	Y	""	Y
PRD_000060	반칼직사각스티커	SIZ_000521	330x470	Y	""	Y
PRD_000064	소량자유형스티커	SIZ_000521	330x470	Y	""	Y
PRD_000066	합판도무송스티커	SIZ_000233	60x73	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000235	65x43	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000237	65x53	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000239	65x61	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000241	65x79	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000243	100x50	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000147	100x60	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000246	100x70	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000225	45x63	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000017	100x90	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000113	100x100	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000211	70x70	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000065	65x65	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000148	60x60	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000210	55x55	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000209	93x50	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000208	83x45	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000207	73x40	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000206	91x35	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000205	77x53	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000204	79x43	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000203	72x46	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000248	100x80	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000227	73x50	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000229	52x53	N	""	Y
PRD_000066	합판도무송스티커	SIZ_000231	60x53	N	""	Y
PRD_000063	반칼팬시투명스티커	SIZ_000521	330x470	Y	""	Y
PRD_000112	와이드벽걸이캘린더	SIZ_000475	330x660	N	""	Y
PRD_000172	만년다이어리(소프트커버)	SIZ_000251	300x214	N	""	Y
PRD_000173	만년다이어리(하드커버)	SIZ_000181	426x303	N	""	Y
PRD_000082	하드커버 링책자	SIZ_000254	214x150	N	""	Y
PRD_000082	하드커버 링책자	SIZ_000173	216x303	N	""	Y
PRD_000082	하드커버 링책자	SIZ_000179	303x216	N	""	Y
PRD_000082	하드커버 링책자	SIZ_000250	150x214	N	""	Y
PRD_000049	와이드 접지리플렛	SIZ_000475	330x660	N	""	Y
PRD_000077	레더 하드커버책자	SIZ_000250	150x214	N	""	Y
PRD_000077	레더 하드커버책자	SIZ_000252	213x303	N	""	Y
PRD_000055	낱장 자유형 스티커	SIZ_000050	A4 (210X297)	N	""	Y
PRD_000057	대형 자유형 스티커	SIZ_000199	400x600	N	""	Y
PRD_000052	반칼 자유형 스티커	SIZ_000521	330x470	Y	""	Y
PRD_000056	낱장 자유형 투명스티커	SIZ_000050	A4 (210X297)	N	""	Y
PRD_000053	반칼 자유형 투명스티커	SIZ_000521	330x470	Y	""	Y
PRD_000054	반칼 자유형 홀로그램스티커	SIZ_000521	330x470	Y	""	Y
PRD_000070	PUR책자	SIZ_000250	150x214	N	""	Y
PRD_000070	PUR책자	SIZ_000252	213x303	N	""	Y
