prd_cd,prd_nm,current_nonspec_yn,target_nonspec_yn,nonspec_width_min,nonspec_width_max,nonspec_height_min,nonspec_height_max,_provenance
PRD_000118,아트프린트포스터,Y,Y,200.00,1200.00,200.00,3000.00,L1:아트프린트포스터 비규격(최소/최대) 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max 전 NULL. nonspec_yn 이미 Y(정정 불요)
PRD_000119,아트페이퍼포스터,Y,Y,200.00,900.00,200.00,3000.00,L1:아트페이퍼포스터 비규격 가로=200~900·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000120,방수포스터,Y,Y,200.00,1200.00,200.00,3000.00,L1:방수포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000121,접착방수포스터,Y,Y,200.00,1200.00,200.00,3000.00,L1:접착방수포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000122,접착투명포스터,Y,Y,200.00,1200.00,200.00,3000.00,L1:접착투명포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000123,아트패브릭포스터,Y,Y,200.00,1200.00,200.00,3000.00,L1:아트패브릭포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000124,린넨패브릭포스터,Y,Y,200.00,1200.00,200.00,3000.00,L1:린넨패브릭포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000125,캔버스패브릭포스터,Y,Y,200.00,1200.00,200.00,3000.00,L1:캔버스패브릭포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000126,레더아트프린트,Y,Y,200.00,600.00,200.00,3000.00,L1:레더아트프린트 비규격 가로=200~600·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000127,타이벡프린트,Y,Y,200.00,1200.00,200.00,3000.00,L1:타이벡프린트 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000128,메쉬프린트,Y,Y,200.00,600.00,200.00,3000.00,L1:메쉬프린트 비규격 가로=200~600·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000138,일반현수막,Y,Y,500.00,1750.00,500.00,5000.00,L1:일반현수막 비규격 가로=500~1750·세로=500~5000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
PRD_000139,메쉬현수막,Y,Y,500.00,900.00,500.00,3000.00,L1:메쉬현수막 비규격 가로=500~900·세로=500~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL
