prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance
PRD_000118,아트프린트포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000119,아트페이퍼포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000120,방수포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000121,접착방수포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000122,접착투명포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000123,아트패브릭포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000124,린넨패브릭포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000125,캔버스패브릭포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000126,레더아트프린트,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000127,타이벡프린트,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000128,메쉬프린트,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000129,폼보드,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000130,포맥스보드,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000131,프레임리스우드액자,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000132,레더아트액자,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000133,캔버스 행잉포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000134,린넨 우드봉 족자,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000135,족자포스터,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000136,PET배너,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000137,메쉬배너,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000138,일반현수막,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000139,메쉬현수막,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000140,무광시트커팅,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000141,홀로그램 시트커팅,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000142,유광아크릴스티커,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000143,미러아크릴스티커,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000144,미니보드스탠딩,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
PRD_000145,미니배너,NULL,QTY_UNIT.01,Y,C-4 상품군별 일괄(silsa 대형 실사 출력물=장당 단위=EA=QTY_UNIT.01). 라이브 현재 NULL. EA/매 택일은 D-SL-6 컨펌
