prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance
PRD_000172,만년다이어리(소프트커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000173,만년다이어리(하드커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000174,만년다이어리(레더하드커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000175,만년다이어리(레더소프트커버),NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000176,먼슬리플래너,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000177,스프링노트,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000178,스프링수첩,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000179,메모패드,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000180,메모패드(내지커스텀) 준비중,NULL,QTY_UNIT.03,N,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000181,중철노트,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
PRD_000097,떡메모지,NULL,QTY_UNIT.03,Y,C-4 상품군별 일괄(stationery 노트/문구=권=QTY_UNIT.03). 라이브 현재 NULL(G-ST-6)
