prd_cd,opt_cd,opt_grp_cd,opt_nm,dflt_yn,disp_seq,use_yn,note
PRD_000138,OP-GAGONG-YEOLJAEDAN,OG-GAGONG,열재단,Y,1,Y,기본 가공. item=PROC_000053 완칼 — 차원 0행 BLOCKED (GAP-DEFER)
PRD_000138,OP-GAGONG-TAGONG4,OG-GAGONG,타공(4개),N,2,Y,item=PROC_000079 {구수:4} (param GAP-PARAM)
PRD_000138,OP-GAGONG-TAGONG6,OG-GAGONG,타공(6개),N,3,Y,item=PROC_000079 {구수:6} (param GAP-PARAM)
PRD_000138,OP-GAGONG-TAGONG8,OG-GAGONG,타공(8개),N,4,Y,item=PROC_000079 {구수:8} (param GAP-PARAM)
PRD_000138,OP-GAGONG-YANGMYEONTAPE,OG-GAGONG,양면테입,N,5,Y,item=PROC_000081 {대상:테입} ([CONFIRM] 양면테입→테입 해석)
PRD_000138,OP-GAGONG-BONGMISING,OG-GAGONG,봉미싱,N,6,Y,item=PROC_000080 {유형:봉미싱}
PRD_000138,OP-CHUGA-NONE,OG-CHUGA,추가없음,Y,1,Y,선택안함 센티넬 (option_item 0행)
PRD_000138,OP-CHUGA-QBANG4,OG-CHUGA,큐방(4개)추가,N,2,Y,item=PROC_000081 {대상:큐방} ([CONFIRM] 큐방 ∉ 부착 enum)
PRD_000138,OP-CHUGA-STRING4,OG-CHUGA,끈(4개)추가,N,3,Y,item=PROC_000081 {대상:끈}
PRD_000138,OP-CHUGA-GAKMOK-LE900,OG-CHUGA,각목(900이하)+끈(4개) 추가,N,4,Y,복합: seq1 끈(081) + seq2 각목(set [CONFIRM])
PRD_000138,OP-CHUGA-GAKMOK-GT900,OG-CHUGA,각목(900초과)+끈(4개) 추가,N,5,Y,복합: seq1 끈(081) + seq2 각목(set [CONFIRM])
