family,entity,required,evidence_columns
digital-print,t_prd_products,Y,always (상품 코어)
digital-print,t_prd_product_categories,Y,always (상품 코어)
digital-print,t_prd_product_sizes,Y,사이즈(필수)|파일사양_작업사이즈|파일사양_재단사이즈
digital-print,t_prd_product_materials,Y,종이(필수)
digital-print,t_prd_product_print_options,Y,인쇄(옵션)|별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색
digital-print,t_prd_product_processes,Y,코팅(옵션)|커팅(옵션)|접지(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지)|박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공|박(앞면) / 박(뒷면) / 형압 (옵션)_크기|박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라
digital-print,t_prd_product_plate_sizes,Y,파일사양_출력용지규격
digital-print,t_prd_product_bundle_qtys,N,
digital-print,t_prd_product_page_rules,N,
digital-print,t_prd_product_sets,N,
digital-print,t_prd_product_addons,Y,추가상품(옵션)_추가상품
digital-print,t_prd_product_option_groups,Y,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|코팅(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지)
digital-print,t_prd_product_options,Y,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|코팅(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지)
digital-print,t_prd_product_option_items,Y,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|코팅(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지)
digital-print,t_prd_templates,Y,주문방법(필수)_편집기
digital-print,t_prd_product_constraints,Y,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|커팅(옵션)
digital-print,t_prd_product_price_formulas,Y,가격공식
digital-print,t_prc_component_prices,Y,가격공식
digital-print,t_prd_product_discount_tables,N,
sticker,t_prd_products,Y,always (상품 코어)
sticker,t_prd_product_categories,Y,always (상품 코어)
sticker,t_prd_product_sizes,Y,사이즈(필수)|파일사양_작업사이즈|파일사양_재단사이즈
sticker,t_prd_product_materials,Y,종이(필수)
sticker,t_prd_product_print_options,Y,인쇄(옵션)|별색인쇄(옵션)_화이트
sticker,t_prd_product_processes,Y,커팅(옵션)|조각수(옵션)
sticker,t_prd_product_plate_sizes,Y,파일사양_출력용지규격
sticker,t_prd_product_bundle_qtys,N,
sticker,t_prd_product_page_rules,N,
sticker,t_prd_product_sets,N,
sticker,t_prd_product_addons,N,
sticker,t_prd_product_option_groups,Y,별색인쇄(옵션)_화이트|조각수(옵션)
sticker,t_prd_product_options,Y,별색인쇄(옵션)_화이트|조각수(옵션)
sticker,t_prd_product_option_items,Y,별색인쇄(옵션)_화이트|조각수(옵션)
sticker,t_prd_templates,Y,주문방법(필수)_편집기
sticker,t_prd_product_constraints,Y,별색인쇄(옵션)_화이트|커팅(옵션)
sticker,t_prd_product_price_formulas,Y,"price-table sheet (가격표 단가시트 보유, sheet-slug-map.md)"
sticker,t_prc_component_prices,Y,"price-table sheet (가격표 단가시트 보유, sheet-slug-map.md)"
