product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,선택(옵션)_선택,선택(옵션)_가격,가격,가공(옵션)_가공,가공(옵션)_가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,구간할인적용테이블,Z,AA,AB,AC,AD,AE
14637,틴거울,소품,0,3,소품,14637,,틴거울,무광 75mm,,100 x 90,,,틴거울,JPG,디지털인쇄,Y,Y,,,3000,,,1,10000,1,,,굿즈상품 B타입,틴거울_75,,,,,
14638,컴팩트거울,,0,4,,14638,,컴팩트거울,무광 75mm,,100 x 90,,,컴팩드,JPG,디지털인쇄,Y,Y,,,3600,,,1,10000,1,,,굿즈상품 B타입,[상품명]_[옵션명]_[거래처]_[파일번호]_[주문자]_[수량],,,,,
14639,카드거울,,0,5,,14639,,카드거울,,,57 x 91,,,카드거,JPG x 3P,전사인쇄,Y,Y,,,2500,,,3,10000,3,,,굿즈상품 B타입,카드거울,,,,,
14640,사각손거울,,0,6,,14640,,사각손거울,S (75x130 mm),,85 x 140,,,손거울,PDF,UV인쇄,Y,Y,,,5000,,,1,10000,1,,,굿즈상품 A타입,사각손거울,,,,,
14640,사각손거울,,1,7,,,,,M (95x166 mm),,105 x 176,,,,PDF,UV인쇄,Y,Y,,,5500,,,1,10000,1,,,,,,,,,
14640,사각손거울,,2,8,,,,,L (120x218 mm),,130 x 228,,,,PDF,UV인쇄,Y,Y,,,6000,,,1,10000,1,,,,,,,,,
14641,블랙사각손거울,,0,9,,14641,,블랙사각손거울,S (75x130 mm),,85 x 140,,,손거울,PDF,UV인쇄,Y,Y,,,6000,,,1,10000,1,,,굿즈상품 A타입,,,,,,
14641,블랙사각손거울,,1,10,,,,,M (95x166 mm),,105 x 176,,,,PDF,UV인쇄,Y,Y,,,7500,,,1,10000,1,,,,,,,,,
14641,블랙사각손거울,,2,11,,,,,L (120x218 mm),,130 x 228,,,,PDF,UV인쇄,Y,Y,,,9000,,,1,10000,1,,,,,,,,,
14643,레더코스터,라이프,0,12,라이프,14643,,레더코스터,원형 90mm,,100 x 100,,,레더코스터,JPG,실사출력,Y,Y,,,3300,,,1,10000,1,,,굿즈상품 A타입,레더코스터,,,,,
14643,레더코스터,라이프,1,13,,,,,사각 90mm,,100 x 100,,,,JPG,실사출력,Y,Y,,,3300,,,1,10000,1,,,,,,,,,
14644,코르크코스터,,0,14,,14644,,코르크코스터,원형 90mm,,100 x 100,,,코르크코스터,PDF,UV인쇄,Y,Y,,,3000,,,1,10000,1,,,굿즈상품 A타입,코르크코스터,,,,,
14645,우드코스터,,0,15,,14645,,우드코스터,원형 90mm,,100 x 100,,,우드코스터,PDF,UV인쇄,Y,Y,,,7000,,,1,10000,1,,,굿즈상품 A타입,,,,,,
14645,우드코스터,,1,16,,,,,사각 90mm,,100 x 100,,,,PDF,UV인쇄,Y,Y,,,7000,,,1,10000,1,,,,,,,,,
