product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),접지(옵션),제작수량(필수)_건수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_모서리,후가공(옵션)_오시,후가공(옵션)_미싱,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공,박(앞면) / 박(뒷면) / 형압 (옵션)_크기,박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,가격공식,AO,AP,AQ,AR
14529,프리미엄엽서,엽서,0,3,엽서,14529,001-0001,프리미엄엽서,73 x 98 mm,15,1,75 x 100,73 x 98,316x467,엽서,PDF,디지털인쇄,Y,,*별도설정,단면,,,,,,,,,,15,10000,15,직각,없음,없음,없음,없음,,,,엽서봉투 ★사이즈선택 : 100x150,,[출력] + [소재] x [제작수량/판걸이수] + [후가공],,,,
14529,프리미엄엽서,엽서,1,4,,,,,98 x 98 mm,12,1,100 x 100,98 x 98,,,,,,,,양면,,,,,,,,,,12,10000,12,둥근,1줄,1줄,1개,1개,,,,OPP비접착봉투 110x160 mm 50장,,,,,,
14529,프리미엄엽서,엽서,2,5,,,,,100 x 150 mm,8,1,102 x 152,100 x 150,,,,,,,,,,,,,,,,,,8,10000,8,,2줄,2줄,2개,2개,,,,OPP접착봉투 110x160 mm 50장,,,엽서_102x152_몽블랑190_D_[파일번호]_[주문자]_[수량],,,
14529,프리미엄엽서,엽서,3,6,,,,,135 x 135 mm,6,1,137 x 137,135 x 135,,,,,,,,,,,,,,,,,,6,10000,6,,3줄,3줄,3개,3개,,,,카드봉투(화이트) 165x115 mm 50장,,,,,,
14529,프리미엄엽서,엽서,4,7,,,,,95 x 210 mm,6,1,97 x 212,95 x 210,,,,,,,,,,,,,,,,,,6,10000,6,,,,,,,,,카드봉투(블랙) 165x115 mm 50장,,,,,,
14529,프리미엄엽서,엽서,5,8,,,,,110 x 170 mm,4,1,112 x 172,110 x 170,,,,,,,,,,,,,,,,,,4,10000,4,,,,,,,,,트레싱지봉투 160x110 mm 20장,,,,,,
14529,프리미엄엽서,엽서,6,9,,,,,148 x 210 mm,4,1,150 x 212,148 x 210,,,,,,,,,,,,,,,,,,4,10000,4,,,,,,,,,,,,,,,
14530,코팅엽서,,0,11,,14530,001-0002,코팅엽서,73 x 98 mm,15,1,75 x 100,73 x 98,316x467,코팅엽서,PDF,디지털인쇄,Y,,아트250,단면,,,,,,무광코팅(단면),,,,15,10000,15,직각,,,,,,,,엽서봉투 ★사이즈선택 : 100x150,,[출력] + [소재] + [코팅]  x [제작수량/판걸이수] + [후가공],,,,
14530,코팅엽서,,1,12,,,,,98 x 98 mm,12,1,100 x 100,98 x 98,,,,,,,아트300,양면,,,,,,무광코팅(양면),,,,12,10000,12,둥근,,,,,,,,OPP비접착봉투 110x160 mm 50장,,,,,,
14530,코팅엽서,,2,13,,,,,100 x 150 mm,8,1,102 x 152,100 x 150,,,,,,,,,,,,,,유광코팅(단면),,,,8,10000,8,,,,,,,,,OPP접착봉투 110x160 mm 50장,,,,,,
14530,코팅엽서,,3,14,,,,,135 x 135 mm,6,1,137 x 137,135 x 135,,,,,,,,,,,,,,유광코팅(양면),,,,6,10000,6,,,,,,,,,카드봉투(화이트) 165x115 mm 50장,,,,,,
14530,코팅엽서,,4,15,,,,,95 x 210 mm,6,1,97 x 212,95 x 210,,,,,,,,,,,,,,,,,,6,10000,6,,,,,,,,,카드봉투(블랙) 165x115 mm 50장,,,,,,
14530,코팅엽서,,5,16,,,,,110 x 170 mm,4,1,112 x 172,110 x 170,,,,,,,,,,,,,,,,,,4,10000,4,,,,,,,,,트레싱지봉투 160x110 mm 20장,,,,,,
