product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),수량(필수)_최소,수량(필수)_최대,수량(필수)_증가,가격
OPP접착봉투,OPP접착봉투,봉투/케이스,0,3,봉투/케이스,,012-0004,OPP접착봉투,70 x 200 mm (50장),1,100,1,1100
OPP접착봉투,OPP접착봉투,봉투/케이스,1,4,,,,,80 x 100 mm (50장),1,100,1,1100
OPP접착봉투,OPP접착봉투,봉투/케이스,2,5,,,,,80 x 120 mm (50장),1,100,1,1100
OPP접착봉투,OPP접착봉투,봉투/케이스,3,6,,,,,80 x 180 mm (50장),1,100,1,1100
OPP접착봉투,OPP접착봉투,봉투/케이스,4,7,,,,,90 x 120 mm (50장),1,100,1,1100
OPP접착봉투,OPP접착봉투,봉투/케이스,5,8,,,,,100 x 100 mm (50장),1,100,1,1100
OPP접착봉투,OPP접착봉투,봉투/케이스,6,9,,,,,100 x 200 mm (50장),1,100,1,1200
OPP접착봉투,OPP접착봉투,봉투/케이스,7,10,,,,,110 x 160 mm (50장),1,100,1,1200
OPP접착봉투,OPP접착봉투,봉투/케이스,8,11,,,,,130 x 200 mm (50장),1,100,1,1400
OPP접착봉투,OPP접착봉투,봉투/케이스,9,12,,,,,160 x 230 mm (50장),1,100,1,1500
OPP접착봉투,OPP접착봉투,봉투/케이스,10,13,,,,,230 x 350 mm (50장),1,100,1,3250
OPP비접착봉투,OPP비접착봉투,,0,14,,,,OPP비접착봉투,60 x 90 mm (20장),1,100,1,600
OPP비접착봉투,OPP비접착봉투,,1,15,,,,,60 x 90 mm (50장),1,100,1,900
OPP비접착봉투,OPP비접착봉투,,2,16,,,012-0005,,80 x 100 mm (50장),1,100,1,1000
OPP비접착봉투,OPP비접착봉투,,3,17,,,,,80 x 120 mm (50장),1,100,1,1000
OPP비접착봉투,OPP비접착봉투,,4,18,,,,,80 x 180 mm (50장),1,100,1,1100
OPP비접착봉투,OPP비접착봉투,,5,19,,,,,110 x 160 mm (50장),1,100,1,1200
OPP비접착봉투,OPP비접착봉투,,6,20,,,,,110 x 250 mm (50장),1,100,1,1300
OPP비접착봉투,OPP비접착봉투,,7,21,,,,,140 x 180 mm (50장),1,100,1,1400
OPP비접착봉투,OPP비접착봉투,,8,22,,,,,140 x 200 mm (50장),1,100,1,1400
OPP비접착봉투,OPP비접착봉투,,9,23,,,,,150 x 150 mm (50장),1,100,1,1300
OPP비접착봉투,OPP비접착봉투,,10,24,,,,,160 x 250 mm (50장),1,100,1,1500
트래싱지 카드봉투,트래싱지 카드봉투,,0,25,,,012-0009,트래싱지 카드봉투,160 x 110 mm (20장),1,100,1,6000
트래싱지 카드봉투,트래싱지 카드봉투,,1,26,,,,,160 x 110 mm (40장),1,100,1,12000
트래싱지 카드봉투,트래싱지 카드봉투,,2,27,,,,,160 x 110 mm (100장),1,100,1,28000
트래싱지 카드봉투,트래싱지 카드봉투,,3,28,,,,,100 x 100 mm (20장),1,100,1,6800
트래싱지 카드봉투,트래싱지 카드봉투,,4,29,,,,,100 x 100 mm (40장),1,100,1,13600
트래싱지 카드봉투,트래싱지 카드봉투,,5,30,,,,,100 x 100 mm (100장),1,100,1,32000
트래싱지 카드봉투,트래싱지 카드봉투,,6,31,,,,,70 x 100 mm (30장),1,100,1,3600
트래싱지 카드봉투,트래싱지 카드봉투,,7,32,,,,,70 x 100 mm (100장),1,100,1,10000
카드봉투,카드봉투,,0,33,,,012-0007,카드봉투,화이트 165 x 115 mm (10장),1,100,1,1000
카드봉투,카드봉투,,1,34,,,,,블랙 165 x 115 mm (10장),1,100,1,1500
캘린더봉투,캘린더봉투,,0,35,,,012-0008,캘린더봉투,240 x 230 mm (10장),1,100,1,2500
캘린더봉투,캘린더봉투,,1,36,,,,,150 x 310 mm (10장),1,100,1,2400
볼체인,볼체인,,0,37,,,012-0015,볼체인,오렌지 (3개1팩),1,100,1,1000
볼체인,볼체인,,1,38,,,,,핑크 (3개1팩),1,100,1,1000
볼체인,볼체인,,2,39,,,,,핫핑크 (3개1팩),1,100,1,1000
볼체인,볼체인,,3,40,,,,,민트그린 (3개1팩),1,100,1,1000
볼체인,볼체인,,4,41,,,,,블루 (3개1팩),1,100,1,1000
볼체인,볼체인,,5,42,,,,,바이올렛 (3개1팩),1,100,1,1000
볼체인,볼체인,,6,43,,,,,블랙 (3개1팩),1,100,1,1000
볼체인,볼체인,,7,44,,,,,화이트 (3개1팩),1,100,1,1000
와이어링,와이어링,,0,45,,,012-0016,와이어링,실버,1,100,1,500
와이어링,와이어링,,1,46,,,,,화이트,1,100,1,500
와이어링,와이어링,,2,47,,,,,블랙,1,100,1,500
천정고리,천정고리,,0,48,,,,천정고리,2개1세트,1,100,1,6500
투명케이스,투명케이스,,0,49,,,012-0006,투명케이스,PP투명케이스 42 x 57 x 20 mm (10개),1,100,1,3000
투명케이스,투명케이스,,1,50,,,,,PP투명케이스 75 x 75 x 15 mm (10개),1,100,1,3000
투명케이스,투명케이스,,2,51,,,,,PP투명케이스 75 x 110 x 15 mm (10개),1,100,1,3500
행택끈,행택끈,,0,52,,,012-0018,행택끈,사각검정 (100개),1,100,1,3000
행택끈,행택끈,,1,53,,,012-0017,,사각백색 (100개),1,100,1,3000
행택끈,행택끈,,2,54,,,012-0019,,사각마사 (100개),1,100,1,4000
자석고정용고무판,자석고정용고무판,,0,55,,,012-0011,자석고정용고무판,20 x 20 (20개입),1,100,1,1000
우드거치대,우드거치대,상품액세서리,0,56,상품액세서리,,012-0012,우드거치대,120mm (4mm홈) 내추럴,1,100,1,4000
우드봉,우드봉,,0,57,,,,우드봉,270mm + 면끈,1,100,1,7000
우드봉,우드봉,,1,58,,,,,360mm + 면끈,1,100,1,9800
우드봉,우드봉,,2,59,,,,,480mm + 면끈,1,100,1,12000
우드행거,우드행거,,0,60,,,012-0013,우드행거,230mm + 면끈,1,100,1,16000
우드행거,우드행거,,1,61,,,,,320mm + 면끈,1,100,1,18000
우드행거,우드행거,,2,62,,,,,440mm + 면끈,1,100,1,20000
만년스탬프 리필잉크,만년스탬프 리필잉크,,0,63,,,,만년스탬프 리필잉크,청보라 (5cc),1,100,1,2500
만년스탬프 리필잉크,만년스탬프 리필잉크,,1,64,,,,,빨강 (5cc),1,100,1,2500
만년스탬프 리필잉크,만년스탬프 리필잉크,,2,65,,,,,검정 (5cc),1,100,1,2500
만년스탬프 리필잉크,만년스탬프 리필잉크,,3,66,,,,,파랑 (5cc),1,100,1,2500
만년스탬프 리필잉크,만년스탬프 리필잉크,,4,67,,,,,초록 (5cc),1,100,1,2500
만년스탬프 리필잉크,만년스탬프 리필잉크,,5,68,,,,,핑크 (5cc),1,100,1,2500
만년스탬프 리필잉크,만년스탬프 리필잉크,,6,69,,,,,노랑 (5cc),1,100,1,2500
