product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),조각수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,AG,AH,AI,AJ,AK
14538,반칼 자유형 스티커,,0,3,,14538,002-0001,반칼 자유형 스티커,A6 (105 x 148 mm),,0,105 x 148,105 x 148,330x470,반칼(자유형),PDF,디지털인쇄,Y,,유포스티커,단면,,,,,,,반칼(자유형),,8,10000,8,,,,,,,,,
14538,반칼 자유형 스티커,,1,4,,,,,A5 (148 x 210 mm),4,0,148 x 210,148 x 210,,,AI_CS5 (칼선),커팅,,,비코팅스티커,,,,,,,,,*최대20조각,4,10000,4,,,,,,,,,
14538,반칼 자유형 스티커,,2,5,,,,,A4 (210 x 297 mm),2,0,210 x 297,210 x 297,,,*아이마크,,,,미색스티커,,,,,,,,,*최대40조각,2,10000,2,,,,,,,,,
14538,반칼 자유형 스티커,,3,6,,,,,,,,,,,,*칼선분리,,,,무광코팅스티커,,,,,,,,,,,,,,,,,,,,,
14538,반칼 자유형 스티커,,4,7,,,,,,,,,,,,,,,,유광코팅스티커,,,,,,,,,,,,,,,,,,,,,
22852,반칼 자유형 홀로그램스티커,,0,14,,22852,002-0015,반칼 자유형 홀로그램스티커,A6 (105 x 148 mm),,0,105 x 148,105 x 148,330x470,,PDF(W),디지털인쇄,Y,,홀로그램스티커,단면,화이트인쇄(단면),,,,,,반칼(자유형),,8,10000,8,,,,,,,,,
22852,반칼 자유형 홀로그램스티커,,1,15,,,,,A5 (148 x 210 mm),,0,148 x 210,148 x 210,,,AI (칼선),커팅,,,,,,,,,,,,,4,10000,4,,,,,,,,,
22852,반칼 자유형 홀로그램스티커,,2,16,,,,,A4 (210 x 297 mm),,0,210 x 297,210 x 297,,,*아이마크,,,,,,,,,,,,,,2,10000,2,,,,,,,,,
22852,반칼 자유형 홀로그램스티커,,3,17,,,,,,,,,,,,*칼선분리,,,,,,,,,,,,,,,,,,,,,,,,,
14539,낱장 자유형 스티커,,0,19,,14539,002-0003,낱장 자유형 스티커,A4 (210 x 297 mm),,0,210 x 297,210 x 297,210 x 297,완칼(자유형),PDF,실사출력,Y,,유포지+엠보코팅,단면,,,,,,,완칼(자유형),5조각,1,10000,1,,,,,,,,,
