sheet,change_type,key,prd_nm,variant_idx,column,before,after,base_cell,new_cell,confidence
굿즈파우치(가격포함),MODIFIED,14617,클립보드,0,사이즈(필수),A5용 (164 x 230 mm),,76,76,HIGH
굿즈파우치(가격포함),MODIFIED,14617,클립보드,0,상품(옵션),,A5용 (164 x 230 mm),76,76,HIGH
굿즈파우치(가격포함),MODIFIED,14617,클립보드,1,사이즈(필수),A4용 (230 x 330 mm),,77,77,HIGH
굿즈파우치(가격포함),MODIFIED,14617,클립보드,1,상품(옵션),,A4용 (230 x 330 mm),77,77,HIGH
굿즈파우치(가격포함),MODIFIED,14618,투명클립보드,0,사이즈(필수),A5용,,78,78,HIGH
굿즈파우치(가격포함),MODIFIED,14618,투명클립보드,0,상품(옵션),,A5용,78,78,HIGH
굿즈파우치(가격포함),MODIFIED,14618,투명클립보드,1,사이즈(필수),A4용,,79,79,HIGH
굿즈파우치(가격포함),MODIFIED,14618,투명클립보드,1,상품(옵션),,A4용,79,79,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,0,사이즈(필수),원형 13x13mm,,80,80,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,0,상품(옵션),,원형 13x13mm,80,80,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,1,사이즈(필수),원형 19x19mm,,81,81,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,1,상품(옵션),,원형 19x19mm,81,81,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,2,사이즈(필수),원형 24x24mm,,82,82,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,2,상품(옵션),,원형 24x24mm,82,82,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,3,사이즈(필수),원형 35x35mm,,83,83,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,3,상품(옵션),,원형 35x35mm,83,83,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,4,사이즈(필수),사각 30x30mm,,84,84,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,4,상품(옵션),,사각 30x30mm,84,84,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,5,사이즈(필수),사각 67x32mm,,85,85,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,5,상품(옵션),,사각 67x32mm,85,85,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,6,사이즈(필수),사각 78x28mm,,86,86,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,6,상품(옵션),,사각 78x28mm,86,86,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,7,사이즈(필수),A5,,88,88,HIGH
굿즈파우치(가격포함),MODIFIED,14619,만년스탬프,7,상품(옵션),,A5,88,88,HIGH
굿즈파우치(가격포함),MODIFIED,14620,자석북마크,0,사이즈(필수),2개1팩,,75,75,HIGH
굿즈파우치(가격포함),MODIFIED,14620,자석북마크,0,상품(옵션),,2개1팩,75,75,HIGH
굿즈파우치(가격포함),MODIFIED,14623,틴케이스,0,사이즈(필수),미니틴케이스,,74,74,HIGH
굿즈파우치(가격포함),MODIFIED,14623,틴케이스,0,상품(옵션),,미니틴케이스,74,74,HIGH
굿즈파우치(가격포함),MODIFIED,14637,틴거울,0,사이즈(필수),무광 75mm,,3,3,HIGH
