sheet,change_type,key,prd_nm,variant_idx,column,before,after,base_cell,new_cell,confidence
스티커,MODIFIED,14546,합판도무송스티커,0,커팅(옵션),원형 10mm (8EA),,131,131,HIGH
스티커,MODIFIED,14546,합판도무송스티커,1,커팅(옵션),원형 15mm (8EA),,132,132,HIGH
스티커,MODIFIED,14546,합판도무송스티커,2,커팅(옵션),원형 20mm (6EA),,133,133,HIGH
스티커,MODIFIED,14546,합판도무송스티커,3,커팅(옵션),원형 25mm (3EA),,134,134,HIGH
스티커,MODIFIED,14546,합판도무송스티커,4,커팅(옵션),원형 30mm (2EA),,135,135,HIGH
스티커,MODIFIED,14546,합판도무송스티커,5,커팅(옵션),원형 35mm (2EA),,136,136,HIGH
스티커,MODIFIED,14546,합판도무송스티커,6,커팅(옵션),원형 40mm (2EA),,137,137,HIGH
스티커,MODIFIED,14546,합판도무송스티커,7,커팅(옵션),원형 45mm (1EA),,138,138,HIGH
스티커,MODIFIED,14546,합판도무송스티커,8,커팅(옵션),원형 50mm (1EA),,139,139,HIGH
스티커,MODIFIED,14546,합판도무송스티커,9,커팅(옵션),원형 55mm (1EA),,140,140,HIGH
스티커,MODIFIED,14546,합판도무송스티커,10,커팅(옵션),원형 60mm (1EA),,141,141,HIGH
스티커,MODIFIED,14546,합판도무송스티커,11,커팅(옵션),정사각 10 x 10mm (8EA),,142,142,HIGH
스티커,MODIFIED,14546,합판도무송스티커,12,커팅(옵션),정사각 15 x 15mm (8EA),,143,143,HIGH
스티커,MODIFIED,14546,합판도무송스티커,13,커팅(옵션),정사각 20 x 20mm (6EA),,144,144,HIGH
스티커,MODIFIED,14546,합판도무송스티커,14,커팅(옵션),정사각 25 x 25mm (3EA),,145,145,HIGH
스티커,MODIFIED,14546,합판도무송스티커,15,커팅(옵션),정사각 30 x 30mm (2EA),,146,146,HIGH
스티커,MODIFIED,14546,합판도무송스티커,16,커팅(옵션),정사각 35 x 35mm (2EA),,147,147,HIGH
스티커,MODIFIED,14546,합판도무송스티커,17,커팅(옵션),정사각 40 x 40mm (2EA),,148,148,HIGH
스티커,MODIFIED,14546,합판도무송스티커,18,커팅(옵션),정사각 45 x 45mm (1EA),,149,149,HIGH
스티커,MODIFIED,14546,합판도무송스티커,19,커팅(옵션),정사각 50 x 50mm (1EA),,150,150,HIGH
스티커,MODIFIED,14546,합판도무송스티커,20,커팅(옵션),정사각 55 x 55mm (1EA),,151,151,HIGH
스티커,MODIFIED,14546,합판도무송스티커,21,커팅(옵션),정사각 60 x 60mm (1EA),,152,152,HIGH
스티커,MODIFIED,14546,합판도무송스티커,22,커팅(옵션),정사각 90 x 90mm (1EA),,153,153,HIGH
스티커,MODIFIED,14546,합판도무송스티커,23,커팅(옵션),직사각 35 x 25mm (2EA),,154,154,HIGH
스티커,MODIFIED,14546,합판도무송스티커,24,커팅(옵션),직사각 40 x 30mm (2EA),,155,155,HIGH
스티커,MODIFIED,14546,합판도무송스티커,25,커팅(옵션),직사각 42 x 20mm (2EA),,156,156,HIGH
스티커,MODIFIED,14546,합판도무송스티커,26,커팅(옵션),직사각 50 x 20mm (2EA),,157,157,HIGH
스티커,MODIFIED,14546,합판도무송스티커,27,커팅(옵션),직사각 50 x 30mm (2EA),,158,158,HIGH
스티커,MODIFIED,14546,합판도무송스티커,28,커팅(옵션),직사각 55 x 15mm (2EA),,159,159,HIGH
스티커,MODIFIED,14546,합판도무송스티커,29,커팅(옵션),직사각 55 x 20mm (2EA),,160,160,HIGH
스티커,MODIFIED,14546,합판도무송스티커,30,커팅(옵션),직사각 55 x 24mm (2EA),,161,161,HIGH
스티커,MODIFIED,14546,합판도무송스티커,31,커팅(옵션),직사각 55 x 33mm (2EA),,162,162,HIGH
스티커,MODIFIED,14546,합판도무송스티커,32,커팅(옵션),직사각 90 x 40mm (2EA),,163,163,HIGH
스티커,MODIFIED,14546,합판도무송스티커,33,커팅(옵션),직사각 90 x 50mm (1EA),,164,164,HIGH
스티커,MODIFIED,14546,합판도무송스티커,34,커팅(옵션),직사각 90 x 60mm (1EA),,165,165,HIGH
스티커,MODIFIED,14546,합판도무송스티커,35,커팅(옵션),직사각 90 x 70mm (1EA),,166,166,HIGH
스티커,MODIFIED,14546,합판도무송스티커,36,커팅(옵션),직사각 90 x 80mm (1EA),,167,167,HIGH
