sheet,key,change_type,column,before,after,cell_ref,target_entity,target_column,live_prd_cd,apply_class,confidence,note
스티커,14546,MODIFIED,커팅(옵션),원형 10mm (8EA),,스티커!N131,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx0]"
스티커,14546,MODIFIED,커팅(옵션),원형 15mm (8EA),,스티커!N132,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx1]"
스티커,14546,MODIFIED,커팅(옵션),원형 20mm (6EA),,스티커!N133,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx2]"
스티커,14546,MODIFIED,커팅(옵션),원형 25mm (3EA),,스티커!N134,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx3]"
스티커,14546,MODIFIED,커팅(옵션),원형 30mm (2EA),,스티커!N135,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx4]"
스티커,14546,MODIFIED,커팅(옵션),원형 35mm (2EA),,스티커!N136,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx5]"
스티커,14546,MODIFIED,커팅(옵션),원형 40mm (2EA),,스티커!N137,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx6]"
스티커,14546,MODIFIED,커팅(옵션),원형 45mm (1EA),,스티커!N138,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx7]"
스티커,14546,MODIFIED,커팅(옵션),원형 50mm (1EA),,스티커!N139,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx8]"
스티커,14546,MODIFIED,커팅(옵션),원형 55mm (1EA),,스티커!N140,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx9]"
스티커,14546,MODIFIED,커팅(옵션),원형 60mm (1EA),,스티커!N141,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx10]"
스티커,14546,MODIFIED,커팅(옵션),정사각 10 x 10mm (8EA),,스티커!N142,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx11]"
스티커,14546,MODIFIED,커팅(옵션),정사각 15 x 15mm (8EA),,스티커!N143,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx12]"
스티커,14546,MODIFIED,커팅(옵션),정사각 20 x 20mm (6EA),,스티커!N144,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx13]"
스티커,14546,MODIFIED,커팅(옵션),정사각 25 x 25mm (3EA),,스티커!N145,t_prd_product_option_groups/options,(커팅 옵션 텍스트 제거),PRD_000066,ESCALATE,HIGH,"합판도무송스티커 커팅옵션 텍스트 제거. 라이브는 커팅을 size로 적재(정사각NxN(EA)), 커팅 옵션그룹 없음. 옵션레이어 설계/논리 검토 필요. [prd_nm=합판도무송스티커 vidx14]"
