table,pk,comp_cd,current_note,corrected_note
t_prc_price_components,COMP_COAT_GLOSSY,COMP_COAT_GLOSSY,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.02,유광 코팅비. 출력매수·사이즈·코팅면수(단면/양면)별 장당 단가표.
t_prc_price_components,COMP_COAT_MATTE,COMP_COAT_MATTE,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.02,무광 코팅비. 출력매수·사이즈·코팅면수(단면/양면)별 장당 단가표.
t_prc_price_components,COMP_PAPER,COMP_PAPER,신규: 디지털인쇄 용지비. 차원=mat_cd(종이)×siz_cd(출력용지규격). unit_price=종이별 절가(국4절가/3절가). 손지율(+5장)·출력매수곱은 앱 런타임(C-4),용지비. 선택한 종이·출력규격(국4절/3절)별 절가. 실제 청구는 출력매수만큼 시스템이 자동 계산.
t_prc_price_components,COMP_PP_CORNER_RIGHT,COMP_PP_CORNER_RIGHT,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,모서리 직각 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_CORNER_ROUND,COMP_PP_CORNER_ROUND,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,모서리 둥근 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_CREASE_1L,COMP_PP_CREASE_1L,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,오시(접는 줄) 1줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_CREASE_2L,COMP_PP_CREASE_2L,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,오시(접는 줄) 2줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_CREASE_3L,COMP_PP_CREASE_3L,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,오시(접는 줄) 3줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_PERF_1L,COMP_PP_PERF_1L,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,미싱(점선 절취) 1줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_PERF_2L,COMP_PP_PERF_2L,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,미싱(점선 절취) 2줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_PERF_3L,COMP_PP_PERF_3L,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,미싱(점선 절취) 3줄 가공비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_VARIMG_1EA,COMP_PP_VARIMG_1EA,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,가변 이미지 1개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
t_prc_price_components,COMP_PP_VARIMG_2EA,COMP_PP_VARIMG_2EA,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,가변 이미지 2개 추가비. 주문수량 구간별 작업 1건 고정 금액(수량을 곱하지 않음).
