table,pk,comp_cd,comp_nm,current_note,corrected_note,flag
t_prc_price_components,COMP_ACRYL_CLEAR15T,COMP_ACRYL_CLEAR15T,투명아크릴1.5T 인쇄가공비,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,투명 아크릴 1.5T 인쇄·가공 포함가. 사이즈·수량별 단가표.,
t_prc_price_components,COMP_ACRYL_CLEAR3T,COMP_ACRYL_CLEAR3T,투명아크릴3T 인쇄가공비,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,투명 아크릴 3T 인쇄·가공 포함가. 사이즈·수량별 단가표.,
t_prc_price_components,COMP_ACRYL_MIRROR3T,COMP_ACRYL_MIRROR3T,미러아크릴3T 인쇄가공비,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,미러 아크릴 3T 인쇄·가공 포함가. 사이즈·수량별 단가표.,
t_prc_price_components,COMP_BIND_CAL_DESK130,COMP_BIND_CAL_DESK130,제본비(후가공) [COMP_BIND_CAL_DESK130],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_CAL_DESK220,COMP_BIND_CAL_DESK220,제본비(후가공) [COMP_BIND_CAL_DESK220],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_CAL_DESKMINI,COMP_BIND_CAL_DESKMINI,제본비(후가공) [COMP_BIND_CAL_DESKMINI],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_CAL_WALL,COMP_BIND_CAL_WALL,제본비(후가공) [COMP_BIND_CAL_WALL],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_HC_MUSEON,COMP_BIND_HC_MUSEON,제본비(후가공) [COMP_BIND_HC_MUSEON],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_HC_TWINRING,COMP_BIND_HC_TWINRING,제본비(후가공) [COMP_BIND_HC_TWINRING],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_JUNGCHEOL,COMP_BIND_JUNGCHEOL,제본비(후가공) [COMP_BIND_JUNGCHEOL],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_MUSEON,COMP_BIND_MUSEON,제본비(후가공) [COMP_BIND_MUSEON],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_PUR,COMP_BIND_PUR,제본비(후가공) [COMP_BIND_PUR],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_SSABARI,COMP_BIND_SSABARI,제본비(후가공) [COMP_BIND_SSABARI],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_BIND_TWINRING,COMP_BIND_TWINRING,제본비(후가공) [COMP_BIND_TWINRING],round-2 7시트 확대 자동생성,제본 가공비(후가공). 제본 종류·수량별 단가표.,
t_prc_price_components,COMP_CUT_FULL_DIECUT,COMP_CUT_FULL_DIECUT,커팅 합가(완제품가) [COMP_CUT_FULL_DIECUT],round-2 7시트 확대 자동생성,커팅(완칼/미싱) 포함 완제품가. 소재·사이즈·수량을 합산한 1장당 단가표.,
t_prc_price_components,COMP_CUT_FULL_PERF_1H6,COMP_CUT_FULL_PERF_1H6,커팅 합가(완제품가) [COMP_CUT_FULL_PERF_1H6],round-2 7시트 확대 자동생성,커팅(완칼/미싱) 포함 완제품가. 소재·사이즈·수량을 합산한 1장당 단가표.,
t_prc_price_components,COMP_CUT_FULL_PERF_2H6,COMP_CUT_FULL_PERF_2H6,커팅 합가(완제품가) [COMP_CUT_FULL_PERF_2H6],round-2 7시트 확대 자동생성,커팅(완칼/미싱) 포함 완제품가. 소재·사이즈·수량을 합산한 1장당 단가표.,
t_prc_price_components,COMP_CUT_PERF_1H6,COMP_CUT_PERF_1H6,타공비(후가공) [COMP_CUT_PERF_1H6],round-2 7시트 확대 자동생성,타공(구멍 뚫기) 가공비(후가공). 구 수·출력매수별 단가표.,
t_prc_price_components,COMP_ENV_MAKING,COMP_ENV_MAKING,봉투제작 완제품가,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.06,봉투 제작 완제품가(용지 포함). 봉투 종류·소재·주문수량 구간별 단가표.,
