sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
디자인캘린더(가격포함),hidden_column,,I1,파일사양_출력용지규격,,,,,,,,,,true,
디자인캘린더(가격포함),cell,3,A3,구분,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,B3,ID,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,C3,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,D3,상품명,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,E3,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,F3,파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,G3,파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,H3,파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,I3,파일사양_출력용지규격,,,Values must be of type <class 'str'>,,,,,,,true,
디자인캘린더(가격포함),cell,3,J3,파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,K3,파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,L3,파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,M3,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,N3,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,P3,인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,Q3,페이지사양,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,R3,캘린더사양_캘린더가공,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,S3,캘린더사양_링칼라,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,U3,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,V3,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,W3,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
디자인캘린더(가격포함),cell,3,X3,개별포장(옵션),,,Values must be of type <class 'str'>,,,,,,,,
