sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
실사,footnote,,C147,,FFB6D7A8,범례마커,,,,,,,,,"제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요참고해주세요
실사의 가격은 '인쇄상품가격표 - 포스터/사인' 시트를 참고하세요"
실사,cell,3,A3,구분,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,B3,ID,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,C3,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,D3,상품명,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,E3,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,F3,비규격(최소/최대)_가로,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,G3,비규격(최소/최대)_세로,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,H3,파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,I3,파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,J3,파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,K3,파일사양_출력용지규격,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,L3,파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,M3,파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,N3,파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,O3,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,P3,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,Q3,소재(필수),,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,R3,price,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,S3,"price
(vat포함)",,,Values must be of type <class 'str'>,,,,true,=SUM(R3)*1.1,,,
실사,cell,3,T3,화이트별색(옵션),,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,U3,코팅(옵션),,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,V3,price(V),,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,W3,가공(옵션)_가공,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,X3,가공(옵션)_가격,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,Y3,추가(옵션)_추가,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AA3,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AB3,제작수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AC3,제작수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AD3,COMMENT,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AE3,AE,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AF3,AF,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AG3,AG,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AH3,AH,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AI3,AI,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AJ3,AJ,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AK3,AK,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AL3,AL,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AM3,AM,,,Values must be of type <class 'str'>,,,,,,,,
실사,cell,3,AN3,AN,,,Values must be of type <class 'str'>,,,,,,,,
