sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
포토북(가격포함),footnote,,C17,,FFB6D7A8,범례마커,,,,,,,,,"제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 그레이칼라는 노출안되는 정해진 사양
상품단가+페이지당단가적용 
핑크는 편집기를 통해 나오는 사양이므로 옵션노출 없음
모든 항목은 Figma를 참고해주세요"
포토북(가격포함),cell,3,A3,구분,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,B3,ID,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,C3,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,D3,상품명,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,E3,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,F3,내지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,G3,내지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,H3,내지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,I3,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,J3,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,K3,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,L3,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,M3,내지종이,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,N3,내지인쇄,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,O3,내지페이지(편집기)_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,P3,내지페이지(편집기)_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,Q3,내지페이지(편집기)_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,R3,표지타입(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,S3,표지사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,T3,표지사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,U3,표지사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,V3,표지사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,W3,표지사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,X3,표지사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,Y3,표지사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,Z3,표지종이사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AA3,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AB3,제본사양_제본,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AC3,제본사양_면지,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AD3,제본사양_책등,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AE3,제작수량_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AF3,제작수량_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AG3,제작수량_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AH3,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AI3,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AJ3,가이드파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AK3,가격_기본(24P),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AL3,가격_추가(2P)당,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AM3,AM,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AN3,AN,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AO3,AO,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AP3,AP,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AQ3,AQ,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AR3,AR,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AS3,AS,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AT3,AT,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AU3,AU,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AV3,AV,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AW3,AW,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AX3,AX,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AY3,AY,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,AZ3,AZ,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BA3,BA,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BB3,BB,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BC3,BC,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BD3,BD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,A4,구분,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,B4,ID,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,C4,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,D4,상품명,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,E4,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,F4,내지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,G4,내지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,H4,내지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,I4,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,J4,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,K4,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,L4,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,M4,내지종이,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,N4,내지인쇄,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,O4,내지페이지(편집기)_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,P4,내지페이지(편집기)_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,Q4,내지페이지(편집기)_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,R4,표지타입(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,S4,표지사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,T4,표지사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,U4,표지사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,V4,표지사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,W4,표지사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,X4,표지사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,Y4,표지사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,Z4,표지종이사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AA4,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AB4,제본사양_제본,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AC4,제본사양_면지,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AD4,제본사양_책등,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AE4,제작수량_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AF4,제작수량_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AG4,제작수량_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AH4,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AI4,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AJ4,가이드파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AK4,가격_기본(24P),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AL4,가격_추가(2P)당,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AM4,AM,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AN4,AN,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AO4,AO,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AP4,AP,,,Values must be of type <class 'str'>,,,,,,,,
