sheet,block_id,block_title,row_seq,col,cell_ref,row_key,band_header_path,value,cell_meta_json
제본,B01,제본비,1,A,A1,제본비,,제본비,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:E1""}"
제본,B01,제본비,2,A,A2,제본/수량,,제본/수량,"{""fill_rgb"": ""FFFFFF00""}"
제본,B01,제본비,2,B,B2,제본/수량,중철제본,중철제본,"{""fill_rgb"": ""FFFFFF00""}"
제본,B01,제본비,2,C,C2,제본/수량,무선제본,무선제본,"{""fill_rgb"": ""FFFFFF00""}"
제본,B01,제본비,2,D,D2,제본/수량,트윈링제본,트윈링제본,"{""fill_rgb"": ""FFFFFF00""}"
제본,B01,제본비,2,E,E2,제본/수량,PUR제본,PUR제본,"{""fill_rgb"": ""FFFFFF00""}"
제본,B01,제본비,3,A,A3,1,,1,
제본,B01,제본비,3,B,B3,1,중철제본,3000,
제본,B01,제본비,3,C,C3,1,무선제본,3000,
제본,B01,제본비,3,D,D3,1,트윈링제본,4000,
제본,B01,제본비,3,E,E3,1,PUR제본,5000,
제본,B01,제본비,4,A,A4,4,,4,
제본,B01,제본비,4,B,B4,4,중철제본,2000,
제본,B01,제본비,4,C,C4,4,무선제본,2000,
제본,B01,제본비,4,D,D4,4,트윈링제본,3000,
제본,B01,제본비,4,E,E4,4,PUR제본,5000,
제본,B01,제본비,5,A,A5,10,,10,
제본,B01,제본비,5,B,B5,10,중철제본,1500,
제본,B01,제본비,5,C,C5,10,무선제본,1000,
제본,B01,제본비,5,D,D5,10,트윈링제본,2000,
제본,B01,제본비,5,E,E5,10,PUR제본,5000,
제본,B01,제본비,6,A,A6,30,,30,
제본,B01,제본비,6,B,B6,30,중철제본,1000,
제본,B01,제본비,6,C,C6,30,무선제본,700,
제본,B01,제본비,6,D,D6,30,트윈링제본,1500,
제본,B01,제본비,6,E,E6,30,PUR제본,4000,
제본,B01,제본비,7,A,A7,50,,50,
제본,B01,제본비,7,B,B7,50,중철제본,1000,
제본,B01,제본비,7,C,C7,50,무선제본,700,
제본,B01,제본비,7,D,D7,50,트윈링제본,1500,
제본,B01,제본비,7,E,E7,50,PUR제본,3000,
제본,B01,제본비,8,A,A8,70,,70,
제본,B01,제본비,8,B,B8,70,중철제본,700,
제본,B01,제본비,8,C,C8,70,무선제본,500,
제본,B01,제본비,8,D,D8,70,트윈링제본,1300,
제본,B01,제본비,8,E,E8,70,PUR제본,2500,
제본,B01,제본비,9,A,A9,100,,100,
제본,B01,제본비,9,B,B9,100,중철제본,700,
제본,B01,제본비,9,C,C9,100,무선제본,500,
제본,B01,제본비,9,D,D9,100,트윈링제본,1300,
제본,B01,제본비,9,E,E9,100,PUR제본,2000,
제본,B01,제본비,10,A,A10,1000,,1000,
제본,B01,제본비,10,B,B10,1000,중철제본,500,
제본,B01,제본비,10,C,C10,1000,무선제본,500,
제본,B01,제본비,10,D,D10,1000,트윈링제본,1000,
제본,B01,제본비,10,E,E10,1000,PUR제본,1500,
제본,B02,하드커버 제본비,14,A,A14,하드커버 제본비,,하드커버 제본비,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A14:D14""}"
제본,B02,하드커버 제본비,14,E,E14,하드커버 제본비,,표지비용 따로 계산,"{""font_rgb"": ""FFFF9900""}"
제본,B02,하드커버 제본비,15,A,A15,제본/수량,,제본/수량,"{""fill_rgb"": ""FFFFFF00""}"
제본,B02,하드커버 제본비,15,B,B15,제본/수량,하드커버무선,하드커버무선,"{""fill_rgb"": ""FFFFFF00""}"
제본,B02,하드커버 제본비,15,C,C15,제본/수량,하드커버트윈링,하드커버트윈링,"{""fill_rgb"": ""FFFFFF00""}"
제본,B02,하드커버 제본비,15,D,D15,제본/수량,싸바리바인더,싸바리바인더,"{""fill_rgb"": ""FFFFFF00""}"
제본,B02,하드커버 제본비,16,A,A16,1,,1,
제본,B02,하드커버 제본비,16,B,B16,1,하드커버무선,30000,
제본,B02,하드커버 제본비,16,C,C16,1,하드커버트윈링,30000,
제본,B02,하드커버 제본비,16,D,D16,1,싸바리바인더,30000,
제본,B02,하드커버 제본비,17,A,A17,4,,4,
