sheet,type,row_seq,col,ref,block_id,meta_json
후가공_박(소형),block,,,,B01,"{""title"": ""동판비"", ""r_title"": 1, ""row_range"": [1, 7], ""col_range"": [""A"", ""M""], ""header_rows"": [2], ""data_start_row"": 3}"
후가공_박(소형),block,,,,B02,"{""title"": ""소형박 가공비 일반박 면적당가격 정의 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)"", ""r_title"": 8, ""row_range"": [8, 30], ""col_range"": [""A"", ""G""], ""header_rows"": [9, 10, 11, 12], ""data_start_row"": null}"
후가공_박(소형),block,,,,B03,"{""title"": ""소형박 가공비 일반박 수량별 가격 (금유광, 은유광, 먹유광, 청박, 적박, 동박, 펄박)"", ""r_title"": 8, ""row_range"": [8, 30], ""col_range"": [""H"", ""M""], ""header_rows"": [9], ""data_start_row"": 10}"
후가공_박(소형),block,,,,B04,"{""title"": ""소형박 가공비 특수박 면적당가격 정의 (백박, 홀로그램박, 트윙클박)"", ""r_title"": 31, ""row_range"": [31, 50], ""col_range"": [""A"", ""G""], ""header_rows"": [32, 33, 34, 35], ""data_start_row"": null}"
후가공_박(소형),block,,,,B05,"{""title"": ""소형박 가공비 특수박 수량별 가격 (백박, 홀로그램박, 트윙클박)"", ""r_title"": 31, ""row_range"": [31, 50], ""col_range"": [""H"", ""M""], ""header_rows"": [32], ""data_start_row"": 33}"
후가공_박(소형),cell,1,A,A1,B01,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:B1""}"
후가공_박(소형),cell,1,B,B1,B01,"{""merged_range"": ""A1:B1""}"
후가공_박(소형),cell,8,A,A8,B02,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A8:F8""}"
후가공_박(소형),cell,8,B,B8,B02,"{""merged_range"": ""A8:F8""}"
후가공_박(소형),cell,8,C,C8,B02,"{""merged_range"": ""A8:F8""}"
후가공_박(소형),cell,8,D,D8,B02,"{""merged_range"": ""A8:F8""}"
후가공_박(소형),cell,8,E,E8,B02,"{""merged_range"": ""A8:F8""}"
