sheet,type,row_seq,col,ref,block_id,meta_json
인쇄후가공,block,,,,B01,"{""title"": ""모서리 (귀돌이, 합가)"", ""r_title"": 1, ""row_range"": [1, 11], ""col_range"": [""A"", ""I""], ""header_rows"": [2], ""data_start_row"": 3}"
인쇄후가공,block,,,,B02,"{""title"": ""100장당 1000원씩 올립니다."", ""r_title"": 12, ""row_range"": [12, 14], ""col_range"": [""A"", ""I""], ""header_rows"": [], ""data_start_row"": null}"
인쇄후가공,block,,,,B03,"{""title"": ""오시 (합가)"", ""r_title"": 15, ""row_range"": [15, 31], ""col_range"": [""A"", ""I""], ""header_rows"": [16], ""data_start_row"": 17}"
인쇄후가공,block,,,,B04,"{""title"": ""가변(텍스트)"", ""r_title"": 32, ""row_range"": [32, 57], ""col_range"": [""A"", ""E""], ""header_rows"": [33], ""data_start_row"": 34}"
인쇄후가공,block,,,,B05,"{""title"": ""가변(이미지)"", ""r_title"": 32, ""row_range"": [32, 57], ""col_range"": [""F"", ""I""], ""header_rows"": [33], ""data_start_row"": 34}"
인쇄후가공,cell,1,A,A1,B01,"{""fill_rgb"": ""FFFF00FF"", ""merged_range"": ""A1:C1""}"
인쇄후가공,cell,1,B,B1,B01,"{""merged_range"": ""A1:C1""}"
인쇄후가공,cell,1,C,C1,B01,"{""merged_range"": ""A1:C1""}"
인쇄후가공,cell,1,D,D1,B01,"{""fill_rgb"": ""theme0""}"
인쇄후가공,cell,1,E,E1,B01,"{""fill_rgb"": ""theme0""}"
인쇄후가공,cell,12,A,A12,B02,"{""font_rgb"": ""FFFF0000"", ""merged_range"": ""A12:B12""}"
인쇄후가공,cell,12,B,B12,B02,"{""merged_range"": ""A12:B12""}"
인쇄후가공,cell,13,D,D13,B02,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,13,E,E13,B02,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,15,A,A15,B03,"{""fill_rgb"": ""FFFF00FF"", ""merged_range"": ""A15:D15""}"
인쇄후가공,cell,15,B,B15,B03,"{""merged_range"": ""A15:D15""}"
인쇄후가공,cell,15,C,C15,B03,"{""merged_range"": ""A15:D15""}"
인쇄후가공,cell,15,D,D15,B03,"{""merged_range"": ""A15:D15""}"
인쇄후가공,cell,15,F,F15,B03,"{""fill_rgb"": ""FFFF00FF"", ""merged_range"": ""F15:I15""}"
인쇄후가공,cell,15,G,G15,B03,"{""merged_range"": ""F15:I15""}"
인쇄후가공,cell,15,H,H15,B03,"{""merged_range"": ""F15:I15""}"
인쇄후가공,cell,15,I,I15,B03,"{""merged_range"": ""F15:I15""}"
인쇄후가공,cell,18,A,A18,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,18,F,F18,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,19,A,A19,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,19,F,F19,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,20,A,A20,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,20,F,F20,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,21,A,A21,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,21,F,F21,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,22,A,A22,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,22,F,F22,B03,"{""font_rgb"": ""FFFF0000""}"
인쇄후가공,cell,27,A,A27,B03,"{""font_rgb"": ""FFFF0000"", ""merged_range"": ""A27:D27""}"
인쇄후가공,cell,27,B,B27,B03,"{""merged_range"": ""A27:D27""}"
인쇄후가공,cell,27,C,C27,B03,"{""merged_range"": ""A27:D27""}"
인쇄후가공,cell,27,D,D27,B03,"{""merged_range"": ""A27:D27""}"
인쇄후가공,cell,27,F,F27,B03,"{""font_rgb"": ""FFFF0000"", ""merged_range"": ""F27:I27""}"
인쇄후가공,cell,27,G,G27,B03,"{""merged_range"": ""F27:I27""}"
인쇄후가공,cell,27,H,H27,B03,"{""merged_range"": ""F27:I27""}"
인쇄후가공,cell,27,I,I27,B03,"{""merged_range"": ""F27:I27""}"
인쇄후가공,cell,32,A,A32,B04,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A32:D32""}"
인쇄후가공,cell,32,B,B32,B04,"{""merged_range"": ""A32:D32""}"
인쇄후가공,cell,32,C,C32,B04,"{""merged_range"": ""A32:D32""}"
인쇄후가공,cell,32,D,D32,B04,"{""merged_range"": ""A32:D32""}"
인쇄후가공,cell,32,F,F32,B05,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""F32:I32""}"
인쇄후가공,cell,32,G,G32,B05,"{""merged_range"": ""F32:I32""}"
인쇄후가공,cell,32,H,H32,B05,"{""merged_range"": ""F32:I32""}"
인쇄후가공,cell,32,I,I32,B05,"{""merged_range"": ""F32:I32""}"
