sheet,type,row_seq,col,ref,block_id,meta_json
엽서북떡메,block,,,,B01,"{""title"": ""엽서북"", ""r_title"": 1, ""row_range"": [1, 45], ""col_range"": [""A"", ""M""], ""header_rows"": [2, 3, 4], ""data_start_row"": 5}"
엽서북떡메,block,,,,B02,"{""title"": ""떡메모지"", ""r_title"": 46, ""row_range"": [46, 47], ""col_range"": [""A"", ""M""], ""header_rows"": [47], ""data_start_row"": null}"
엽서북떡메,block,,,,B03,"{""title"": ""장수 / 수량"", ""r_title"": 48, ""row_range"": [48, 76], ""col_range"": [""A"", ""M""], ""header_rows"": [], ""data_start_row"": 49}"
엽서북떡메,cell,1,A,A1,B01,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,B,B1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,C,C1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,D,D1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,E,E1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,F,F1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,G,G1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,H,H1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,I,I1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,J,J1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,K,K1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,L,L1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,1,M,M1,B01,"{""merged_range"": ""A1:M1""}"
엽서북떡메,cell,2,B,B2,B01,"{""merged_range"": ""B2:E2""}"
엽서북떡메,cell,2,C,C2,B01,"{""merged_range"": ""B2:E2""}"
엽서북떡메,cell,2,D,D2,B01,"{""merged_range"": ""B2:E2""}"
엽서북떡메,cell,2,E,E2,B01,"{""merged_range"": ""B2:E2""}"
엽서북떡메,cell,2,F,F2,B01,"{""merged_range"": ""F2:I2""}"
엽서북떡메,cell,2,G,G2,B01,"{""merged_range"": ""F2:I2""}"
엽서북떡메,cell,2,H,H2,B01,"{""merged_range"": ""F2:I2""}"
엽서북떡메,cell,2,I,I2,B01,"{""merged_range"": ""F2:I2""}"
엽서북떡메,cell,2,J,J2,B01,"{""merged_range"": ""J2:M2""}"
엽서북떡메,cell,2,K,K2,B01,"{""merged_range"": ""J2:M2""}"
엽서북떡메,cell,2,L,L2,B01,"{""merged_range"": ""J2:M2""}"
엽서북떡메,cell,2,M,M2,B01,"{""merged_range"": ""J2:M2""}"
엽서북떡메,cell,3,B,B3,B01,"{""merged_range"": ""B3:C3""}"
엽서북떡메,cell,3,C,C3,B01,"{""merged_range"": ""B3:C3""}"
엽서북떡메,cell,3,D,D3,B01,"{""merged_range"": ""D3:E3""}"
엽서북떡메,cell,3,E,E3,B01,"{""merged_range"": ""D3:E3""}"
엽서북떡메,cell,3,F,F3,B01,"{""merged_range"": ""F3:G3""}"
엽서북떡메,cell,3,G,G3,B01,"{""merged_range"": ""F3:G3""}"
엽서북떡메,cell,3,H,H3,B01,"{""merged_range"": ""H3:I3""}"
엽서북떡메,cell,3,I,I3,B01,"{""merged_range"": ""H3:I3""}"
엽서북떡메,cell,3,J,J3,B01,"{""merged_range"": ""J3:K3""}"
엽서북떡메,cell,3,K,K3,B01,"{""merged_range"": ""J3:K3""}"
엽서북떡메,cell,3,L,L3,B01,"{""merged_range"": ""L3:M3""}"
엽서북떡메,cell,3,M,M3,B01,"{""merged_range"": ""L3:M3""}"
엽서북떡메,cell,46,A,A46,B02,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A46:E46""}"
엽서북떡메,cell,46,B,B46,B02,"{""merged_range"": ""A46:E46""}"
엽서북떡메,cell,46,C,C46,B02,"{""merged_range"": ""A46:E46""}"
엽서북떡메,cell,46,D,D46,B02,"{""merged_range"": ""A46:E46""}"
엽서북떡메,cell,46,E,E46,B02,"{""merged_range"": ""A46:E46""}"
엽서북떡메,cell,47,B,B47,B02,"{""merged_range"": ""B47:C47""}"
엽서북떡메,cell,47,C,C47,B02,"{""merged_range"": ""B47:C47""}"
엽서북떡메,cell,47,D,D47,B02,"{""merged_range"": ""D47:E47""}"
엽서북떡메,cell,47,E,E47,B02,"{""merged_range"": ""D47:E47""}"
