row_seq,daebunryu,jungbunryu,paper_name,pyeongryang,yakeo,product_col,mark
4,디지털인쇄,디지털인쇄용지,백색모조지 100g,100,백모조,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
4,디지털인쇄,디지털인쇄용지,백색모조지 100g,100,백모조,트윈링내지,●
4,디지털인쇄,디지털인쇄용지,백색모조지 100g,100,백모조,트윈링표지 :: 코팅/오시,●
5,디지털인쇄,디지털인쇄용지,백색모조지 120g,120,백모조,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
5,디지털인쇄,디지털인쇄용지,백색모조지 120g,120,백모조,중철내지,●
5,디지털인쇄,디지털인쇄용지,백색모조지 120g,120,백모조,중철표지,●
5,디지털인쇄,디지털인쇄용지,백색모조지 120g,120,백모조,무선내지,●
5,디지털인쇄,디지털인쇄용지,백색모조지 120g,120,백모조,트윈링내지,●
5,디지털인쇄,디지털인쇄용지,백색모조지 120g,120,백모조,트윈링표지 :: 코팅/오시,●
6,디지털인쇄,디지털인쇄용지,백색모조지 220g,220,백모조,프리미엄엽서,●
6,디지털인쇄,디지털인쇄용지,백색모조지 220g,220,백모조,스탠다드엽서,●
6,디지털인쇄,디지털인쇄용지,백색모조지 220g,220,백모조,2단접지카드 / 3단접지카드 / 미니접지카드,●
6,디지털인쇄,디지털인쇄용지,백색모조지 220g,220,백모조,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
6,디지털인쇄,디지털인쇄용지,백색모조지 220g,220,백모조,무선표지 :: 코팅/오시,●
6,디지털인쇄,디지털인쇄용지,백색모조지 220g,220,백모조,트윈링표지 :: 코팅/오시,●
6,디지털인쇄,디지털인쇄용지,백색모조지 220g,220,백모조,벽걸이캘린더,●
7,디지털인쇄,디지털인쇄용지,아트지 100g,100,아트,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
7,디지털인쇄,디지털인쇄용지,아트지 100g,100,아트,트윈링내지,●
7,디지털인쇄,디지털인쇄용지,아트지 100g,100,아트,트윈링표지 :: 코팅/오시,●
8,디지털인쇄,디지털인쇄용지,아트지 120g,120,아트,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
8,디지털인쇄,디지털인쇄용지,아트지 120g,120,아트,중철내지,●
8,디지털인쇄,디지털인쇄용지,아트지 120g,120,아트,중철표지,●
8,디지털인쇄,디지털인쇄용지,아트지 120g,120,아트,무선내지,●
8,디지털인쇄,디지털인쇄용지,아트지 120g,120,아트,트윈링내지,●
8,디지털인쇄,디지털인쇄용지,아트지 120g,120,아트,트윈링표지 :: 코팅/오시,●
9,디지털인쇄,디지털인쇄용지,아트지 150g,150,아트,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
9,디지털인쇄,디지털인쇄용지,아트지 150g,150,아트,중철내지,●
9,디지털인쇄,디지털인쇄용지,아트지 150g,150,아트,중철표지,●
9,디지털인쇄,디지털인쇄용지,아트지 150g,150,아트,트윈링내지,●
9,디지털인쇄,디지털인쇄용지,아트지 150g,150,아트,트윈링표지 :: 코팅/오시,●
10,디지털인쇄,디지털인쇄용지,아트지 180g,180,아트,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
10,디지털인쇄,디지털인쇄용지,아트지 180g,180,아트,중철내지,●
10,디지털인쇄,디지털인쇄용지,아트지 180g,180,아트,중철표지,●
10,디지털인쇄,디지털인쇄용지,아트지 180g,180,아트,트윈링내지,●
10,디지털인쇄,디지털인쇄용지,아트지 180g,180,아트,트윈링표지 :: 코팅/오시,●
10,디지털인쇄,디지털인쇄용지,아트지 180g,180,아트,벽걸이캘린더,●
11,디지털인쇄,디지털인쇄용지,아트지 200g,200,아트,스탠다드엽서,●
11,디지털인쇄,디지털인쇄용지,아트지 200g,200,아트,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
11,디지털인쇄,디지털인쇄용지,아트지 200g,200,아트,중철내지,●
11,디지털인쇄,디지털인쇄용지,아트지 200g,200,아트,중철표지,●
11,디지털인쇄,디지털인쇄용지,아트지 200g,200,아트,트윈링표지 :: 코팅/오시,●
11,디지털인쇄,디지털인쇄용지,아트지 200g,200,아트,벽걸이캘린더,●
12,디지털인쇄,디지털인쇄용지,아트지 250g,250,아트,스탠다드엽서,●
12,디지털인쇄,디지털인쇄용지,아트지 250g,250,아트,2단접지카드 / 3단접지카드 / 미니접지카드,●
12,디지털인쇄,디지털인쇄용지,아트지 250g,250,아트,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
12,디지털인쇄,디지털인쇄용지,아트지 250g,250,아트,무선표지 :: 코팅/오시,●
12,디지털인쇄,디지털인쇄용지,아트지 250g,250,아트,트윈링표지 :: 코팅/오시,●
12,디지털인쇄,디지털인쇄용지,아트지 250g,250,아트,벽걸이캘린더,●
13,디지털인쇄,디지털인쇄용지,아트지 300g,300,아트,프리미엄엽서,●
13,디지털인쇄,디지털인쇄용지,아트지 300g,300,아트,스탠다드엽서,●
13,디지털인쇄,디지털인쇄용지,아트지 300g,300,아트,2단접지카드 / 3단접지카드 / 미니접지카드,●
13,디지털인쇄,디지털인쇄용지,아트지 300g,300,아트,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
13,디지털인쇄,디지털인쇄용지,아트지 300g,300,아트,무선표지 :: 코팅/오시,●
13,디지털인쇄,디지털인쇄용지,아트지 300g,300,아트,트윈링표지 :: 코팅/오시,●
13,디지털인쇄,디지털인쇄용지,아트지 300g,300,아트,벽걸이캘린더,●
14,디지털인쇄,디지털인쇄용지,스노우지 100g,100,스노우,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
14,디지털인쇄,디지털인쇄용지,스노우지 100g,100,스노우,트윈링내지,●
14,디지털인쇄,디지털인쇄용지,스노우지 100g,100,스노우,트윈링표지 :: 코팅/오시,●
15,디지털인쇄,디지털인쇄용지,스노우지 120g,120,스노우,소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,●
15,디지털인쇄,디지털인쇄용지,스노우지 120g,120,스노우,중철내지,●
15,디지털인쇄,디지털인쇄용지,스노우지 120g,120,스노우,중철표지,●
15,디지털인쇄,디지털인쇄용지,스노우지 120g,120,스노우,무선내지,●
