sheet,type,row_seq,col,ref,block_id,meta_json
제본,block,,,,B01,"{""title"": ""제본비"", ""r_title"": 1, ""row_range"": [1, 13], ""col_range"": [""A"", ""F""], ""header_rows"": [2], ""data_start_row"": 3}"
제본,block,,,,B02,"{""title"": ""하드커버 제본비"", ""r_title"": 14, ""row_range"": [14, 24], ""col_range"": [""A"", ""F""], ""header_rows"": [15], ""data_start_row"": 16}"
제본,block,,,,B03,"{""title"": ""캘린더 제본비"", ""r_title"": 25, ""row_range"": [25, 32], ""col_range"": [""A"", ""F""], ""header_rows"": [26], ""data_start_row"": 27}"
제본,cell,1,A,A1,B01,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:E1""}"
제본,cell,1,B,B1,B01,"{""merged_range"": ""A1:E1""}"
제본,cell,1,C,C1,B01,"{""merged_range"": ""A1:E1""}"
제본,cell,1,D,D1,B01,"{""merged_range"": ""A1:E1""}"
제본,cell,1,E,E1,B01,"{""merged_range"": ""A1:E1""}"
제본,cell,2,A,A2,B01,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,2,B,B2,B01,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,2,C,C2,B01,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,2,D,D2,B01,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,2,E,E2,B01,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,14,A,A14,B02,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A14:D14""}"
제본,cell,14,B,B14,B02,"{""merged_range"": ""A14:D14""}"
제본,cell,14,C,C14,B02,"{""merged_range"": ""A14:D14""}"
제본,cell,14,D,D14,B02,"{""merged_range"": ""A14:D14""}"
제본,cell,14,E,E14,B02,"{""font_rgb"": ""FFFF9900""}"
제본,cell,15,A,A15,B02,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,15,B,B15,B02,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,15,C,C15,B02,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,15,D,D15,B02,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,25,A,A25,B03,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A25:E25""}"
제본,cell,25,B,B25,B03,"{""merged_range"": ""A25:E25""}"
제본,cell,25,C,C25,B03,"{""merged_range"": ""A25:E25""}"
제본,cell,25,D,D25,B03,"{""merged_range"": ""A25:E25""}"
제본,cell,25,E,E25,B03,"{""merged_range"": ""A25:E25""}"
제본,cell,26,A,A26,B03,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,26,B,B26,B03,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,26,C,C26,B03,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,26,D,D26,B03,"{""fill_rgb"": ""FFFFFF00""}"
제본,cell,26,E,E26,B03,"{""fill_rgb"": ""FFFFFF00""}"
