sheet,type,row_seq,col,ref,block_id,meta_json
디지털인쇄비,block,,,,B01,"{""title"": ""디지털인쇄 출력비(국4절)"", ""r_title"": 1, ""row_range"": [1, 60], ""col_range"": [""A"", ""O""], ""header_rows"": [2, 3], ""data_start_row"": 4}"
디지털인쇄비,block,,,,B02,"{""title"": ""디지털인쇄 출력비(3절)"", ""r_title"": 61, ""row_range"": [61, 116], ""col_range"": [""A"", ""O""], ""header_rows"": [62, 63], ""data_start_row"": 64}"
디지털인쇄비,cell,1,A,A1,B01,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,B,B1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,C,C1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,D,D1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,E,E1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,F,F1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,G,G1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,H,H1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,I,I1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,J,J1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,K,K1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,L,L1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,M,M1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,N,N1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,1,O,O1,B01,"{""merged_range"": ""A1:O1""}"
디지털인쇄비,cell,2,B,B2,B01,"{""merged_range"": ""B2:C2""}"
디지털인쇄비,cell,2,C,C2,B01,"{""merged_range"": ""B2:C2""}"
디지털인쇄비,cell,2,D,D2,B01,"{""merged_range"": ""D2:E2""}"
디지털인쇄비,cell,2,E,E2,B01,"{""merged_range"": ""D2:E2""}"
디지털인쇄비,cell,2,F,F2,B01,"{""merged_range"": ""F2:G2""}"
디지털인쇄비,cell,2,G,G2,B01,"{""merged_range"": ""F2:G2""}"
디지털인쇄비,cell,2,H,H2,B01,"{""merged_range"": ""H2:I2""}"
디지털인쇄비,cell,2,I,I2,B01,"{""merged_range"": ""H2:I2""}"
디지털인쇄비,cell,2,J,J2,B01,"{""merged_range"": ""J2:K2""}"
디지털인쇄비,cell,2,K,K2,B01,"{""merged_range"": ""J2:K2""}"
디지털인쇄비,cell,2,L,L2,B01,"{""merged_range"": ""L2:M2""}"
디지털인쇄비,cell,2,M,M2,B01,"{""merged_range"": ""L2:M2""}"
디지털인쇄비,cell,2,N,N2,B01,"{""merged_range"": ""N2:O2""}"
디지털인쇄비,cell,2,O,O2,B01,"{""merged_range"": ""N2:O2""}"
디지털인쇄비,cell,61,A,A61,B02,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A61:E61""}"
디지털인쇄비,cell,61,B,B61,B02,"{""merged_range"": ""A61:E61""}"
디지털인쇄비,cell,61,C,C61,B02,"{""merged_range"": ""A61:E61""}"
디지털인쇄비,cell,61,D,D61,B02,"{""merged_range"": ""A61:E61""}"
디지털인쇄비,cell,61,E,E61,B02,"{""merged_range"": ""A61:E61""}"
디지털인쇄비,cell,62,B,B62,B02,"{""merged_range"": ""B62:C62""}"
디지털인쇄비,cell,62,C,C62,B02,"{""merged_range"": ""B62:C62""}"
디지털인쇄비,cell,62,D,D62,B02,"{""merged_range"": ""D62:E62""}"
디지털인쇄비,cell,62,E,E62,B02,"{""merged_range"": ""D62:E62""}"
디지털인쇄비,cell,63,F,F63,B02,"{""font_rgb"": ""FFFF9900""}"
