sheet,prd_nm,column,cell_ref,before,after
디지털인쇄,프리미엄엽서,추가상품(옵션) / 추가상품,AL6,카드봉투(화이트) 165x115 mm 50장,카드봉투(화이트) 165x115 mm 10장
디지털인쇄,프리미엄엽서,추가상품(옵션) / 추가상품,AL7,카드봉투(블랙) 165x115 mm 50장,카드봉투(블랙) 165x115 mm 10장
디지털인쇄,코팅엽서,추가상품(옵션) / 추가상품,AL14,카드봉투(화이트) 165x115 mm 50장,카드봉투(화이트) 165x115 mm 10장
디지털인쇄,코팅엽서,추가상품(옵션) / 추가상품,AL15,카드봉투(블랙) 165x115 mm 50장,카드봉투(블랙) 165x115 mm 10장
디지털인쇄,스탠다드엽서,추가상품(옵션) / 추가상품,AL22,카드봉투(화이트) 165x115 mm 50장,카드봉투(화이트) 165x115 mm 10장
디지털인쇄,스탠다드엽서,추가상품(옵션) / 추가상품,AL23,카드봉투(블랙) 165x115 mm 50장,카드봉투(블랙) 165x115 mm 10장
디지털인쇄,투명엽서,별색인쇄(옵션) / 화이트,R28,화이트인쇄(양면),
디지털인쇄,투명엽서,추가상품(옵션) / 추가상품,AL29,카드봉투(화이트) 165x115 mm 50장,카드봉투(화이트) 165x115 mm 10장
디지털인쇄,투명엽서,추가상품(옵션) / 추가상품,AL30,카드봉투(블랙) 165x115 mm 50장,카드봉투(블랙) 165x115 mm 10장
디지털인쇄,화이트인쇄엽서,추가상품(옵션) / 추가상품,AL36,카드봉투(화이트) 165x115 mm 50장,카드봉투(화이트) 165x115 mm 10장
디지털인쇄,화이트인쇄엽서,추가상품(옵션) / 추가상품,AL37,카드봉투(블랙) 165x115 mm 50장,카드봉투(블랙) 165x115 mm 10장
디지털인쇄,핑크별색엽서,추가상품(옵션) / 추가상품,AL43,카드봉투(화이트) 165x115 mm 50장,카드봉투(화이트) 165x115 mm 10장
디지털인쇄,핑크별색엽서,추가상품(옵션) / 추가상품,AL44,카드봉투(블랙) 165x115 mm 50장,카드봉투(블랙) 165x115 mm 10장
디지털인쇄,금은별색엽서,추가상품(옵션) / 추가상품,AL49,카드봉투(화이트) 165x115 mm 50장,카드봉투(화이트) 165x115 mm 10장
디지털인쇄,금은별색엽서,추가상품(옵션) / 추가상품,AL50,카드봉투(블랙) 165x115 mm 50장,카드봉투(블랙) 165x115 mm 10장
디지털인쇄,미니접지카드,작업사이즈,H76,,104x92
디지털인쇄,미니접지카드,재단사이즈,I76,,100x90
MAP,(카테고리 트리),MAP A,A1,01 엽서,01 엽서/카드
MAP,(카테고리 트리),MAP J,J2,▶︎소품,▶︎생활소품
MAP,(카테고리 트리),MAP L,L6,,라벨/택
MAP,(카테고리 트리),MAP J,J9,▶︎라이프,▶︎데코소품
MAP,(카테고리 트리),MAP L,L15,▶︎라벨/포장스티커,▶︎포장부자재
MAP,(카테고리 트리),MAP L,L16,라벨/택,자석고정용고무판
MAP,(카테고리 트리),MAP L,L20,▶︎포장부자재,▶︎상품액세서리
MAP,(카테고리 트리),MAP L,L21,자석고정용고무판,우드거치대
MAP,(카테고리 트리),MAP L,L22,,우드행거
MAP,(카테고리 트리),MAP L,L23,▶︎상품액세서리,와블러
MAP,(카테고리 트리),MAP L,L24,우드거치대,볼체인
MAP,(카테고리 트리),MAP L,L25,우드행거,와이어링
MAP,(카테고리 트리),MAP L,L26,와블러,
MAP,(카테고리 트리),MAP L,L27,볼체인,
MAP,(카테고리 트리),MAP L,L28,와이어링,
MAP,(카테고리 트리),MAP J,J35,▶︎기념품/액세서리,▶︎액세서리소품
