target_table,natural_key,source
t_prd_product_price_formulas,PRD_000146|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(라이브 실재·재현)
t_prd_product_price_formulas,PRD_000147|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000148|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000149|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000150|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000152|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000154|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000155|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000157|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000158|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000160|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000161|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T/1.5T)
t_prd_product_price_formulas,PRD_000162|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000163|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명1.5T·mat_cd 분기)
t_prd_product_price_formulas,PRD_000170|2026-06-15→PRF_CLR_ACRYL,acrylic-chain-design.md §5(투명3T)
t_prd_product_price_formulas,PRD_000168|2026-06-15→PRF_COROTTO_ACRYL,acrylic-chain-design.md §5(코롯토)
t_prd_product_price_formulas,PRD_000164|2026-06-15→PRF_COROTTO_ACRYL,acrylic-chain-design.md §5(코롯토·use_yn=N)
t_prd_product_price_formulas,PRD_000226|2026-06-15→PRF_COROTTO_ACRYL,acrylic-chain-design.md §5(코롯토·use_yn=N)
t_prd_product_price_formulas,PRD_000166|2026-06-15→PRF_CARABINER_ACRYL,acrylic-chain-design.md §5(카라비너·use_yn=N)
