prd_cd,mat_cd,usage_cd,dflt_yn,disp_seq,reg_dt,upd_dt,del_yn,del_dt
PRD_000188,MAT_000263,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000188,MAT_000264,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000191,MAT_000265,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000230,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000230,MAT_000320,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000231,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000231,MAT_000320,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000232,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000232,MAT_000320,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000233,MAT_000321,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000233,MAT_000322,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000234,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000238,MAT_000323,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000238,MAT_000324,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000238,MAT_000325,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000239,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000239,MAT_000320,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000240,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000240,MAT_000320,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000243,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000243,MAT_000320,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000243,MAT_000326,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000249,MAT_000319,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000249,MAT_000320,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000250,MAT_000328,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000252,MAT_000329,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000252,MAT_000330,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000254,MAT_000329,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000254,MAT_000330,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000255,MAT_000331,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000264,MAT_000332,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000267,MAT_000332,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000267,MAT_000333,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000268,MAT_000334,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000269,MAT_000335,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000270,MAT_000336,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000271,MAT_000332,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000278,MAT_000333,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
PRD_000279,MAT_000333,USAGE.07,Y,1,2026-06-03 12:46:02.974607,,N,
