frm_cd,comp_cd,disp_seq
PRF_DGP_A,COMP_PRINT_DIGITAL_S1,1
PRF_DGP_A,COMP_PRINT_DIGITAL_S2,2
PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,3
PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S2,4
PRF_DGP_A,COMP_PRINT_SPOT_CLEAR_S1,5
PRF_DGP_A,COMP_PRINT_SPOT_CLEAR_S2,6
PRF_DGP_A,COMP_PRINT_SPOT_PINK_S1,7
PRF_DGP_A,COMP_PRINT_SPOT_PINK_S2,8
PRF_DGP_A,COMP_PRINT_SPOT_GOLD_S1,9
PRF_DGP_A,COMP_PRINT_SPOT_GOLD_S2,10
PRF_DGP_A,COMP_PRINT_SPOT_SILVER_S1,11
PRF_DGP_A,COMP_PRINT_SPOT_SILVER_S2,12
PRF_DGP_A,COMP_COAT_GLOSSY,13
PRF_DGP_A,COMP_COAT_MATTE,14
PRF_DGP_A,COMP_PAPER,15
PRF_DGP_A,COMP_PP_CREASE_1L,16
PRF_DGP_A,COMP_PP_CREASE_2L,17
PRF_DGP_A,COMP_PP_CREASE_3L,18
PRF_DGP_A,COMP_PP_PERF_1L,19
PRF_DGP_A,COMP_PP_PERF_2L,20
PRF_DGP_A,COMP_PP_PERF_3L,21
PRF_DGP_A,COMP_PP_VARTEXT_1EA,22
PRF_DGP_A,COMP_PP_VARTEXT_2EA,23
PRF_DGP_A,COMP_PP_VARTEXT_3EA,24
PRF_DGP_A,COMP_PP_VARIMG_1EA,25
PRF_DGP_A,COMP_PP_VARIMG_2EA,26
PRF_DGP_A,COMP_PP_VARIMG_3EA,27
PRF_DGP_A,COMP_PP_CORNER_RIGHT,28
PRF_DGP_A,COMP_PP_CORNER_ROUND,29
PRF_DGP_B,COMP_PRINT_DIGITAL_S1,1
PRF_DGP_B,COMP_PRINT_DIGITAL_S2,2
PRF_DGP_B,COMP_PAPER,3
PRF_DGP_B,COMP_CUT_FULL_DIECUT,4
PRF_DGP_C,COMP_PRINT_DIGITAL_S1,1
PRF_DGP_C,COMP_PRINT_DIGITAL_S2,2
PRF_DGP_C,COMP_PAPER,3
PRF_DGP_C,COMP_FOLD_CARD_2H,4
PRF_DGP_C,COMP_CUT_PERF_1H6,5
PRF_DGP_D,COMP_PRINT_DIGITAL_S1,1
PRF_POSTER_FIXED,COMP_POSTER_ARTPRINT_PHOTO,1
PRF_DGP_D,COMP_PRINT_DIGITAL_S2,2
PRF_DGP_D,COMP_COAT_GLOSSY,3
PRF_DGP_D,COMP_COAT_MATTE,4
PRF_DGP_D,COMP_PAPER,5
PRF_DGP_D,COMP_CUT_PERF_1H6,6
PRF_DGP_D,COMP_PP_CREASE_1L,7
PRF_DGP_D,COMP_PP_CREASE_2L,8
PRF_DGP_D,COMP_PP_CREASE_3L,9
PRF_DGP_D,COMP_PP_PERF_1L,10
PRF_DGP_D,COMP_PP_PERF_2L,11
PRF_DGP_D,COMP_PP_PERF_3L,12
PRF_DGP_D,COMP_PP_VARTEXT_1EA,13
PRF_DGP_D,COMP_PP_VARTEXT_2EA,14
PRF_DGP_D,COMP_PP_VARTEXT_3EA,15
PRF_DGP_D,COMP_PP_VARIMG_1EA,16
PRF_DGP_D,COMP_PP_VARIMG_2EA,17
PRF_DGP_D,COMP_PP_VARIMG_3EA,18
PRF_DGP_D,COMP_PP_CORNER_RIGHT,19
PRF_DGP_D,COMP_PP_CORNER_ROUND,20
PRF_DGP_E,COMP_PRINT_DIGITAL_S1,1
PRF_DGP_E,COMP_PRINT_DIGITAL_S2,2
PRF_DGP_E,COMP_COAT_GLOSSY,3
PRF_DGP_E,COMP_COAT_MATTE,4
PRF_DGP_E,COMP_PAPER,5
PRF_DGP_E,COMP_FOLD_LEAF_HALF,6
PRF_DGP_E,COMP_FOLD_LEAF_3FOLD,7
PRF_DGP_E,COMP_FOLD_LEAF_4ACC,8
PRF_DGP_E,COMP_FOLD_LEAF_4GATE,9
PRF_DGP_E,COMP_CUT_PERF_1H6,10
PRF_DGP_F,COMP_PAPER,1
PRF_DGP_F,COMP_PRINT_DIGITAL_S1,2
PRF_DGP_F,COMP_PRINT_DIGITAL_S2,3
PRF_DGP_F,COMP_CUT_FULL_DIECUT,4
