comp_cd,use_dims
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000080""]"
COMP_POSTER_ACRYLSTK_MIRROR,"[""siz_cd""]"
COMP_POSTER_ADH_CLEAR_PVC,"[""siz_cd""]"
COMP_POSTER_ADH_WATERPROOF_PVC,"[""siz_cd""]"
COMP_POSTER_ARTFABRIC_GRAPHIC,"[""siz_cd""]"
COMP_POSTER_ARTPAPER_MATTE,"[""siz_cd""]"
COMP_POSTER_ARTPRINT_PHOTO,"[""siz_cd""]"
COMP_POSTER_BANNER_MESH,"[""siz_cd""]"
COMP_POSTER_BANNER_NORMAL,"[""siz_cd""]"
COMP_POSTER_CANVAS_FABRIC,"[""siz_cd""]"
COMP_POSTER_FOAMBOARD_BLACK,"[""siz_cd""]"
COMP_POSTER_FOAMBOARD_WHITE,"[""siz_cd""]"
COMP_POSTER_FRAMELESS_WOOD,"[""siz_cd"", ""min_qty""]"
COMP_POSTER_JOKJA,"[""siz_cd"", ""min_qty""]"
COMP_POSTER_LEATHER_ARTPRINT,"[""siz_cd""]"
COMP_POSTER_LEATHER_FRAME,"[""siz_cd"", ""min_qty""]"
COMP_POSTER_LINEN_FABRIC,"[""siz_cd""]"
COMP_POSTER_LINEN_WOODBONG,"[""siz_cd"", ""min_qty""]"
COMP_POSTER_MESH_BANNER,"[""siz_cd"", ""min_qty""]"
COMP_POSTER_MESH_PRINT,"[""siz_cd""]"
COMP_POSTER_MINI_BANNER,"[""siz_cd"", ""min_qty""]"
COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,[]
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,[]
COMP_POSTER_CANVAS_HANGING,"[""siz_width"", ""siz_height"", ""min_qty""]"
COMP_POSTER_ACRYLSTK_GLOSS,"[""siz_cd""]"
COMP_POSTER_FOMEXBOARD_WHITE3MM,"[""siz_cd""]"
COMP_POSTER_FOMEXBOARD_WHITE5MM,"[""siz_cd""]"
COMP_POSTER_MINI_STANDBOARD,"[""siz_cd"", ""min_qty""]"
COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,[]
COMP_POSTEROPT_BANNER_MESH_PROC_OPT,
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,[]
COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,[]
COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,[]
COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,[]
COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE,[]
COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,[]
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,[]
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6,[]
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8,[]
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,"[""siz_cd""]"
COMP_POSTEROPT_JOKJA_CEILHOOK,"[""bdl_qty""]"
COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,"[""siz_cd""]"
COMP_POSTEROPT_PET_BANNER_STAND_IN,[]
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1,[]
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2,[]
COMP_POSTER_PET_BANNER,"[""siz_cd"", ""min_qty""]"
COMP_POSTER_SHEETCUT_HOLO,"[""siz_cd""]"
COMP_POSTER_SHEETCUT_MATTE,"[""siz_cd""]"
COMP_POSTER_TYVEK_PRINT,"[""siz_cd""]"
COMP_POSTER_WATERPROOF_PET,"[""siz_cd"", ""min_qty""]"
