category,cell,raw,norm,resolves_to_sheet,resolves_to_live,live_exists
07 캘린더,G12,→캘린더봉투,캘린더봉투,캘린더봉투,PRD_000005,Y
05 사인,E13,→대형스티커,대형스티커,,,N
07 캘린더,G13,→우드거치대,우드거치대,우드거치대,PRD_000012,Y
07 캘린더,G14,→우드행거,우드행거,우드행거,PRD_000014,Y
10 라이프,J17,→아크릴코스터,아크릴코스터,아크릴 코스터,PRD_000159,Y
12 포장,L17,→반칼원형스티커,반칼원형스티커,반칼원형스티커,PRD_000058,Y
12 포장,L18,→반칼띠지스티커,반칼띠지스티커,반칼띠지스티커,PRD_000061,Y
10 라이프,J22,→아크릴마그넷,아크릴마그넷,아크릴마그넷,PRD_000147,Y
01 엽서,A25,→말랑 포카홀더,말랑포카홀더,말랑포카홀더,PRD_000223,Y
03 인쇄홍보물,C25,→만년스탬프,만년스탬프,만년스탬프,PRD_000217,Y
08 문구,H25,→아크릴집게,아크릴집게,아크릴집게,PRD_000149,Y
01 엽서,A26,→아크릴 포카스탠드,아크릴포카스탠드,아크릴포카스탠드,PRD_000162,Y
03 인쇄홍보물,C26,→아크릴명찰,아크릴명찰,아크릴명찰,PRD_000152,Y
10 라이프,J28,→아크릴네임택,아크릴네임택,아크릴네임택,PRD_000157,Y
08 문구,H29,→아크릴볼펜,아크릴볼펜,아크릴볼펜,PRD_000155,Y
10 라이프,J38,→아크릴뱃지,아크릴뱃지,아크릴뱃지,PRD_000148,Y
10 라이프,J39,→아크릴키링,아크릴키링,아크릴키링,PRD_000146,Y
10 라이프,J40,→아크릴네임택,아크릴네임택,아크릴네임택,PRD_000157,Y
10 라이프,J65,→아크릴 스마트톡,아크릴스마트톡,아크릴스마트톡,PRD_000150,Y
10 라이프,J66,→맥세이프 스마트톡,맥세이프스마트톡,맥세이프 스마트톡,PRD_000151,Y
