category,cell,col,row,type,raw,norm,sheet_grade,sheet_match,live_grade,live_prd_cd,live_opt_n,live_priced,status,reason
01 엽서,A2,A,2,section,▶︎엽서,엽서,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
02 스티커,B2,B,2,section,▶︎자유형 스티커,자유형스티커,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
03 인쇄홍보물,C2,C,2,section,▶︎명함,명함,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
04 포스터,D2,D,2,section,▶︎아트포스터,아트포스터,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
05 사인,E2,E,2,section,▶︎배너/현수막,배너현수막,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
06 책자,F2,F,2,section,▶︎책자,책자,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
07 캘린더,G2,G,2,section,▶︎탁상형캘린더,탁상형캘린더,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
08 문구,H2,H,2,section,▶︎플래너,플래너,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
09 아크릴,I2,I,2,section,▶︎단품형,단품형,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
10 라이프,J2,J,2,section,▶︎소품,소품,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
11 에코백,K2,K,2,section,▶︎레더파우치,레더파우치,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
12 포장,L2,L,2,section,▶︎포장재,포장재,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
01 엽서,A3,A,3,product,프리미엄엽서,프리미엄엽서,exact,디지털인쇄:프리미엄엽서,exact,PRD_000016,41,Y,✅정상등록가능,라이브 opt=41·price사슬=Y
02 스티커,B3,B,3,product,반칼 자유형 스티커,반칼자유형스티커,exact,스티커:반칼 자유형 스티커,exact,PRD_000052,7,Y,✅정상등록가능,라이브 opt=7·price사슬=Y
03 인쇄홍보물,C3,C,3,product,프리미엄명함,프리미엄명함,exact,디지털인쇄:프리미엄명함,exact,PRD_000031,30,Y,✅정상등록가능,라이브 opt=30·price사슬=Y
04 포스터,D3,D,3,product,아트프린트포스터,아트프린트포스터,exact,실사:아트프린트포스터,exact,PRD_000118,2,Y,✅정상등록가능,라이브 opt=2·price사슬=Y
05 사인,E3,E,3,product,PET배너,PET배너,exact,실사:PET배너,exact,PRD_000136,4,Y,✅정상등록가능,라이브 opt=4·price사슬=Y
06 책자,F3,F,3,product,중철책자,중철책자,exact,책자:중철책자,exact,PRD_000068,35,Y,✅정상등록가능,라이브 opt=35·price사슬=Y
07 캘린더,G3,G,3,product,탁상형캘린더,탁상형캘린더,exact,캘린더:탁상형캘린더,exact,PRD_000108,0,N,🟡신규출시,라이브 존재(PRD_000108)·결손:옵션0/가격사슬X
08 문구,H3,H,3,product,만년다이어리(레더소프트커버),만년다이어리레더소프트커버,exact,문구:만년다이어리(레더소프트커버),exact,PRD_000175,0,N,🟡신규출시,라이브 존재(PRD_000175)·결손:옵션0/가격사슬X
09 아크릴,I3,I,3,product,아크릴키링,아크릴키링,exact,아크릴:아크릴키링,exact,PRD_000146,0,Y,🟡신규출시,라이브 존재(PRD_000146)·결손:옵션0
10 라이프,J3,J,3,product,틴거울,틴거울,exact,굿즈파우치:틴거울,exact,PRD_000183,0,N,🟡신규출시,라이브 존재(PRD_000183)·결손:옵션0/가격사슬X
11 에코백,K3,K,3,product,레더 플랫 파우치,레더플랫파우치,exact,굿즈파우치:레더 플랫 파우치,exact,PRD_000230,0,N,🟡신규출시,라이브 존재(PRD_000230)·결손:옵션0/가격사슬X
12 포장,L3,L,3,product,인쇄배경지(OPP봉투타입),인쇄배경지OPP봉투타입,exact,디지털인쇄:인쇄배경지(OPP봉투타입),exact,PRD_000043,0,Y,🟡신규출시,라이브 존재(PRD_000043)·결손:옵션0
01 엽서,A4,A,4,product,코팅엽서,코팅엽서,exact,디지털인쇄:코팅엽서,exact,PRD_000017,8,Y,✅정상등록가능,라이브 opt=8·price사슬=Y
