prd_cd,prd_nm,map_category,status,cat_cd,cat_nm,main_cat_yn,match_level,live_opt_n,live_priced,multi_class,note
PRD_000001,OPP접착봉투,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000002,OPP비접착봉투,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000004,카드봉투,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000005,캘린더봉투,07 캘린더,ALIAS(다중분류),CAT_000007,캘린더,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000005를 07 캘린더에 추가 노출(중복상품 생성 금지)
PRD_000005,캘린더봉투,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000006,볼체인,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000007,와이어링,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000009,투명케이스,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000011,자석고정용고무판,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000012,우드거치대,07 캘린더,ALIAS(다중분류),CAT_000007,캘린더,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000012를 07 캘린더에 추가 노출(중복상품 생성 금지)
PRD_000012,우드거치대,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000014,우드행거,07 캘린더,ALIAS(다중분류),CAT_000007,캘린더,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000014를 07 캘린더에 추가 노출(중복상품 생성 금지)
PRD_000014,우드행거,12 포장,YELLOW,CAT_000012,포장,Y,L1직속,0,N,,
PRD_000016,프리미엄엽서,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,41,Y,,
PRD_000017,코팅엽서,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,8,Y,,
PRD_000018,스탠다드엽서,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,15,Y,,
PRD_000019,투명엽서,01 엽서,YELLOW,CAT_000001,엽서/카드,Y,L1직속,0,N,,
PRD_000020,화이트인쇄엽서,01 엽서,YELLOW,CAT_000001,엽서/카드,Y,L1직속,0,Y,,
PRD_000021,핑크별색엽서,01 엽서,YELLOW,CAT_000001,엽서/카드,Y,L1직속,0,Y,,
PRD_000022,금은별색엽서,01 엽서,YELLOW,CAT_000001,엽서/카드,Y,L1직속,0,Y,,
PRD_000023,모양엽서,01 엽서,YELLOW,CAT_000001,엽서/카드,Y,L1직속,0,Y,,
PRD_000024,포토카드,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,7,Y,,
PRD_000025,투명포토카드,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,4,Y,,
PRD_000026,종이슬로건,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,5,Y,,
PRD_000027,2단접지카드,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,25,Y,,
PRD_000028,미니접지카드,01 엽서,YELLOW,CAT_000001,엽서/카드,Y,L1직속,0,Y,,
PRD_000029,3단접지카드,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,25,Y,,
PRD_000030,지그재그엽서,01 엽서,YELLOW,CAT_000001,엽서/카드,Y,L1직속,0,N,,
PRD_000031,프리미엄명함,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,30,Y,,
PRD_000032,코팅명함,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,8,Y,,
PRD_000033,스탠다드명함,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,11,Y,,
PRD_000034,펄명함,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,N,,
PRD_000035,모양명함,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,N,,
PRD_000036,미니모양명함,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,N,,
PRD_000037,오리지널박명함,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,N,,
PRD_000038,형압명함,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,N,,
PRD_000039,투명명함,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,N,,
PRD_000040,화이트인쇄명함,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,N,,
PRD_000041,스탠다드 쿠폰/상품권,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,10,Y,,
PRD_000042,프리미엄 상품권/쿠폰,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,22,Y,,
PRD_000043,인쇄배경지(OPP봉투타입),12 포장,YELLOW,CAT_000273,인쇄배경지(OPP봉투타입),Y,L2노드일치,0,Y,,
PRD_000044,인쇄배경지(투명케이스타입),12 포장,YELLOW,CAT_000274,인쇄배경지(투명케이스타입),Y,L2노드일치,0,Y,,
PRD_000045,인쇄헤더택,12 포장,YELLOW,CAT_000275,인쇄헤더택,Y,L2노드일치,0,Y,,
PRD_000046,라벨/택,12 포장,YELLOW,CAT_000284,라벨/택,Y,L3노드일치,0,Y,,
PRD_000047,소량전단지,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,53,Y,,
PRD_000048,접지리플렛,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,Y,,
PRD_000050,봉투제작,03 인쇄홍보물,YELLOW,CAT_000003,인쇄홍보물,Y,L1직속,0,Y,,
PRD_000051,썬캡,10 라이프,YELLOW,CAT_000010,라이프,Y,L1직속,0,Y,,
PRD_000052,반칼 자유형 스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,7,Y,,
PRD_000053,반칼 자유형 투명스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,4,Y,,
PRD_000054,반칼 자유형 홀로그램스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000055,낱장 자유형 스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,3,Y,,
PRD_000056,낱장 자유형 투명스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000057,대형 자유형 스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000058,반칼 원형 스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000058,반칼원형스티커,12 포장,ALIAS(다중분류),CAT_000012,포장,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000058를 12 포장에 추가 노출(중복상품 생성 금지)
PRD_000059,반칼 정사각 스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000060,반칼직사각스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000061,반칼띠지스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000061,반칼띠지스티커,12 포장,ALIAS(다중분류),CAT_000012,포장,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000061를 12 포장에 추가 노출(중복상품 생성 금지)
PRD_000062,반칼팬시스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000063,반칼팬시투명스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000064,소량 자유형 스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000065,스티커팩,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000066,합판도무송스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,7,Y,,
PRD_000067,타투스티커,02 스티커,YELLOW,CAT_000002,스티커,Y,L1직속,0,Y,,
PRD_000068,중철책자,06 책자,GREEN,CAT_000006,책자,Y,L1직속,35,Y,,
PRD_000069,무선책자,06 책자,GREEN,CAT_000006,책자,Y,L1직속,32,Y,,
PRD_000070,PUR책자,06 책자,YELLOW,CAT_000006,책자,Y,L1직속,0,Y,,
PRD_000071,트윈링책자,06 책자,GREEN,CAT_000006,책자,Y,L1직속,60,Y,,
PRD_000072,하드커버책자,06 책자,YELLOW,CAT_000105,하드커버책자,Y,L3노드일치,0,N,,
PRD_000077,레더하드커버책자,06 책자,YELLOW,CAT_000106,레더하드커버책자,Y,L3노드일치,0,N,,
PRD_000082,하드커버링책자,06 책자,YELLOW,CAT_000107,하드커버링책자,Y,L3노드일치,0,N,,
PRD_000088,레더링바인더,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000094,엽서북,01 엽서,GREEN,CAT_000308,엽서북,Y,L2노드일치,13,Y,,
PRD_000097,떡메모지,08 문구,YELLOW,CAT_000008,문구,Y,L1직속,0,N,,
PRD_000108,탁상형캘린더,07 캘린더,YELLOW,CAT_000112,탁상형캘린더,Y,L2노드일치,0,N,,
PRD_000109,미니탁상형캘린더,07 캘린더,YELLOW,CAT_000113,미니탁상형캘린더,Y,L2노드일치,0,N,,
PRD_000110,엽서캘린더,07 캘린더,YELLOW,CAT_000114,엽서캘린더,Y,L2노드일치,0,N,,
PRD_000111,벽걸이캘린더,07 캘린더,YELLOW,CAT_000115,벽걸이캘린더,Y,L2노드일치,0,N,,
PRD_000112,와이드벽걸이캘린더,07 캘린더,YELLOW,CAT_000116,와이드벽걸이캘린더,Y,L3노드일치,0,N,,
PRD_000118,아트프린트포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,2,Y,,
PRD_000119,아트페이퍼포스터,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000120,방수포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,2,Y,,
PRD_000121,접착방수포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,2,Y,,
PRD_000122,접착투명포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,1,Y,,
PRD_000123,아트패브릭포스터,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000124,린넨패브릭포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,5,Y,,
PRD_000125,캔버스패브릭포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,1,Y,,
PRD_000126,레더아트프린트,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000127,타이벡프린트,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000128,메쉬프린트,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000129,폼보드,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000130,포맥스보드,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000131,프레임리스액자,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000132,레더아트액자,04 포스터,YELLOW,CAT_000004,포스터,Y,L1직속,0,Y,,
PRD_000133,캔버스행잉포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,1,Y,,
PRD_000134,린넨 우드봉족자,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,1,Y,,
PRD_000135,족자포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,2,Y,,
PRD_000136,PET배너,05 사인,GREEN,CAT_000005,사인,Y,L1직속,4,Y,,
PRD_000137,메쉬배너,05 사인,GREEN,CAT_000005,사인,Y,L1직속,1,Y,,
PRD_000138,일반현수막,05 사인,GREEN,CAT_000005,사인,Y,L1직속,18,Y,,
PRD_000139,메쉬현수막,05 사인,GREEN,CAT_000005,사인,Y,L1직속,3,Y,,
PRD_000140,무광시트커팅,05 사인,YELLOW,CAT_000005,사인,Y,L1직속,0,Y,,
PRD_000141,홀로그램시트커팅,05 사인,YELLOW,CAT_000005,사인,Y,L1직속,0,Y,,
PRD_000142,유광아크릴스티커,05 사인,YELLOW,CAT_000005,사인,Y,L1직속,0,Y,,
PRD_000143,미러아크릴스티커,05 사인,YELLOW,CAT_000005,사인,Y,L1직속,0,Y,,
PRD_000144,미니스탠딩보드,05 사인,YELLOW,CAT_000005,사인,Y,L1직속,0,Y,,
PRD_000145,미니배너,05 사인,GREEN,CAT_000005,사인,Y,L1직속,2,Y,,
PRD_000146,아크릴키링,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,Y,,
PRD_000146,아크릴키링,10 라이프,ALIAS(다중분류),CAT_000010,라이프,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000146를 10 라이프에 추가 노출(중복상품 생성 금지)
PRD_000147,아크릴마그넷,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000147,아크릴마그넷,10 라이프,ALIAS(다중분류),CAT_000010,라이프,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000147를 10 라이프에 추가 노출(중복상품 생성 금지)
PRD_000148,아크릴뱃지,09 아크릴,YELLOW,CAT_000009,아크릴,Y,L1직속,0,N,,
PRD_000148,아크릴뱃지,10 라이프,ALIAS(다중분류),CAT_000010,라이프,N,L1직속(별칭노출),,,Y,별칭: 본체 PRD_000148를 10 라이프에 추가 노출(중복상품 생성 금지)
