table_name	ordinal_position	column_name	data_type	coalesce	coalesce	coalesce	is_nullable	coalesce
auth_group	1	id	integer		32	0	NO	
auth_group	2	name	character varying	150			NO	
auth_group_permissions	1	id	bigint		64	0	NO	
auth_group_permissions	2	group_id	integer		32	0	NO	
auth_group_permissions	3	permission_id	integer		32	0	NO	
auth_permission	1	id	integer		32	0	NO	
auth_permission	2	name	character varying	255			NO	
auth_permission	3	content_type_id	integer		32	0	NO	
auth_permission	4	codename	character varying	100			NO	
auth_user	1	id	integer		32	0	NO	
auth_user	2	password	character varying	128			NO	
auth_user	3	last_login	timestamp with time zone				YES	
auth_user	4	is_superuser	boolean				NO	
auth_user	5	username	character varying	150			NO	
auth_user	6	first_name	character varying	150			NO	
auth_user	7	last_name	character varying	150			NO	
auth_user	8	email	character varying	254			NO	
auth_user	9	is_staff	boolean				NO	
auth_user	10	is_active	boolean				NO	
auth_user	11	date_joined	timestamp with time zone				NO	
auth_user_groups	1	id	bigint		64	0	NO	
auth_user_groups	2	user_id	integer		32	0	NO	
auth_user_groups	3	group_id	integer		32	0	NO	
auth_user_user_permissions	1	id	bigint		64	0	NO	
auth_user_user_permissions	2	user_id	integer		32	0	NO	
auth_user_user_permissions	3	permission_id	integer		32	0	NO	
django_admin_log	1	id	integer		32	0	NO	
django_admin_log	2	action_time	timestamp with time zone				NO	
django_admin_log	3	object_id	text				YES	
django_admin_log	4	object_repr	character varying	200			NO	
django_admin_log	5	action_flag	smallint		16	0	NO	
django_admin_log	6	change_message	text				NO	
django_admin_log	7	content_type_id	integer		32	0	YES	
django_admin_log	8	user_id	integer		32	0	NO	
django_content_type	1	id	integer		32	0	NO	
django_content_type	3	app_label	character varying	100			NO	
django_content_type	4	model	character varying	100			NO	
django_migrations	1	id	bigint		64	0	NO	
django_migrations	2	app	character varying	255			NO	
django_migrations	3	name	character varying	255			NO	
django_migrations	4	applied	timestamp with time zone				NO	
django_session	1	session_key	character varying	40			NO	
django_session	2	session_data	text				NO	
django_session	3	expire_date	timestamp with time zone				NO	
t_cat_categories	1	cat_cd	character varying	50			NO	
t_cat_categories	2	cat_nm	character varying	100			NO	
t_cat_categories	3	upr_cat_cd	character varying	50			YES	
t_cat_categories	4	cat_lvl	integer		32	0	NO	
t_cat_categories	5	disp_seq	integer		32	0	YES	
t_cat_categories	6	use_yn	character	1			NO	
t_cat_categories	7	reg_dt	timestamp without time zone				NO	now()
t_cat_categories	8	upd_dt	timestamp without time zone				YES	
t_clr_color_counts	1	clr_cd	character varying	50			NO	
t_clr_color_counts	2	clr_nm	character varying	100			NO	
t_clr_color_counts	3	chnl_cnt	integer		32	0	NO	
t_clr_color_counts	4	use_yn	character	1			NO	
t_clr_color_counts	5	note	character varying	500			YES	
t_clr_color_counts	6	reg_dt	timestamp without time zone				NO	now()
t_clr_color_counts	7	upd_dt	timestamp without time zone				YES	
t_clr_color_counts	8	del_yn	character	1			NO	'N'::bpchar
t_clr_color_counts	9	del_dt	timestamp without time zone				YES	
t_cod_base_codes	1	cod_cd	character varying	50			NO	
t_cod_base_codes	2	cod_nm	character varying	100			NO	
t_cod_base_codes	3	upr_cod_cd	character varying	50			YES	
t_cod_base_codes	4	disp_seq	integer		32	0	YES	
t_cod_base_codes	5	use_yn	character	1			NO	
t_cod_base_codes	6	note	character varying	500			YES	
t_cod_base_codes	7	reg_dt	timestamp without time zone				NO	now()
t_cod_base_codes	8	upd_dt	timestamp without time zone				YES	
