table_name	conname	def
auth_group_permissions	auth_group_permissio_permission_id_84c5c92e_fk_auth_perm	FOREIGN KEY (permission_id) REFERENCES auth_permission(id) DEFERRABLE INITIALLY DEFERRED
auth_group_permissions	auth_group_permissions_group_id_b120cbf9_fk_auth_group_id	FOREIGN KEY (group_id) REFERENCES auth_group(id) DEFERRABLE INITIALLY DEFERRED
auth_permission	auth_permission_content_type_id_2f476e4b_fk_django_co	FOREIGN KEY (content_type_id) REFERENCES django_content_type(id) DEFERRABLE INITIALLY DEFERRED
auth_user_groups	auth_user_groups_group_id_97559544_fk_auth_group_id	FOREIGN KEY (group_id) REFERENCES auth_group(id) DEFERRABLE INITIALLY DEFERRED
auth_user_groups	auth_user_groups_user_id_6a12ed8b_fk_auth_user_id	FOREIGN KEY (user_id) REFERENCES auth_user(id) DEFERRABLE INITIALLY DEFERRED
auth_user_user_permissions	auth_user_user_permi_permission_id_1fbb5f2c_fk_auth_perm	FOREIGN KEY (permission_id) REFERENCES auth_permission(id) DEFERRABLE INITIALLY DEFERRED
auth_user_user_permissions	auth_user_user_permissions_user_id_a95ead1b_fk_auth_user_id	FOREIGN KEY (user_id) REFERENCES auth_user(id) DEFERRABLE INITIALLY DEFERRED
django_admin_log	django_admin_log_content_type_id_c4bce8eb_fk_django_co	FOREIGN KEY (content_type_id) REFERENCES django_content_type(id) DEFERRABLE INITIALLY DEFERRED
django_admin_log	django_admin_log_user_id_c564eba6_fk_auth_user_id	FOREIGN KEY (user_id) REFERENCES auth_user(id) DEFERRABLE INITIALLY DEFERRED
t_cat_categories	fk_cat_categories_upr_cat_cd	FOREIGN KEY (upr_cat_cd) REFERENCES t_cat_categories(cat_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_cod_base_codes	fk_cod_base_codes_upr_cod_cd	FOREIGN KEY (upr_cod_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_cus_customers	fk_cus_customers_grade_cd	FOREIGN KEY (grade_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_dsc_discount_details	fk_dsc_discount_details_dsc_tbl_cd	FOREIGN KEY (dsc_tbl_cd) REFERENCES t_dsc_discount_tables(dsc_tbl_cd) ON UPDATE CASCADE ON DELETE CASCADE
t_dsc_discount_details	fk_dsc_discount_details_dsc_typ_cd	FOREIGN KEY (dsc_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_dsc_grade_discount_rates	fk_dsc_grade_dsc_rates_cat_cd	FOREIGN KEY (cat_cd) REFERENCES t_cat_categories(cat_cd) ON UPDATE CASCADE ON DELETE CASCADE
t_dsc_grade_discount_rates	fk_dsc_grade_dsc_rates_dsc_typ_cd	FOREIGN KEY (dsc_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_dsc_grade_discount_rates	fk_dsc_grade_dsc_rates_grade_cd	FOREIGN KEY (grade_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE CASCADE
t_mat_materials	fk_mat_materials_mat_typ_cd	FOREIGN KEY (mat_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
