table_name	conname	def
django_admin_log	django_admin_log_action_flag_check	CHECK ((action_flag >= 0))
t_cat_categories	t_cat_categories_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_clr_color_counts	ck_t_clr_color_counts_del_yn	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_clr_color_counts	t_clr_color_counts_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_cod_base_codes	t_cod_base_codes_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_cus_customers	t_cus_customers_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_dsc_discount_details	ck_t_dsc_discount_details_amt_excl	CHECK (((dsc_rate IS NULL) OR (dsc_amt IS NULL)))
t_dsc_discount_tables	t_dsc_discount_tables_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_dsc_grade_discount_rates	ck_t_dsc_grade_dsc_rates_amt_excl	CHECK (((dsc_rate IS NULL) OR (dsc_amt IS NULL)))
t_mat_materials	ck_t_mat_materials_del_yn	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_mat_materials	t_mat_materials_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prc_formula_components	t_prc_formula_components_addtn_yn_check	CHECK ((addtn_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prc_price_components	t_prc_price_components_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prc_price_formulas	t_prc_price_formulas_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_bundle_qtys	ck_t_prd_product_bundle_qtys_del_yn	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_bundle_qtys	t_prd_product_bundle_qtys_dflt_yn_check	CHECK ((dflt_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_categories	t_prd_product_categories_main_cat_yn_check	CHECK ((main_cat_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_constraints	t_prd_product_constraints_del_yn_check	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_constraints	t_prd_product_constraints_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_materials	ck_t_prd_product_materials_del_yn	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_materials	t_prd_product_materials_dflt_yn_check	CHECK ((dflt_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_option_groups	t_prd_product_option_groups_del_yn_check	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_option_groups	t_prd_product_option_groups_mand_yn_check	CHECK ((mand_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_option_groups	t_prd_product_option_groups_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_option_items	t_prd_product_option_items_del_yn_check	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_option_items	t_prd_product_option_items_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_options	t_prd_product_options_del_yn_check	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_options	t_prd_product_options_dflt_yn_check	CHECK ((dflt_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_options	t_prd_product_options_use_yn_check	CHECK ((use_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
t_prd_product_plate_sizes	ck_t_prd_product_plate_sizes_del_yn	CHECK ((del_yn = ANY (ARRAY['Y'::bpchar, 'N'::bpchar])))
