tablename	indexname	indexdef
auth_group	auth_group_name_a6ea08ec_like	CREATE INDEX auth_group_name_a6ea08ec_like ON public.auth_group USING btree (name varchar_pattern_ops)
auth_group	auth_group_name_key	CREATE UNIQUE INDEX auth_group_name_key ON public.auth_group USING btree (name)
auth_group	auth_group_pkey	CREATE UNIQUE INDEX auth_group_pkey ON public.auth_group USING btree (id)
auth_group_permissions	auth_group_permissions_group_id_b120cbf9	CREATE INDEX auth_group_permissions_group_id_b120cbf9 ON public.auth_group_permissions USING btree (group_id)
auth_group_permissions	auth_group_permissions_group_id_permission_id_0cd325b0_uniq	CREATE UNIQUE INDEX auth_group_permissions_group_id_permission_id_0cd325b0_uniq ON public.auth_group_permissions USING btree (group_id, permission_id)
auth_group_permissions	auth_group_permissions_permission_id_84c5c92e	CREATE INDEX auth_group_permissions_permission_id_84c5c92e ON public.auth_group_permissions USING btree (permission_id)
auth_group_permissions	auth_group_permissions_pkey	CREATE UNIQUE INDEX auth_group_permissions_pkey ON public.auth_group_permissions USING btree (id)
auth_permission	auth_permission_content_type_id_2f476e4b	CREATE INDEX auth_permission_content_type_id_2f476e4b ON public.auth_permission USING btree (content_type_id)
auth_permission	auth_permission_content_type_id_codename_01ab375a_uniq	CREATE UNIQUE INDEX auth_permission_content_type_id_codename_01ab375a_uniq ON public.auth_permission USING btree (content_type_id, codename)
auth_permission	auth_permission_pkey	CREATE UNIQUE INDEX auth_permission_pkey ON public.auth_permission USING btree (id)
auth_user	auth_user_pkey	CREATE UNIQUE INDEX auth_user_pkey ON public.auth_user USING btree (id)
auth_user	auth_user_username_6821ab7c_like	CREATE INDEX auth_user_username_6821ab7c_like ON public.auth_user USING btree (username varchar_pattern_ops)
auth_user	auth_user_username_key	CREATE UNIQUE INDEX auth_user_username_key ON public.auth_user USING btree (username)
auth_user_groups	auth_user_groups_group_id_97559544	CREATE INDEX auth_user_groups_group_id_97559544 ON public.auth_user_groups USING btree (group_id)
auth_user_groups	auth_user_groups_pkey	CREATE UNIQUE INDEX auth_user_groups_pkey ON public.auth_user_groups USING btree (id)
auth_user_groups	auth_user_groups_user_id_6a12ed8b	CREATE INDEX auth_user_groups_user_id_6a12ed8b ON public.auth_user_groups USING btree (user_id)
auth_user_groups	auth_user_groups_user_id_group_id_94350c0c_uniq	CREATE UNIQUE INDEX auth_user_groups_user_id_group_id_94350c0c_uniq ON public.auth_user_groups USING btree (user_id, group_id)
auth_user_user_permissions	auth_user_user_permissions_permission_id_1fbb5f2c	CREATE INDEX auth_user_user_permissions_permission_id_1fbb5f2c ON public.auth_user_user_permissions USING btree (permission_id)
auth_user_user_permissions	auth_user_user_permissions_pkey	CREATE UNIQUE INDEX auth_user_user_permissions_pkey ON public.auth_user_user_permissions USING btree (id)
auth_user_user_permissions	auth_user_user_permissions_user_id_a95ead1b	CREATE INDEX auth_user_user_permissions_user_id_a95ead1b ON public.auth_user_user_permissions USING btree (user_id)
auth_user_user_permissions	auth_user_user_permissions_user_id_permission_id_14a6b632_uniq	CREATE UNIQUE INDEX auth_user_user_permissions_user_id_permission_id_14a6b632_uniq ON public.auth_user_user_permissions USING btree (user_id, permission_id)
django_admin_log	django_admin_log_content_type_id_c4bce8eb	CREATE INDEX django_admin_log_content_type_id_c4bce8eb ON public.django_admin_log USING btree (content_type_id)
django_admin_log	django_admin_log_pkey	CREATE UNIQUE INDEX django_admin_log_pkey ON public.django_admin_log USING btree (id)
django_admin_log	django_admin_log_user_id_c564eba6	CREATE INDEX django_admin_log_user_id_c564eba6 ON public.django_admin_log USING btree (user_id)
django_content_type	django_content_type_app_label_model_76bd3d3b_uniq	CREATE UNIQUE INDEX django_content_type_app_label_model_76bd3d3b_uniq ON public.django_content_type USING btree (app_label, model)
django_content_type	django_content_type_pkey	CREATE UNIQUE INDEX django_content_type_pkey ON public.django_content_type USING btree (id)
django_migrations	django_migrations_pkey	CREATE UNIQUE INDEX django_migrations_pkey ON public.django_migrations USING btree (id)
django_session	django_session_expire_date_a5c62663	CREATE INDEX django_session_expire_date_a5c62663 ON public.django_session USING btree (expire_date)
django_session	django_session_pkey	CREATE UNIQUE INDEX django_session_pkey ON public.django_session USING btree (session_key)
django_session	django_session_session_key_c0390e0f_like	CREATE INDEX django_session_session_key_c0390e0f_like ON public.django_session USING btree (session_key varchar_pattern_ops)
t_cat_categories	ix_t_cat_categories_upr_cat_cd	CREATE INDEX ix_t_cat_categories_upr_cat_cd ON public.t_cat_categories USING btree (upr_cat_cd)
t_cat_categories	pk_t_cat_categories	CREATE UNIQUE INDEX pk_t_cat_categories ON public.t_cat_categories USING btree (cat_cd)
t_clr_color_counts	pk_t_clr_color_counts	CREATE UNIQUE INDEX pk_t_clr_color_counts ON public.t_clr_color_counts USING btree (clr_cd)
t_cod_base_codes	ix_t_cod_base_codes_upr_cod_cd	CREATE INDEX ix_t_cod_base_codes_upr_cod_cd ON public.t_cod_base_codes USING btree (upr_cod_cd)
t_cod_base_codes	pk_t_cod_base_codes	CREATE UNIQUE INDEX pk_t_cod_base_codes ON public.t_cod_base_codes USING btree (cod_cd)
t_cus_customers	ix_t_cus_customers_grade_cd	CREATE INDEX ix_t_cus_customers_grade_cd ON public.t_cus_customers USING btree (grade_cd)
t_cus_customers	pk_t_cus_customers	CREATE UNIQUE INDEX pk_t_cus_customers ON public.t_cus_customers USING btree (cus_cd)
t_dsc_discount_details	ix_t_dsc_discount_details_dsc_typ_cd	CREATE INDEX ix_t_dsc_discount_details_dsc_typ_cd ON public.t_dsc_discount_details USING btree (dsc_typ_cd)
t_dsc_discount_details	ix_t_dsc_discount_details_tbl_apply	CREATE INDEX ix_t_dsc_discount_details_tbl_apply ON public.t_dsc_discount_details USING btree (dsc_tbl_cd, apply_ymd DESC)
t_dsc_discount_details	pk_t_dsc_discount_details	CREATE UNIQUE INDEX pk_t_dsc_discount_details ON public.t_dsc_discount_details USING btree (dsc_tbl_cd, apply_ymd, min_qty)
t_dsc_discount_tables	pk_t_dsc_discount_tables	CREATE UNIQUE INDEX pk_t_dsc_discount_tables ON public.t_dsc_discount_tables USING btree (dsc_tbl_cd)
t_dsc_grade_discount_rates	ix_t_dsc_grade_dsc_rates_cat_cd	CREATE INDEX ix_t_dsc_grade_dsc_rates_cat_cd ON public.t_dsc_grade_discount_rates USING btree (cat_cd)
t_dsc_grade_discount_rates	ix_t_dsc_grade_dsc_rates_dsc_typ_cd	CREATE INDEX ix_t_dsc_grade_dsc_rates_dsc_typ_cd ON public.t_dsc_grade_discount_rates USING btree (dsc_typ_cd)
t_dsc_grade_discount_rates	ix_t_dsc_grade_dsc_rates_grd_cat_apply	CREATE INDEX ix_t_dsc_grade_dsc_rates_grd_cat_apply ON public.t_dsc_grade_discount_rates USING btree (grade_cd, cat_cd, apply_ymd DESC)
t_dsc_grade_discount_rates	pk_t_dsc_grade_discount_rates	CREATE UNIQUE INDEX pk_t_dsc_grade_discount_rates ON public.t_dsc_grade_discount_rates USING btree (grade_cd, cat_cd, apply_ymd)
t_mat_materials	ix_t_mat_materials_mat_typ_cd	CREATE INDEX ix_t_mat_materials_mat_typ_cd ON public.t_mat_materials USING btree (mat_typ_cd)
t_mat_materials	ix_t_mat_materials_sel_typ_cd	CREATE INDEX ix_t_mat_materials_sel_typ_cd ON public.t_mat_materials USING btree (sel_typ_cd)
t_mat_materials	ix_t_mat_materials_upr_mat_cd	CREATE INDEX ix_t_mat_materials_upr_mat_cd ON public.t_mat_materials USING btree (upr_mat_cd)
t_mat_materials	pk_t_mat_materials	CREATE UNIQUE INDEX pk_t_mat_materials ON public.t_mat_materials USING btree (mat_cd)
t_prc_component_prices	ix_t_prc_comp_prices_clr_cd	CREATE INDEX ix_t_prc_comp_prices_clr_cd ON public.t_prc_component_prices USING btree (clr_cd)
t_prc_component_prices	ix_t_prc_comp_prices_comp_apply	CREATE INDEX ix_t_prc_comp_prices_comp_apply ON public.t_prc_component_prices USING btree (comp_cd, apply_ymd DESC)
t_prc_component_prices	ix_t_prc_comp_prices_comp_cd	CREATE INDEX ix_t_prc_comp_prices_comp_cd ON public.t_prc_component_prices USING btree (comp_cd)
t_prc_component_prices	ix_t_prc_comp_prices_mat_cd	CREATE INDEX ix_t_prc_comp_prices_mat_cd ON public.t_prc_component_prices USING btree (mat_cd)
t_prc_component_prices	ix_t_prc_comp_prices_siz_cd	CREATE INDEX ix_t_prc_comp_prices_siz_cd ON public.t_prc_component_prices USING btree (siz_cd)
t_prc_component_prices	t_prc_component_prices_pkey	CREATE UNIQUE INDEX t_prc_component_prices_pkey ON public.t_prc_component_prices USING btree (comp_price_id)
t_prc_component_prices	ux_t_prc_comp_prices_nat_key	CREATE UNIQUE INDEX ux_t_prc_comp_prices_nat_key ON public.t_prc_component_prices USING btree (comp_cd, apply_ymd, siz_cd, clr_cd, mat_cd, coat_side_cnt, bdl_qty, min_qty)
t_prc_formula_components	ix_t_prc_formula_comps_comp_cd	CREATE INDEX ix_t_prc_formula_comps_comp_cd ON public.t_prc_formula_components USING btree (comp_cd)
t_prc_formula_components	t_prc_formula_components_pkey	CREATE UNIQUE INDEX t_prc_formula_components_pkey ON public.t_prc_formula_components USING btree (frm_cd, comp_cd)
t_prc_price_components	ix_t_prc_price_components_comp_typ_cd	CREATE INDEX ix_t_prc_price_components_comp_typ_cd ON public.t_prc_price_components USING btree (comp_typ_cd)
t_prc_price_components	pk_t_prc_price_components	CREATE UNIQUE INDEX pk_t_prc_price_components ON public.t_prc_price_components USING btree (comp_cd)
t_prc_price_formulas	ix_t_prc_price_formulas_frm_typ_cd	CREATE INDEX ix_t_prc_price_formulas_frm_typ_cd ON public.t_prc_price_formulas USING btree (frm_typ_cd)
t_prc_price_formulas	pk_t_prc_price_formulas	CREATE UNIQUE INDEX pk_t_prc_price_formulas ON public.t_prc_price_formulas USING btree (frm_cd)
t_prd_product_addons	t_prd_product_addons_pkey	CREATE UNIQUE INDEX t_prd_product_addons_pkey ON public.t_prd_product_addons USING btree (prd_cd, tmpl_cd)
t_prd_product_bundle_qtys	ix_t_prd_product_bdl_qtys_bdl_unit_typ_cd	CREATE INDEX ix_t_prd_product_bdl_qtys_bdl_unit_typ_cd ON public.t_prd_product_bundle_qtys USING btree (bdl_unit_typ_cd)
t_prd_product_bundle_qtys	t_prd_product_bundle_qtys_pkey	CREATE UNIQUE INDEX t_prd_product_bundle_qtys_pkey ON public.t_prd_product_bundle_qtys USING btree (prd_cd, bdl_qty)
t_prd_product_categories	ix_t_prd_product_cats_cat_cd	CREATE INDEX ix_t_prd_product_cats_cat_cd ON public.t_prd_product_categories USING btree (cat_cd)
t_prd_product_categories	t_prd_product_categories_pkey	CREATE UNIQUE INDEX t_prd_product_categories_pkey ON public.t_prd_product_categories USING btree (prd_cd, cat_cd)
t_prd_product_constraints	ix_t_prd_product_constraints_rule_typ_cd	CREATE INDEX ix_t_prd_product_constraints_rule_typ_cd ON public.t_prd_product_constraints USING btree (rule_typ_cd)
t_prd_product_constraints	t_prd_product_constraints_pkey	CREATE UNIQUE INDEX t_prd_product_constraints_pkey ON public.t_prd_product_constraints USING btree (prd_cd, rule_cd)
t_prd_product_discount_tables	ix_t_prd_dsc_tbls_dsc_tbl_cd	CREATE INDEX ix_t_prd_dsc_tbls_dsc_tbl_cd ON public.t_prd_product_discount_tables USING btree (dsc_tbl_cd)
t_prd_product_discount_tables	t_prd_product_discount_tables_pkey	CREATE UNIQUE INDEX t_prd_product_discount_tables_pkey ON public.t_prd_product_discount_tables USING btree (prd_cd, dsc_tbl_cd, apply_bgn_ymd)
t_prd_product_materials	ix_t_prd_product_mats_dep_proc_cd	CREATE INDEX ix_t_prd_product_mats_dep_proc_cd ON public.t_prd_product_materials USING btree (dep_proc_cd)
t_prd_product_materials	ix_t_prd_product_mats_mat_cd	CREATE INDEX ix_t_prd_product_mats_mat_cd ON public.t_prd_product_materials USING btree (mat_cd)
t_prd_product_materials	ix_t_prd_product_mats_usage_cd	CREATE INDEX ix_t_prd_product_mats_usage_cd ON public.t_prd_product_materials USING btree (usage_cd)
t_prd_product_materials	t_prd_product_materials_pkey	CREATE UNIQUE INDEX t_prd_product_materials_pkey ON public.t_prd_product_materials USING btree (prd_cd, mat_cd, usage_cd)
t_prd_product_option_groups	ix_t_prd_product_option_groups_sel_typ_cd	CREATE INDEX ix_t_prd_product_option_groups_sel_typ_cd ON public.t_prd_product_option_groups USING btree (sel_typ_cd)
t_prd_product_option_groups	t_prd_product_option_groups_pkey	CREATE UNIQUE INDEX t_prd_product_option_groups_pkey ON public.t_prd_product_option_groups USING btree (prd_cd, opt_grp_cd)
t_prd_product_option_items	ix_t_prd_product_option_items_ref_dim_cd	CREATE INDEX ix_t_prd_product_option_items_ref_dim_cd ON public.t_prd_product_option_items USING btree (ref_dim_cd)
t_prd_product_option_items	t_prd_product_option_items_pkey	CREATE UNIQUE INDEX t_prd_product_option_items_pkey ON public.t_prd_product_option_items USING btree (prd_cd, opt_cd, item_seq)
t_prd_product_options	ix_t_prd_product_options_opt_grp_cd	CREATE INDEX ix_t_prd_product_options_opt_grp_cd ON public.t_prd_product_options USING btree (prd_cd, opt_grp_cd)
t_prd_product_options	t_prd_product_options_pkey	CREATE UNIQUE INDEX t_prd_product_options_pkey ON public.t_prd_product_options USING btree (prd_cd, opt_cd)
t_prd_product_page_rules	t_prd_product_page_rules_pkey	CREATE UNIQUE INDEX t_prd_product_page_rules_pkey ON public.t_prd_product_page_rules USING btree (prd_cd)
t_prd_product_plate_sizes	ix_t_prd_plt_siz_output_paper_typ_cd	CREATE INDEX ix_t_prd_plt_siz_output_paper_typ_cd ON public.t_prd_product_plate_sizes USING btree (output_paper_typ_cd)
t_prd_product_plate_sizes	ix_t_prd_product_plt_siz_siz_cd	CREATE INDEX ix_t_prd_product_plt_siz_siz_cd ON public.t_prd_product_plate_sizes USING btree (siz_cd)
t_prd_product_plate_sizes	t_prd_product_plate_sizes_pkey	CREATE UNIQUE INDEX t_prd_product_plate_sizes_pkey ON public.t_prd_product_plate_sizes USING btree (prd_cd, siz_cd)
t_prd_product_price_formulas	ix_t_prd_prc_frm_frm_cd	CREATE INDEX ix_t_prd_prc_frm_frm_cd ON public.t_prd_product_price_formulas USING btree (frm_cd)
t_prd_product_price_formulas	t_prd_product_price_formulas_pkey	CREATE UNIQUE INDEX t_prd_product_price_formulas_pkey ON public.t_prd_product_price_formulas USING btree (prd_cd, frm_cd)
t_prd_product_prices	ix_t_prd_product_prices_prd_apply	CREATE INDEX ix_t_prd_product_prices_prd_apply ON public.t_prd_product_prices USING btree (prd_cd, apply_ymd DESC)
t_prd_product_prices	pk_t_prd_product_prices	CREATE UNIQUE INDEX pk_t_prd_product_prices ON public.t_prd_product_prices USING btree (prd_cd, apply_ymd)
t_prd_product_print_options	ix_t_prd_prnt_opt_back_colrcnt_cd	CREATE INDEX ix_t_prd_prnt_opt_back_colrcnt_cd ON public.t_prd_product_print_options USING btree (back_colrcnt_cd)
t_prd_product_print_options	ix_t_prd_prnt_opt_front_colrcnt_cd	CREATE INDEX ix_t_prd_prnt_opt_front_colrcnt_cd ON public.t_prd_product_print_options USING btree (front_colrcnt_cd)
t_prd_product_print_options	t_prd_product_print_options_pkey	CREATE UNIQUE INDEX t_prd_product_print_options_pkey ON public.t_prd_product_print_options USING btree (prd_cd, opt_id)
t_prd_product_print_options	ux_t_prd_prnt_opt_nat_key	CREATE UNIQUE INDEX ux_t_prd_prnt_opt_nat_key ON public.t_prd_product_print_options USING btree (prd_cd, print_side, front_colrcnt_cd, back_colrcnt_cd)
t_prd_product_processes	ix_t_prd_product_procs_proc_cd	CREATE INDEX ix_t_prd_product_procs_proc_cd ON public.t_prd_product_processes USING btree (proc_cd)
t_prd_product_processes	t_prd_product_processes_pkey	CREATE UNIQUE INDEX t_prd_product_processes_pkey ON public.t_prd_product_processes USING btree (prd_cd, proc_cd)
t_prd_product_sets	ix_t_prd_product_sets_sub_prd_cd	CREATE INDEX ix_t_prd_product_sets_sub_prd_cd ON public.t_prd_product_sets USING btree (sub_prd_cd)
