mallProductNo,productName,productManagementCd,classType,saleStatusType,optionType,textOptionLabels,textOptionCount,huni_token,huni_item,huni_order,분류,조회오류
136578130,이미지피켓(소형),PRD_000228,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578129,아크릴쉐이커코롯토,PRD_000226,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578128,슬로건,PRD_000208,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578127,LED투명키캡키링,PRD_000203,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578126,키캡키링,PRD_000202,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578125,아크릴코롯토,PRD_000164,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578124,반칼팬시투명스티커,PRD_000063,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578123,형압명함,PRD_000038,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136578122,미니접지카드,PRD_000028,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009430,엽서북,PRD_000094,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009429,지그재그엽서,PRD_000030,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009428,3단접지카드,PRD_000029-DUP-136009428,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009427,2단접지카드,PRD_000027-DUP-136009427,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009426,종이슬로건,PRD_000026,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009424,투명포토카드,PRD_000025-DUP-136009424,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009423,포토카드,PRD_000024,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009421,핑크별색엽서,PRD_000021,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009420,스탠다드엽서,PRD_000018-DUP-136009420,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009418,코팅엽서,PRD_000017-DUP-136009418,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009417,프리미엄엽서,PRD_000016,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009416,봉투제작,PRD_000050,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009415,와이드 접지리플렛,PRD_000049,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009412,접지리플렛,PRD_000048,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009411,소량전단지,PRD_000047,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009410,화이트인쇄명함,PRD_000040,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009409,투명명함,PRD_000039,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009407,오리지널박명함,PRD_000037,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009406,미니모양명함,PRD_000036,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009405,모양명함,PRD_000035,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009404,펄명함,PRD_000034,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009402,스탠다드명함,PRD_000033,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009400,코팅명함,PRD_000032,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009399,프리미엄명함,PRD_000031,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009398,족자포스터,PRD_000135,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009397,캔버스 행잉포스터,PRD_000133,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009394,포맥스보드,PRD_000130,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009393,폼보드,PRD_000129,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009392,캔버스패브릭포스터,PRD_000125,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009391,린넨패브릭포스터,PRD_000124,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
