system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
mes,인증·권한,MES-AUTH-FrmAuthGroup,권한그룹 관리,관리자,조회/등록/수정(권한그룹),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Auth/FrmAuthGroup.cs:14 (class FrmAuthGroup : BaseForm)
mes,인증·권한,MES-AUTH-FrmAuthUser,사용자 권한 관리,관리자,조회/등록/수정(사용자별 권한),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Auth/FrmAuthUser.cs:14 (class FrmAuthUser : BaseForm)
mes,인증·권한,MES-AUTH-FrmUser,사용자 관리,관리자,조회/등록/수정(사용자 계정·비밀번호),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Auth/FrmUser.cs:25 (class FrmUser : BaseForm; designer.cs 캡션: 사용자 명/비밀번호/마지막 로그인 일시)
mes,인증·권한,MES-AUTH-FrmUserGroup,사용자그룹 관리,관리자,조회/등록/수정(그룹·소속 사용자),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Auth/FrmUserGroup.cs:26 (class FrmUserGroup : BaseForm)
mes,인증·권한,MES-AUTH-FrmUserGroupMenuAuth,사용자그룹 메뉴권한 관리,관리자,등록/수정(사업장 데이터 권한·메뉴 권한),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Auth/FrmUserGroupMenuAuth.cs:29 (class FrmUserGroupMenuAuth : BaseForm; designer.cs 캡션: 사업장 데이터 권한/메뉴 권한)
mes,공통·기초,MES-COM-FrmCommonCode,기초코드 관리,관리자,조회/등록/수정(기초코드 그룹·코드값),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Common/FrmCommonCode.cs:25 (class FrmCommonCode : BaseForm)
mes,공통·기초,MES-COM-FrmCompanyBranch,사업장 관리,관리자,조회/등록/수정(사업장·사업자등록번호·세금계산서 정보),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Common/FrmCompanyBranch.cs:27 (class FrmCompanyBranch : BaseForm)
mes,공통·기초,MES-COM-FrmCompanyHoliday,사업장 휴일 관리,관리자,조회/등록/수정(공휴일),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Common/FrmCompanyHoliday.cs:25 (class FrmCompanyHoliday : BaseForm)
mes,거래처,MES-CUS-FrmCustomer,고객(거래처) 관리,운영자(CS·상품),조회/등록/수정(거래처·연락처·세금계산서),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Customer/FrmCustomer.cs:27 (class FrmCustomer : BaseForm)
mes,거래처,MES-CUS-FrmPurchase,매입처 관리,운영자(CS·상품),조회/등록/수정(매입처·후공정 외주처),build,,,,NEW,완료,[오픈분모밖] /Users/innojini/Dev/TS.BackOffice.Huni/BackOffice.UI/CRT.EasyMES.V2.Module.Customer/FrmPurchase.cs:29 (class FrmPurchase : BaseForm; FrmPurchaseBakup.cs 는 백업 사본으로 제외)
