colorname,product_count
단면 칼라,124
단면 칼라4도,82
양면 칼라8도,62
먹1도,42
칼라4도,41
인쇄없음,33
단면 칼라+백색,29
금별색1도,14
별색1도,14
은별색1도,14
양면 칼라,14
백색1도,13
금적1도,8
원적1도,8
원청1도,8
단면 먹,8
양면 먹,8
뒷면,7
앞면,7
앞면+뒷면,7
먹1도(베다),6
칼라4도(베다),6
단면칼라+단면박,6
양면칼라+단면박,6
양면칼라+양면박,6
단면 칼라+박,6
양면 칼라+백색,5
군청1도,5
단면 먹1도,4
뒷면+오른팔,4
뒷면+왼팔,4
뒷면+왼팔+오른팔,4
앞면+뒷면+오른팔,4
앞면+뒷면+왼팔,4
앞면+오른팔,4
앞면+왼팔,4
앞면+왼팔+오른팔,4
오른팔,4
왼팔,4
왼팔+오른팔,4
단면 백색,3
양면 백색,3
칼라인쇄,3
목뒤,3
앞면+목뒤,3
단면칼라+양면박,3
단면 1도,2
단면 2도,2
단면 칼라+엠보,2
다이어리,2
먼슬리노트,2
모눈노트,2
무지노트,2
줄노트,2
단면 칼라3도,2
양면 칼라5도,1
단면 군청1도,1
양면 군청2도,1
양면 먹2도,1
양면 2도,1
양면 4도,1
녹색1도,1
군청1도(뒷면과 내용같음),1
군청1도(뒷면과 내용다름),1
금적1도(뒷면과 내용같음),1
금적1도(뒷면과 내용다름),1
녹색1도(뒷면과 내용같음),1
녹색1도(뒷면과 내용다름),1
먹1도(뒷면과 내용같음),1
먹1도(뒷면과 내용다름),1
원적1도(뒷면과 내용같음),1
원적1도(뒷면과 내용다름),1
원청1도(뒷면과 내용같음),1
원청1도(뒷면과 내용다름),1
단면 칼라4도+형광핑크,1
양면 칼라8도+형광핑크,1
뒷면+목뒤,1
앞면+뒷면+목뒤,1
단면칼라+단면엠보,1
양면칼라+단면엠보,1
양면칼라+양면엠보,1
단면 칼라2도,1
