prd_cd,mat_cd,mat_nm,mat_typ_cd,usage_cd,dflt_yn
PRD_000146,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000146,MAT_000051,아크릴키링 은색고리,MAT_TYPE.07,USAGE.07,N
PRD_000146,MAT_000052,아크릴키링 금색고리,MAT_TYPE.07,USAGE.07,N
PRD_000146,MAT_000456,군번줄,MAT_TYPE.03,USAGE.07,N
PRD_000147,MAT_000050,네오디움 자석,MAT_TYPE.07,USAGE.07,N
PRD_000147,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000148,MAT_000047,원형핀,MAT_TYPE.07,USAGE.07,N
PRD_000148,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000148,MAT_000048,1구자석,MAT_TYPE.07,USAGE.07,N
PRD_000149,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000149,MAT_000056,투명집게,MAT_TYPE.07,USAGE.07,N
PRD_000150,MAT_000054,스마트톡 화이트바디,MAT_TYPE.07,USAGE.07,N
PRD_000150,MAT_000053,스마트톡 투명바디,MAT_TYPE.07,USAGE.07,N
PRD_000150,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000151,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000152,MAT_000049,2구자석,MAT_TYPE.07,USAGE.07,N
PRD_000152,MAT_000046,일자핀,MAT_TYPE.07,USAGE.07,N
PRD_000152,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000153,MAT_000196,아크릴(실버),MAT_TYPE.20,USAGE.07,Y
PRD_000153,MAT_000195,아크릴(골드),MAT_TYPE.20,USAGE.07,Y
PRD_000154,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000154,MAT_000057,블랙헤어끈,MAT_TYPE.07,USAGE.07,N
PRD_000155,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000156,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000157,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000158,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000159,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000160,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000161,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000162,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000163,MAT_000042,아크릴 투명 1.5mm,MAT_TYPE.03,USAGE.07,Y
PRD_000164,MAT_000044,아크릴 투명 8mm,MAT_TYPE.03,USAGE.07,Y
PRD_000165,MAT_000044,아크릴 투명 8mm,MAT_TYPE.03,USAGE.07,Y
PRD_000166,MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,USAGE.07,Y
PRD_000169,MAT_000192,투명아크릴,MAT_TYPE.03,USAGE.07,Y
PRD_000226,MAT_000314,블루글리터,MAT_TYPE.09,USAGE.07,Y
PRD_000226,MAT_000312,화이트글리터,MAT_TYPE.09,USAGE.07,Y
PRD_000226,MAT_000310,핑크글리터,MAT_TYPE.09,USAGE.07,Y
PRD_000226,MAT_000315,블랙글리터,MAT_TYPE.09,USAGE.07,Y
