prd_cd,opt_grp_cd,opt_grp_nm,sel_typ_cd,mand_yn,items
PRD_000146,OPT_000157,고리,,N,0
PRD_000147,OPT_000074,자석,SEL_TYPE.01,Y,0
PRD_000149,OPT_000076,집게,SEL_TYPE.01,Y,0
PRD_000154,OPT-000014,헤어끈,SEL_TYPE.01,Y,0
PRD_000156,OPT_000083,가공,SEL_TYPE.01,Y,0
PRD_000157,OPT_000075,사이즈,SEL_TYPE.01,Y,0
PRD_000158,OPT_000076,사이즈,SEL_TYPE.01,Y,0
PRD_000159,OPT_000074,사이즈,SEL_TYPE.01,Y,0
PRD_000161,OPT_000077,사이즈,SEL_TYPE.01,Y,0
PRD_000162,OPT_000078,사이즈,SEL_TYPE.01,Y,0
PRD_000226,OPT_000203,인쇄면,SEL_TYPE.01,Y,0
PRD_000226,OPT_000204,글리터,SEL_TYPE.01,Y,0
