prd_cd,proc_cd,proc_nm,mand_proc_yn
PRD_000146,PROC_000111,UV평판인쇄,Y
PRD_000146,PROC_000124,레이저커팅,Y
PRD_000146,PROC_000151,굿즈가공,Y
PRD_000147,PROC_000002,UV,Y
PRD_000147,PROC_000081,부착,N
PRD_000148,PROC_000002,UV,Y
PRD_000149,PROC_000002,UV,Y
PRD_000150,PROC_000002,UV,Y
PRD_000151,PROC_000081,부착,N
PRD_000151,PROC_000002,UV,Y
PRD_000152,PROC_000002,UV,Y
PRD_000155,PROC_000002,UV,Y
PRD_000157,PROC_000002,UV,Y
PRD_000158,PROC_000002,UV,Y
PRD_000160,PROC_000002,UV,Y
PRD_000161,PROC_000002,UV,Y
PRD_000162,PROC_000002,UV,Y
PRD_000163,PROC_000002,UV,Y
PRD_000169,PROC_000083,가공,Y
